   Time:s   IReque   IAccep   IBlock   IRelea    #Actv   TReque   TAccep   TBlock   TRelea
  138.000        7        0        7        0        0      324        0      324        0
  139.000        6        0        6        0        0      330        0      330        0
  140.000        1        0        1        0        0      331        0      331        0
  141.000        6        0        6        0        0      337        0      337        0
  142.000        0        0        0        0        0      337        0      337        0
  143.000        0        0        0        0        0      337        0      337        0
  144.000        0        0        0        0        0      337        0      337        0
  145.000        0        0        0        0        0      337        0      337        0
  146.000        0        0        0        0        0      337        0      337        0
  147.000        5        0        5        0        0      342        0      342        0
  148.000        0        0        0        0        0      342        0      342        0
  149.000        3        0        3        0        0      345        0      345        0
  150.000        7        0        7        0        0      352        0      352        0
  151.000        9        0        9        0        0      361        0      361        0
  152.000        6        0        6        0        0      367        0      367        0
  153.000        2        0        2        0        0      369        0      369        0
  154.000        0        0        0        0        0      369        0      369        0
  155.000        4        0        4        0        0      373        0      373        0
  156.000        0        0        0        0        0      373        0      373        0
  157.000       11        0       11        0        0      384        0      384        0
  158.000        6        0        6        0        0      390        0      390        0
  159.000        9        0        9        0        0      399        0      399        0
  160.000        5        0        5        0        0      404        0      404        0
  161.000       11        0       11        0        0      415        0      415        0
  162.000        5        0        5        0        0      420        0      420        0
  163.000        0        0        0        0        0      420        0      420        0
  164.000        0        0        0        0        0      420        0      420        0
  165.000        0        0        0        0        0      420        0      420        0
  166.000        0        0        0        0        0      420        0      420        0
  167.000        0        0        0        0        0      420        0      420        0
  168.000        0        0        0        0        0      420        0      420        0
  169.000        5        0        5        0        0      425        0      425        0
  170.000        5        0        5        0        0      430        0      430        0
  171.000        1        0        1        0        0      431        0      431        0
  172.000        0        0        0        0        0      431        0      431        0
  173.000        8        0        8        0        0      439        0      439        0
  174.000        6        0        6        0        0      445        0      445        0
  175.000        7        0        7        0        0      452        0      452        0
  176.000        6        0        6        0        0      458        0      458        0
  177.000        0        0        0        0        0      458        0      458        0
  178.000        1        0        1        0        0      459        0      459        0
  179.000        3        0        3        0        0      462        0      462        0
  180.000        7        0        7        0        0      469        0      469        0
  181.000       10        0       10        0        0      479        0      479        0
  182.000       13        0       13        0        0      492        0      492        0
  183.000        5        0        5        0        0      497        0      497        0
  184.000       11        0       11        0        0      508        0      508        0
  185.000       14        0       14        0        0      522        0      522        0
  186.000        0        0        0        0        0      522        0      522        0
  187.000        0        0        0        0        0      522        0      522        0
  188.000        0        0        0        0        0      522        0      522        0
  189.000        4        0        4        0        0      526        0      526        0
  190.000       11        0       11        0        0      537        0      537        0
  191.000        0        0        0        0        0      537        0      537        0
  192.000        0        0        0        0        0      537        0      537        0
  193.000        0        0        0        0        0      537        0      537        0
  194.000        6        0        6        0        0      543        0      543        0
  195.000        4        0        4        0        0      547        0      547        0
  196.000        6        0        6        0        0      553        0      553        0
  197.000        1        0        1        0        0      554        0      554        0
  198.000        3        0        3        0        0      557        0      557        0
  199.000        5        0        5        0        0      562        0      562        0
  200.000        6        0        6        0        0      568        0      568        0
  201.000        0        0        0        0        0      568        0      568        0
  202.000        0        0        0        0        0      568        0      568        0
  203.000        0        0        0        0        0      568        0      568        0
  204.000        0        0        0        0        0      568        0      568        0
  205.000        0        0        0        0        0      568        0      568        0
  206.000        0        0        0        0        0      568        0      568        0
  207.000        0        0        0        0        0      568        0      568        0
  208.000        3        0        3        0        0      571        0      571        0
  209.000        0        0        0        0        0      571        0      571        0
  210.000        9        0        9        0        0      580        0      580        0
  211.000        6        0        6        0        0      586        0      586        0
  212.000        0        0        0        0        0      586        0      586        0
  213.000        2        0        2        0        0      588        0      588        0
  214.000        0        0        0        0        0      588        0      588        0
  215.000       12        0       12        0        0      600        0      600        0
  216.000        0        0        0        0        0      600        0      600        0
  217.000        0        0        0        0        0      600        0      600        0
  218.000        0        0        0        0        0      600        0      600        0
  219.000        4        0        4        0        0      604        0      604        0
  220.000        9        0        9        0        0      613        0      613        0
  221.000        1        0        1        0        0      614        0      614        0
  222.000       11        0       11        0        0      625        0      625        0
  223.000        9        0        9        0        0      634        0      634        0
  224.000       13        0       13        0        0      647        0      647        0
  225.000        8        0        8        0        0      655        0      655        0
  226.000        8        0        8        0        0      663        0      663        0
  227.000       14        0       14        0        0      677        0      677        0
  228.000        7        0        7        0        0      684        0      684        0
  229.000        4        0        4        0        0      688        0      688        0
  230.000        5        0        5        0        0      693        0      693        0
  231.000        3        0        3        0        0      696        0      696        0
  232.000        0        0        0        0        0      696        0      696        0
  233.000        3        0        3        0        0      699        0      699        0
  234.000        0        0        0        0        0      699        0      699        0
  235.000        6        0        6        0        0      705        0      705        0
  236.000        4        0        4        0        0      709        0      709        0
  237.000        3        0        3        0        0      712        0      712        0
  238.000        2        0        2        0        0      714        0      714        0
  239.000        6        0        6        0        0      720        0      720        0
  240.000        6        0        6        0        0      726        0      726        0
  241.000        0        0        0        0        0      726        0      726        0
  242.000        0        0        0        0        0      726        0      726        0
  243.000        6        0        6        0        0      732        0      732        0
  244.000       16        0       16        0        0      748        0      748        0
  245.000        2        0        2        0        0      750        0      750        0
  246.000        4        0        4        0        0      754        0      754        0
  247.000        0        0        0        0        0      754        0      754        0
  248.000        0        0        0        0        0      754        0      754        0
  249.000        0        0        0        0        0      754        0      754        0
  250.000        0        0        0        0        0      754        0      754        0
  251.000        3        0        3        0        0      757        0      757        0
  252.000        0        0        0        0        0      757        0      757        0
  253.000        0        0        0        0        0      757        0      757        0
  254.000        0        0        0        0        0      757        0      757        0
  255.000        2        0        2        0        0      759        0      759        0
  256.000        4        0        4        0        0      763        0      763        0
  257.000        5        0        5        0        0      768        0      768        0
  258.000        4        0        4        0        0      772        0      772        0
  259.000        7        0        7        0        0      779        0      779        0
  260.000        5        0        5        0        0      784        0      784        0
  261.000       18        0       18        0        0      802        0      802        0
  262.000        7        0        7        0        0      809        0      809        0
  263.000        4        0        4        0        0      813        0      813        0
  264.000        4        0        4        0        0      817        0      817        0
  265.000        4        0        4        0        0      821        0      821        0
  266.000        7        0        7        0        0      828        0      828        0
  267.000        4        0        4        0        0      832        0      832        0
  268.000        2        0        2        0        0      834        0      834        0
  269.000        7        0        7        0        0      841        0      841        0
  270.000       11        0       11        0        0      852        0      852        0
  271.000        4        0        4        0        0      856        0      856        0
  272.000        7        0        7        0        0      863        0      863        0
  273.000        4        0        4        0        0      867        0      867        0
  274.000        0        0        0        0        0      867        0      867        0
  275.000        0        0        0        0        0      867        0      867        0
