Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
481 SW 4 12029 0 4275565560
486 HW 2 1549 11 76551676992
486 SW 5 12030 0 4275565743
491 HW 3 1550 11 76551676992
491 SW 3 12030 0 4275565926
496 HW 3 1551 11 76551676992
496 SW 3 12030 0 4275566109
501 HW 2 1552 11 76551676992
501 SW 2 12030 0 4275566109
506 HW 2 1552 11 76551676992
506 SW 2 12030 0 4275566109
511 HW 2 1552 11 76551676992
511 SW 4 12032 0 4275566109
516 HW 2 1552 11 76551676992
516 SW 6 12034 0 4275566109
521 SW 6 12034 0 4275566109
521 HW 2 1552 11 76551676992
526 HW 2 1552 11 76551676992
526 SW 4 12034 0 4275566109
531 HW 2 1552 11 76551676992
531 SW 4 12034 0 4275566109
536 HW 2 1552 11 76551676992
536 SW 2 12034 0 4275566109
541 HW 2 1552 11 76551676992
541 SW 2 12034 0 4275566109
546 HW 2 1552 11 76551676992
546 SW 2 12034 0 4275566109
551 HW 2 1552 11 76551676992
551 SW 2 12034 0 4275566109
556 HW 2 1552 11 76551676992
556 SW 4 12036 0 4275566109
561 HW 2 1552 11 76551676992
561 SW 6 12038 0 4275566109
566 HW 2 1552 11 76551676992
566 SW 6 12038 0 4275566109
571 HW 2 1552 11 76551676992
571 SW 4 12038 0 4275566109
576 HW 2 1552 11 76551676992
576 SW 2 12038 0 4275566109
581 HW 2 1552 11 76551676992
581 SW 2 12038 0 4275566109
586 HW 2 1552 11 76551676992
586 SW 2 12038 0 4275566109
591 HW 2 1552 11 76551676992
591 SW 2 12038 0 4275566109
596 SW 2 12038 0 4275566109
596 HW 2 1552 11 76551676992
601 HW 2 1552 11 76551676992
601 SW 6 12042 0 4275566109
606 HW 2 1552 11 76551676992
606 SW 6 12042 0 4275566109
611 HW 2 1552 11 76551676992
611 SW 6 12042 0 4275566109
616 HW 2 1552 11 76551676992
616 SW 2 12042 0 4275566109
621 HW 2 1552 11 76551676992
621 SW 2 12042 0 4275566109
627 HW 2 1552 11 76551676992
627 SW 2 12042 0 4275566109
632 HW 2 1552 11 76551676992
632 SW 2 12042 0 4275566109
637 HW 2 1552 11 76551676992
637 SW 2 12042 0 4275566109
642 HW 2 1552 11 76551676992
642 SW 5 12045 0 4275584253
647 HW 3 1553 11 76551698160
647 SW 7 12047 0 4275603909
652 HW 3 1554 11 76551722352
652 SW 7 12047 0 4275623565
657 HW 3 1555 11 76551745032
657 SW 4 12047 0 4275623565
662 HW 3 1555 11 76551778296
662 SW 3 12048 0 4275625077
667 HW 4 1556 11 76551811560
667 SW 2 12048 0 4275625077
672 HW 4 1556 11 76551844824
672 SW 2 12048 0 4275625077
677 HW 2 1556 11 76551844824
677 SW 2 12048 0 4275625077
682 HW 2 1556 11 76551844824
682 SW 2 12048 0 4275625077
687 HW 2 1556 11 76551844824
687 SW 2 12048 0 4275625077
692 HW 2 1556 11 76551844824
692 SW 2 12048 0 4275625077
697 HW 2 1556 11 76551844824
697 SW 2 12048 0 4275625077
702 HW 2 1556 11 76551844824
702 SW 2 12048 0 4275625077
707 HW 2 1556 11 76551844824
707 SW 2 12048 0 4275625077
712 HW 2 1556 11 76551844824
712 SW 2 12048 0 4275625077
717 HW 2 1556 11 76551844824
717 SW 2 12048 0 4275625077
722 SW 2 12048 0 4275625077
722 HW 2 1556 11 76551844824
727 SW 2 12048 0 4275625077
727 HW 2 1556 11 76551844824
732 HW 2 1556 11 76551844824
732 SW 2 12048 0 4275625077
