PSrc PDst
18982 14482
18984 14484
14250 18750
14322 18822
14448 18948
14192 18692
14528 19028
19184 14684
14286 18786
19240 14740
14672 19172
19242 14742
14518 19018
14554 19054
14410 18910
19344 14844
19360 14860
14532 19032
19362 14862
19364 14864
14588 19088
14780 19280
14424 18924
19384 14884
19386 14886
19576 15076
19578 15078
14834 19334
14650 19150
19580 15080
14960 19460
19598 15098
14764 19264
14648 19148
19604 15104
19606 15106
19608 15108
14674 19174
19630 15130
14734 19234
14682 19182
14874 19374
14754 19254
19640 15140
14762 19262
15002 19502
14922 19422
19676 15176
19678 15178
14748 19248
19680 15180
19682 15182
19720 15220
15024 19524
19722 15222
15186 19686
19724 15224
15052 19552
14818 19318
14800 19300
15056 19556
19826 15326
19828 15328
19836 15336
19838 15338
14928 19428
15192 19692
19864 15364
14968 19468
14878 19378
15210 19710
14842 19342
14952 19452
15062 19562
15084 19584
14954 19454
19868 15368
14986 19486
19870 15370
14866 19366
15148 19648
19880 15380
19912 15412
19914 15414
14910 19410
14998 19498
19918 15418
15162 19662
14964 19464
19920 15420
19922 15422
15126 19626
15200 19700
14940 19440
19930 15430
19982 15482
19984 15484
19994 15494
14988 19488
15452 19952
15146 19646
15464 19964
20012 15512
15264 19764
15456 19956
20020 15520
15096 19596
20248 15748
20250 15750
20252 15752
15664 20164
15282 19782
20268 15768
15574 20074
20274 15774
15676 20176
20278 15778
15734 20234
20282 15782
15256 19756
20284 15784
20286 15786
20290 15790
15638 20138
15306 19806
15436 19936
15746 20246
20314 15814
15514 20014
15330 19830
20316 15816
15592 20092
15334 19834
15476 19976
20328 15828
15500 20000
15346 19846
20330 15830
20332 15832
15656 20156
15408 19908
20346 15846
15582 20082
20504 16004
20506 16006
20514 16014
15976 20476
20722 16222
15916 20416
16102 20602
20724 16224
16016 20516
16134 20634
20730 16230
16096 20596
20746 16246
16186 20686
16104 20604
16180 20680
16000 20500
15980 20480
20810 16310
16024 20524
16124 20624
20816 16316
16074 20574
20822 16322
20824 16324
16170 20670
20826 16326
15860 20360
16192 20692
20828 16328
16176 20676
16294 20794
15888 20388
20890 16390
16190 20690
20892 16392
20894 16394
20896 16396
15894 20394
20904 16404
20906 16406
16348 20848
16254 20754
16158 20658
20940 16440
20946 16446
16136 20636
16320 20820
20948 16448
15954 20454
20950 16450
20952 16452
16382 20882
20960 16460
16432 20932
16046 20546
16052 20552
16220 20720
20984 16484
16028 20528
16036 20536
20986 16486
16126 20626
20988 16488
16276 20776
