   Time:s   IReque   IAccep   IBlock   IRelea    #Actv   TReque   TAccep   TBlock   TRelea
  138.000        2        0        2        0        0      240        0      240        0
  139.000        2        0        2        0        0      242        0      242        0
  140.000        5        0        5        0        0      247        0      247        0
  141.000        2        0        2        0        0      249        0      249        0
  142.000        0        0        0        0        0      249        0      249        0
  143.000        0        0        0        0        0      249        0      249        0
  144.000        1        0        1        0        0      250        0      250        0
  145.000        2        0        2        0        0      252        0      252        0
  146.000        4        0        4        0        0      256        0      256        0
  147.000        2        0        2        0        0      258        0      258        0
  148.000        2        0        2        0        0      260        0      260        0
  149.000        1        0        1        0        0      261        0      261        0
  150.000        3        0        3        0        0      264        0      264        0
  151.000        0        0        0        0        0      264        0      264        0
  152.000        2        0        2        0        0      266        0      266        0
  153.000        0        0        0        0        0      266        0      266        0
  154.000        2        0        2        0        0      268        0      268        0
  155.000        3        0        3        0        0      271        0      271        0
  156.000        3        0        3        0        0      274        0      274        0
  157.000        0        0        0        0        0      274        0      274        0
  158.000        2        0        2        0        0      276        0      276        0
  159.000        2        0        2        0        0      278        0      278        0
  160.000        2        0        2        0        0      280        0      280        0
  161.000        5        0        5        0        0      285        0      285        0
  162.000        3        0        3        0        0      288        0      288        0
  163.000        1        0        1        0        0      289        0      289        0
  164.000        1        0        1        0        0      290        0      290        0
  165.000        3        0        3        0        0      293        0      293        0
  166.000        3        0        3        0        0      296        0      296        0
  167.000        1        0        1        0        0      297        0      297        0
  168.000        1        0        1        0        0      298        0      298        0
  169.000        3        0        3        0        0      301        0      301        0
  170.000        1        0        1        0        0      302        0      302        0
  171.000        0        0        0        0        0      302        0      302        0
  172.000        3        0        3        0        0      305        0      305        0
  173.000        0        0        0        0        0      305        0      305        0
  174.000        7        0        7        0        0      312        0      312        0
  175.000        3        0        3        0        0      315        0      315        0
  176.000        1        0        1        0        0      316        0      316        0
  177.000        7        0        7        0        0      323        0      323        0
  178.000        0        0        0        0        0      323        0      323        0
  179.000        1        0        1        0        0      324        0      324        0
  180.000        4        0        4        0        0      328        0      328        0
  181.000        0        0        0        0        0      328        0      328        0
  182.000        1        0        1        0        0      329        0      329        0
  183.000        0        0        0        0        0      329        0      329        0
  184.000        3        0        3        0        0      332        0      332        0
  185.000        2        0        2        0        0      334        0      334        0
  186.000        5        0        5        0        0      339        0      339        0
  187.000        2        0        2        0        0      341        0      341        0
  188.000        3        0        3        0        0      344        0      344        0
  189.000        2        0        2        0        0      346        0      346        0
  190.000        1        0        1        0        0      347        0      347        0
  191.000        5        0        5        0        0      352        0      352        0
  192.000        4        0        4        0        0      356        0      356        0
  193.000        0        0        0        0        0      356        0      356        0
  194.000        2        0        2        0        0      358        0      358        0
  195.000        0        0        0        0        0      358        0      358        0
  196.000        0        0        0        0        0      358        0      358        0
  197.000        0        0        0        0        0      358        0      358        0
  198.000        2        0        2        0        0      360        0      360        0
  199.000        2        0        2        0        0      362        0      362        0
  200.000        1        0        1        0        0      363        0      363        0
  201.000        5        0        5        0        0      368        0      368        0
  202.000        5        0        5        0        0      373        0      373        0
  203.000        7        0        7        0        0      380        0      380        0
  204.000        1        0        1        0        0      381        0      381        0
  205.000        2        0        2        0        0      383        0      383        0
  206.000        5        0        5        0        0      388        0      388        0
  207.000        5        0        5        0        0      393        0      393        0
  208.000        6        0        6        0        0      399        0      399        0
  209.000        2        0        2        0        0      401        0      401        0
  210.000        5        0        5        0        0      406        0      406        0
  211.000        0        0        0        0        0      406        0      406        0
  212.000        0        0        0        0        0      406        0      406        0
  213.000        4        0        4        0        0      410        0      410        0
  214.000        1        0        1        0        0      411        0      411        0
  215.000        1        0        1        0        0      412        0      412        0
  216.000        3        0        3        0        0      415        0      415        0
  217.000        1        0        1        0        0      416        0      416        0
  218.000        0        0        0        0        0      416        0      416        0
  219.000        0        0        0        0        0      416        0      416        0
  220.000        2        0        2        0        0      418        0      418        0
  221.000        6        0        6        0        0      424        0      424        0
  222.000        3        0        3        0        0      427        0      427        0
  223.000        6        0        6        0        0      433        0      433        0
  224.000        0        0        0        0        0      433        0      433        0
  225.000        1        0        1        0        0      434        0      434        0
  226.000        3        0        3        0        0      437        0      437        0
  227.000        0        0        0        0        0      437        0      437        0
  228.000        1        0        1        0        0      438        0      438        0
  229.000        4        0        4        0        0      442        0      442        0
  230.000        0        0        0        0        0      442        0      442        0
  231.000        0        0        0        0        0      442        0      442        0
  232.000        0        0        0        0        0      442        0      442        0
  233.000        0        0        0        0        0      442        0      442        0
  234.000        0        0        0        0        0      442        0      442        0
  235.000        0        0        0        0        0      442        0      442        0
  236.000        1        0        1        0        0      443        0      443        0
  237.000        4        0        4        0        0      447        0      447        0
  238.000        2        0        2        0        0      449        0      449        0
  239.000        0        0        0        0        0      449        0      449        0
  240.000        3        0        3        0        0      452        0      452        0
  241.000        4        0        4        0        0      456        0      456        0
  242.000        4        0        4        0        0      460        0      460        0
  243.000        5        0        5        0        0      465        0      465        0
  244.000        1        0        1        0        0      466        0      466        0
  245.000        5        0        5        0        0      471        0      471        0
  246.000        2        0        2        0        0      473        0      473        0
  247.000        4        0        4        0        0      477        0      477        0
  248.000        0        0        0        0        0      477        0      477        0
  249.000        4        0        4        0        0      481        0      481        0
  250.000        4        0        4        0        0      485        0      485        0
  251.000        1        0        1        0        0      486        0      486        0
  252.000        0        0        0        0        0      486        0      486        0
