   Time:s   IReque   IAccep   IBlock   IRelea    #Actv   TReque   TAccep   TBlock   TRelea
  138.000        6        0        6        0        0      514        0      514        0
  139.000        4        0        4        0        0      518        0      518        0
  140.000        4        0        4        0        0      522        0      522        0
  141.000       10        0       10        0        0      532        0      532        0
  142.000        7        0        7        0        0      539        0      539        0
  143.000        5        0        5        0        0      544        0      544        0
  144.000        9        0        9        0        0      553        0      553        0
  145.000        6        0        6        0        0      559        0      559        0
  146.000        2        0        2        0        0      561        0      561        0
  147.000        4        0        4        0        0      565        0      565        0
  148.000        4        0        4        0        0      569        0      569        0
  149.000        8        0        8        0        0      577        0      577        0
  150.000        3        0        3        0        0      580        0      580        0
  151.000        4        0        4        0        0      584        0      584        0
  152.000       14        0       14        0        0      598        0      598        0
  153.000        2        0        2        0        0      600        0      600        0
  154.000        3        0        3        0        0      603        0      603        0
  155.000        0        0        0        0        0      603        0      603        0
  156.000        7        0        7        0        0      610        0      610        0
  157.000        8        0        8        0        0      618        0      618        0
  158.000        6        0        6        0        0      624        0      624        0
  159.000        4        0        4        0        0      628        0      628        0
  160.000        8        0        8        0        0      636        0      636        0
  161.000        7        0        7        0        0      643        0      643        0
  162.000        5        0        5        0        0      648        0      648        0
  163.000        8        0        8        0        0      656        0      656        0
  164.000        4        0        4        0        0      660        0      660        0
  165.000        0        0        0        0        0      660        0      660        0
  166.000        0        0        0        0        0      660        0      660        0
  167.000        0        0        0        0        0      660        0      660        0
  168.000        3        0        3        0        0      663        0      663        0
  169.000        2        0        2        0        0      665        0      665        0
  170.000        3        0        3        0        0      668        0      668        0
  171.000       13        0       13        0        0      681        0      681        0
  172.000       16        0       16        0        0      697        0      697        0
  173.000        5        0        5        0        0      702        0      702        0
  174.000        8        0        8        0        0      710        0      710        0
  175.000        7        0        7        0        0      717        0      717        0
  176.000        3        0        3        0        0      720        0      720        0
  177.000        2        0        2        0        0      722        0      722        0
  178.000        2        0        2        0        0      724        0      724        0
  179.000        6        0        6        0        0      730        0      730        0
  180.000        1        0        1        0        0      731        0      731        0
  181.000        4        0        4        0        0      735        0      735        0
  182.000        4        0        4        0        0      739        0      739        0
  183.000        4        0        4        0        0      743        0      743        0
  184.000        2        0        2        0        0      745        0      745        0
  185.000        4        0        4        0        0      749        0      749        0
  186.000       13        0       13        0        0      762        0      762        0
  187.000        6        0        6        0        0      768        0      768        0
  188.000        2        0        2        0        0      770        0      770        0
  189.000        8        0        8        0        0      778        0      778        0
  190.000        4        0        4        0        0      782        0      782        0
  191.000        2        0        2        0        0      784        0      784        0
  192.000        8        0        8        0        0      792        0      792        0
  193.000        7        0        7        0        0      799        0      799        0
  194.000        9        0        9        0        0      808        0      808        0
  195.000        8        0        8        0        0      816        0      816        0
  196.000        4        0        4        0        0      820        0      820        0
  197.000        3        0        3        0        0      823        0      823        0
  198.000        4        0        4        0        0      827        0      827        0
  199.000        7        0        7        0        0      834        0      834        0
  200.000       11        0       11        0        0      845        0      845        0
  201.000        3        0        3        0        0      848        0      848        0
  202.000        0        0        0        0        0      848        0      848        0
  203.000        4        0        4        0        0      852        0      852        0
  204.000        8        0        8        0        0      860        0      860        0
  205.000       11        0       11        0        0      871        0      871        0
  206.000        5        0        5        0        0      876        0      876        0
  207.000        2        0        2        0        0      878        0      878        0
  208.000        4        0        4        0        0      882        0      882        0
  209.000        7        0        7        0        0      889        0      889        0
  210.000        7        0        7        0        0      896        0      896        0
  211.000        8        0        8        0        0      904        0      904        0
  212.000        5        0        5        0        0      909        0      909        0
  213.000        9        0        9        0        0      918        0      918        0
  214.000        1        0        1        0        0      919        0      919        0
  215.000        2        0        2        0        0      921        0      921        0
  216.000        1        0        1        0        0      922        0      922        0
  217.000        7        0        7        0        0      929        0      929        0
  218.000        1        0        1        0        0      930        0      930        0
  219.000       13        0       13        0        0      943        0      943        0
  220.000        8        0        8        0        0      951        0      951        0
  221.000       12        0       12        0        0      963        0      963        0
  222.000        9        0        9        0        0      972        0      972        0
  223.000        2        0        2        0        0      974        0      974        0
  224.000        4        0        4        0        0      978        0      978        0
  225.000        6        0        6        0        0      984        0      984        0
  226.000        5        0        5        0        0      989        0      989        0
  227.000        3        0        3        0        0      992        0      992        0
  228.000        4        0        4        0        0      996        0      996        0
  229.000        3        0        3        0        0      999        0      999        0
  230.000        5        0        5        0        0     1004        0     1004        0
  231.000       10        0       10        0        0     1014        0     1014        0
  232.000        7        0        7        0        0     1021        0     1021        0
  233.000        3        0        3        0        0     1024        0     1024        0
  234.000        0        0        0        0        0     1024        0     1024        0
  235.000        0        0        0        0        0     1024        0     1024        0
  236.000        0        0        0        0        0     1024        0     1024        0
  237.000        0        0        0        0        0     1024        0     1024        0
  238.000        0        0        0        0        0     1024        0     1024        0
  239.000        9        0        9        0        0     1033        0     1033        0
  240.000        3        0        3        0        0     1036        0     1036        0
  241.000        3        0        3        0        0     1039        0     1039        0
  242.000        7        0        7        0        0     1046        0     1046        0
  243.000        7        0        7        0        0     1053        0     1053        0
  244.000        2        0        2        0        0     1055        0     1055        0
  245.000        3        0        3        0        0     1058        0     1058        0
  246.000        0        0        0        0        0     1058        0     1058        0
  247.000        8        0        8        0        0     1066        0     1066        0
  248.000        7        0        7        0        0     1073        0     1073        0
  249.000        5        0        5        0        0     1078        0     1078        0
  250.000        4        0        4        0        0     1082        0     1082        0
  251.000        5        0        5        0        0     1087        0     1087        0
  252.000        2        0        2        0        0     1089        0     1089        0
  253.000        2        0        2        0        0     1091        0     1091        0
  254.000        5        0        5        0        0     1096        0     1096        0
  255.000        2        0        2        0        0     1098        0     1098        0
  256.000       11        0       11        0        0     1109        0     1109        0
  257.000        6        0        6        0        0     1115        0     1115        0
