   Time:s    ILoad   IMeter   IQueue    TLoad   TMeter   TQueue
   69.000        0        0        0        0        0        0
   70.000        0        0        0        0        0        0
   71.000        0        0        0        0        0        0
   72.000        0        0        0        0        0        0
   73.000        0        0        0        0        0        0
   74.000     5391        0        0     5391        0        0
   75.000     5968        0        0    11359        0        0
   76.000     2865        0        0    14224        0        0
   77.000        0        0        0    14224        0        0
   78.000        0        0        0    14224        0        0
   79.000        0        0        0    14224        0        0
   80.000        0        0        0    14224        0        0
   81.000     1056        0        0    15280        0        0
   82.000     1726        0        0    17006        0        0
   83.000     2667        0        0    19673        0        0
   84.000     3439        0        0    23112        0        0
   85.000     3929        0        0    27041        0        0
   86.000     4168        0        0    31209        0        0
   87.000     4697        0        0    35906        0        0
   88.000     5184        0        0    41090        0        0
   89.000     5700        0        0    46790        0        0
   90.000     6423        0        0    53213        0        0
   91.000     4671        0        0    57884        0        0
   92.000     2925        0        0    60809        0        0
   93.000     3018        0        0    63827        0        0
   94.000     3462        0        0    67289        0        0
   95.000     3248        0        0    70537        0        0
   96.000     3806        0        0    74343        0        0
   97.000     4340        0        0    78683        0        0
   98.000     4604        0        0    83287        0        0
   99.000     4896        0        0    88183        0        0
  100.000     5429        0        0    93612        0        0
  101.000     5622        0        0    99234        0        0
  102.000     5851        0        0   105085        0        0
  103.000     6430        0        0   111515        0        0
  104.000     6756        0        0   118271        0        0
  105.000     7199        0        0   125470        0        0
  106.000     4555        0        0   130025        0        0
  107.000     2440        0        0   132465        0        0
  108.000     2186        0        0   134651        0        0
  109.000     2364        0        0   137015        0        0
  110.000     2101        0        0   139116        0        0
  111.000     2291        0        0   141407        0        0
  112.000     2835        0        0   144242        0        0
  113.000     3275        0        0   147517        0        0
  114.000     3733        0        0   151250        0        0
  115.000     3734        0        0   154984        0        0
  116.000     3878        0        0   158862        0        0
  117.000     4938        0        0   163800        0        0
  118.000     5532        0        0   169332        0        0
  119.000     6069        0        0   175401        0        0
  120.000     6144        0        0   181545        0        0
  121.000     4264        0        0   185809        0        0
  122.000     1670        0        0   187479        0        0
  123.000     1953        0        0   189432        0        0
  124.000     2272        0        0   191704        0        0
  125.000     3203        0        0   194907        0        0
  126.000     3887        0        0   198794        0        0
  127.000     4067        0        0   202861        0        0
  128.000     4390        0        0   207251        0        0
  129.000     4832        0        0   212083        0        0
  130.000     5712        0        0   217795        0        0
  131.000     6768        0        0   224563        0        0
  132.000     6978        0        0   231541        0        0
  133.000     6895        0        0   238436        0        0
  134.000     7350        0        0   245786        0        0
  135.000     7730        0        0   253516        0        0
  136.000     5045        0        0   258561        0        0
  137.000     2519        0        0   261080        0        0
  138.000     2685        0        0   263765        0        0
  139.000     3031        0        0   266796        0        0
  140.000     3590        0        0   270386        0        0
  141.000     3697        0        0   274083        0        0
  142.000     4314        0        0   278397        0        0
  143.000     5224        0        0   283621        0        0
  144.000     5408        0        0   289029        0        0
  145.000     6276        0        0   295305        0        0
  146.000     7011        0        0   302316        0        0
  147.000     6974        0        0   309290        0        0
  148.000     7215        0        0   316505        0        0
  149.000     7496        0        0   324001        0        0
  150.000     8072        0        0   332073        0        0
  151.000     4430        0        0   336503        0        0
  152.000      851        0        0   337354        0        0
  153.000     2057        0        0   339411        0        0
  154.000     2317        0        0   341728        0        0
  155.000     2357        0        0   344085        0        0
  156.000     2334        0        0   346419        0        0
  157.000     3190        0        0   349609        0        0
  158.000     3335        0        0   352944        0        0
  159.000     3351        0        0   356295        0        0
  160.000     3396        0        0   359691        0        0
  161.000     3703        0        0   363394        0        0
  162.000     4741        0        0   368135        0        0
  163.000     5781        0        0   373916        0        0
  164.000     5931        0        0   379847        0        0
  165.000     6112        0        0   385959        0        0
  166.000     3126        0        0   389085        0        0
  167.000        0        0        0   389085        0        0
  168.000        0        0        0   389085        0        0
  169.000        0        0        0   389085        0        0
  170.000      225        0        0   389310        0        0
  171.000      660        0        0   389970        0        0
  172.000     1163        0        0   391133        0        0
  173.000     1695        0        0   392828        0        0
  174.000     2706        0        0   395534        0        0
