   Time:s   IReque   IAccep   IBlock   IRelea    #Actv   TReque   TAccep   TBlock   TRelea
  120.000        4        0        4        0        0      333        0      333        0
  121.000       12        0       12        0        0      345        0      345        0
  122.000        1        0        1        0        0      346        0      346        0
  123.000        0        0        0        0        0      346        0      346        0
  124.000        0        0        0        0        0      346        0      346        0
  125.000        0        0        0        0        0      346        0      346        0
  126.000        0        0        0        0        0      346        0      346        0
  127.000        0        0        0        0        0      346        0      346        0
  128.000        0        0        0        0        0      346        0      346        0
  129.000        4        0        4        0        0      350        0      350        0
  130.000        6        0        6        0        0      356        0      356        0
  131.000        0        0        0        0        0      356        0      356        0
  132.000        0        0        0        0        0      356        0      356        0
  133.000        3        0        3        0        0      359        0      359        0
  134.000        1        0        1        0        0      360        0      360        0
  135.000        0        0        0        0        0      360        0      360        0
  136.000        0        0        0        0        0      360        0      360        0
  137.000        0        0        0        0        0      360        0      360        0
  138.000        9        0        9        0        0      369        0      369        0
  139.000        0        0        0        0        0      369        0      369        0
  140.000        0        0        0        0        0      369        0      369        0
  141.000        5        0        5        0        0      374        0      374        0
  142.000        0        0        0        0        0      374        0      374        0
  143.000        0        0        0        0        0      374        0      374        0
  144.000        0        0        0        0        0      374        0      374        0
  145.000        0        0        0        0        0      374        0      374        0
  146.000        0        0        0        0        0      374        0      374        0
  147.000        1        0        1        0        0      375        0      375        0
  148.000        4        0        4        0        0      379        0      379        0
  149.000        0        0        0        0        0      379        0      379        0
  150.000        0        0        0        0        0      379        0      379        0
  151.000        1        0        1        0        0      380        0      380        0
  152.000        9        0        9        0        0      389        0      389        0
  153.000        7        0        7        0        0      396        0      396        0
  154.000        7        0        7        0        0      403        0      403        0
  155.000        1        0        1        0        0      404        0      404        0
  156.000        3        0        3        0        0      407        0      407        0
  157.000        2        0        2        0        0      409        0      409        0
  158.000        0        0        0        0        0      409        0      409        0
  159.000       13        0       13        0        0      422        0      422        0
  160.000        8        0        8        0        0      430        0      430        0
  161.000        0        0        0        0        0      430        0      430        0
  162.000        0        0        0        0        0      430        0      430        0
  163.000        1        0        1        0        0      431        0      431        0
  164.000        3        0        3        0        0      434        0      434        0
  165.000        0        0        0        0        0      434        0      434        0
  166.000        0        0        0        0        0      434        0      434        0
  167.000        8        0        8        0        0      442        0      442        0
  168.000        4        0        4        0        0      446        0      446        0
  169.000        3        0        3        0        0      449        0      449        0
  170.000       15        0       15        0        0      464        0      464        0
  171.000        2        0        2        0        0      466        0      466        0
  172.000        3        0        3        0        0      469        0      469        0
  173.000        4        0        4        0        0      473        0      473        0
  174.000        3        0        3        0        0      476        0      476        0
