    Time      SRC      DST   Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x0ae0ad2713753311       10.0.0.174       10.0.0.173    10003    30003    17        1           true    false     false    2                9.334         0.000         0        2329989
  10.000       SW       HW 0x0ac0ab2711753111       10.0.0.172       10.0.0.171    10001    30001    17        1           true    false     false    2                5.797         0.000         0        2320086
  10.000       SW       HW 0x0c00bf2713753311       10.0.0.192       10.0.0.191    10003    30003    17        1           true    false     false    2                6.155         0.000         0        2312030
  10.000       SW       HW 0x0a20a12711753111       10.0.0.162       10.0.0.161    10001    30001    17        1           true    false     false    2                3.995         0.000         0        2308523
  10.000       SW       HW 0x08007f2715753511       10.0.0.128       10.0.0.127    10005    30005    17        1           true    false     false    2                8.539         0.000         0        2307812
  10.000       SW       HW 0x02c02b2713753311       10.0.0.44       10.0.0.43    10003    30003    17        1           true    false     false    1                8.351         0.000         0        2287136
  10.000       SW       HW 0x08a0892710753011       10.0.0.138       10.0.0.137    10000    30000    17        1           true    false     false    2                1.536         0.000         0        2284125
  10.000       SW       HW 0x06e06d2716753611       10.0.0.110       10.0.0.109    10006    30006    17        1           true    false     false    2                5.125         0.000         0        2273898
  10.000       SW       HW 0x0520512711753111       10.0.0.82       10.0.0.81    10001    30001    17        1           true    false     false    1                4.686         0.000         0        2273243
  10.000       SW       HW 0x0560552712753211       10.0.0.86       10.0.0.85    10002    30002    17        1           true    false     false    1                5.035         0.000         0        2271763
  10.000       SW       HW 0x0b80b72710753011       10.0.0.184       10.0.0.183    10000    30000    17        1           true    false     false    2                3.844         0.000         0        2259562
  10.000       SW       HW 0x0c20c12711753111       10.0.0.194       10.0.0.193    10001    30001    17        1           true    false     false    2                6.710         0.000         0        2248932
  10.000       SW       HW 0x01c01b2717753711       10.0.0.28       10.0.0.27    10007    30007    17        1           true    false     false    1                6.523         0.000         0        2246119
  10.000       SW       HW 0x0c00bf2714753411       10.0.0.192       10.0.0.191    10004    30004    17        1           true    false     false    2                6.325         0.000         0        2237429
  10.000       SW       HW 0x02a0292711753111       10.0.0.42       10.0.0.41    10001    30001    17        1           true    false     false    1                2.916         0.000         0        2216941
  10.000       SW       HW 0x0460452712753211       10.0.0.70       10.0.0.69    10002    30002    17        1           true    false     false    1                7.838         0.000         0        2204887
  10.000       SW       HW 0x0560552714753411       10.0.0.86       10.0.0.85    10004    30004    17        1           true    false     false    1                8.220         0.000         0        2194508
  10.000       SW       HW 0x06005f2712753211       10.0.0.96       10.0.0.95    10002    30002    17        1           true    false     false    1                8.644         0.000         0        2183015
  10.000       SW       HW 0x0b40b32711753111       10.0.0.180       10.0.0.179    10001    30001    17        1           true    false     false    2                3.838         0.000         0        2180626
  10.000       SW       HW 0x0b00af2712753211       10.0.0.176       10.0.0.175    10002    30002    17        1           true    false     false    2                6.467         0.000         0        2173201
  10.000       SW       HW 0x0580572711753111       10.0.0.88       10.0.0.87    10001    30001    17        1           true    false     false    1                2.264         0.000         0        2164902
  10.000       SW       HW 0x0a009f2711753111       10.0.0.160       10.0.0.159    10001    30001    17        1           true    false     false    2                2.605         0.000         0        2146906
  10.000       SW       HW 0x0b60b52712753211       10.0.0.182       10.0.0.181    10002    30002    17        1           true    false     false    2                5.664         0.000         0        2120094
  10.000       SW       HW 0x0660652713753311       10.0.0.102       10.0.0.101    10003    30003    17        1           true    false     false    1                8.492         0.000         0        2106659
  10.000       SW       HW 0x0b20b12711753111       10.0.0.178       10.0.0.177    10001    30001    17        1           true    false     false    2                9.134         0.000         0        2099996
  10.000       SW       HW 0x0c60c52710753011       10.0.0.198       10.0.0.197    10000    30000    17        1           true    false     false    2                4.691         0.000         0        2099473
  10.000       SW       HW 0x03c03b2711753111       10.0.0.60       10.0.0.59    10001    30001    17        1           true    false     false    1                3.851         0.000         0        2092552
  10.000       SW       HW 0x0b00af2710753011       10.0.0.176       10.0.0.175    10000    30000    17        1           true    false     false    2                1.346         0.000         0        2088248
  10.000       SW       HW 0x0620612715753511       10.0.0.98       10.0.0.97    10005    30005    17        1           true    false     false    1                4.286         0.000         0        2077940
  10.000       SW       HW 0x00a0092711753111       10.0.0.10       10.0.0.9    10001    30001    17        1           true    false     false    1                3.966         0.000         0        2072147
  10.000       SW       HW 0x08a0892713753311       10.0.0.138       10.0.0.137    10003    30003    17        1           true    false     false    2                7.420         0.000         0        2068308
  10.000       SW       HW 0x03a0392711753111       10.0.0.58       10.0.0.57    10001    30001    17        1           true    false     false    1                4.326         0.000         0        2062798
  10.000       SW       HW 0x0840832717753711       10.0.0.132       10.0.0.131    10007    30007    17        1           true    false     false    2                9.006         0.000         0        2050367
  10.000       SW       HW 0x0be0bd2710753011       10.0.0.190       10.0.0.189    10000    30000    17        1           true    false     false    2                2.067         0.000         0        2028788
  10.000       SW       HW 0x0260252714753411       10.0.0.38       10.0.0.37    10004    30004    17        1           true    false     false    1                5.765         0.000         0        2004556
