  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032744756411       10.0.0.4       10.0.0.3    10052    30052    17        0           0        0        0        1          102.741             170.8        739808          87994
0x0040032745756511       10.0.0.4       10.0.0.3    10053    30053    17        0           0        0        0        1          105.445             213.7       4554064         348453
0x0040032746756611       10.0.0.4       10.0.0.3    10054    30054    17        0           0        0        0        1          108.172             155.9         22740           4349
0x0040032747756711       10.0.0.4       10.0.0.3    10055    30055    17        0           0        0        0        1          107.479             208.3       1652440         142881
0x0040032748756811       10.0.0.4       10.0.0.3    10056    30056    17        0           0        0        0        1          108.932             194.7      17148992        1692313
0x0040032749756911       10.0.0.4       10.0.0.3    10057    30057    17        0           0        0        0        1          110.815             208.2      19709516        1767967
0x004003274a756a11       10.0.0.4       10.0.0.3    10058    30058    17        0           0        0        0        1          114.969             180.3       8472924        1042318
0x004003274b756b11       10.0.0.4       10.0.0.3    10059    30059    17        0           0        0        0        1          116.233             244.7      15802784        1021452
0x004003274c756c11       10.0.0.4       10.0.0.3    10060    30060    17        0           0        0        0        1          116.918             164.2       1226444         227742
0x004003274d756d11       10.0.0.4       10.0.0.3    10061    30061    17        0           0        0        0        1          118.731             227.8      11188080         883828
0x004003274e756e11       10.0.0.4       10.0.0.3    10062    30062    17        0           0        0        0        1          119.118             164.6       3383712         662143
0x004003274f756f11       10.0.0.4       10.0.0.3    10063    30063    17        0           0        0        0        1          122.402             166.4        750420         159671
0x0040032750757011       10.0.0.4       10.0.0.3    10064    30064    17        0           0        0        0        1          122.416               226       3788484         310581
0x0040032751757111       10.0.0.4       10.0.0.3    10065    30065    17        0           0        0        0        1          123.401             221.7      23344884        1933343
0x0040032752757211       10.0.0.4       10.0.0.3    10066    30066    17        0           0        0        0        1          124.279             229.4        448736          37503
0x0040032753757311       10.0.0.4       10.0.0.3    10067    30067    17        0           0        0        0        1          124.867             233.7       2736380         208223
0x0040032754757411       10.0.0.4       10.0.0.3    10068    30068    17        0           0        0        0        1          126.002             242.4      23408556        1642728
0x0040032755757511       10.0.0.4       10.0.0.3    10069    30069    17        0           0        0        0        1          130.007             221.3      27034828        2403295
0x0040032756757611       10.0.0.4       10.0.0.3    10070    30070    17        0           0        0        0        1          132.784             261.3      14925020         938561
0x0040032757757711       10.0.0.4       10.0.0.3    10071    30071    17        0           0        0        0        1          133.093             239.4       3024420         249676
0x0040032758757811       10.0.0.4       10.0.0.3    10072    30072    17        0           0        0        0        1          134.955               233        853508          71840
0x0040032759757911       10.0.0.4       10.0.0.3    10073    30073    17        0           0        0        0        1          141.618             183.5       3489832         727392
0x004003275a757a11       10.0.0.4       10.0.0.3    10074    30074    17        0           0        0        0        1          142.931             246.8      10307284         849477
0x004003275b757b11       10.0.0.4       10.0.0.3    10075    30075    17        0           0        0        0        1           143.57             192.3        718584         123813
0x004003275c757c11       10.0.0.4       10.0.0.3    10076    30076    17        0           0        0        0        1          143.624             209.8       8924692        1266458
0x004003275d757d11       10.0.0.4       10.0.0.3    10077    30077    17        0           0        0        0        1          144.111             262.7       9296112         641723
0x004003275e757e11       10.0.0.4       10.0.0.3    10078    30078    17        0           0        0        0        1          144.555             245.2       7428400         622634
0x004003275f757f11       10.0.0.4       10.0.0.3    10079    30079    17        0           0        0        0        1          151.091             225.2      13581844        1576779
0x0040032760758011       10.0.0.4       10.0.0.3    10080    30080    17        0           0        0        0        1          152.069             235.5       6076128         623741
0x0040032761758111       10.0.0.4       10.0.0.3    10081    30081    17        0           0        0        0        1          152.998             249.2       5627392         517447
0x0040032762758211       10.0.0.4       10.0.0.3    10082    30082    17        0           0        0        0        1          157.731             218.5       1629700         249434
0x0040032763758311       10.0.0.4       10.0.0.3    10083    30083    17        0           0        0        0        1          162.744             247.4        621560          64364
0x0040032764758411       10.0.0.4       10.0.0.3    10084    30084    17        0           0        0        0        1          162.757             270.1      22620236        1687407
0x0040032765758511       10.0.0.4       10.0.0.3    10085    30085    17        0           0        0        0        1           162.87             288.9      11463992         782993
0x0040032766758611       10.0.0.4       10.0.0.3    10086    30086    17        0           0        0        0        1           167.47             217.8       2559008         481354
0x0040032767758711       10.0.0.4       10.0.0.3    10087    30087    17        0           0        0        0        1          167.721               224       8597236        1315589
0x0040032768758811       10.0.0.4       10.0.0.3    10088    30088    17        0           0        0        0        1          168.749             272.7      31429712        2483307
0x0040032769758911       10.0.0.4       10.0.0.3    10089    30089    17        0           0        0        0        1          171.583             271.5       7152488         581402
0x004003276a758a11       10.0.0.4       10.0.0.3    10090    30090    17        0           0        0        0        1           173.47             250.2       3938568         411717
0x004003276b758b11       10.0.0.4       10.0.0.3    10091    30091    17        0           0        0        0        1          175.445             232.6         56092           8225
0x004003276c758c11       10.0.0.4       10.0.0.3    10092    30092    17        0           0        0        0        1          175.344             256.7        911116          97633
0x004003276d758d11       10.0.0.4       10.0.0.3    10093    30093    17        0           0        0        0        1          177.156             222.9      12437264        2322317
0x004003276e758e11       10.0.0.4       10.0.0.3    10094    30094    17        0           0        0        0        1          181.116             234.2        765580         125290
0x004003276f758f11       10.0.0.4       10.0.0.3    10095    30095    17        0           0        0        0        1          182.009             271.3      20473580        1861424
0x0040032770759011       10.0.0.4       10.0.0.3    10096    30096    17        0           0        0        0        1          183.729             296.4       2149688         161826
0x0040032771759111       10.0.0.4       10.0.0.3    10097    30097    17        0           0        0        0        1          184.726               234       2079952         367529
0x0040032772759211       10.0.0.4       10.0.0.3    10098    30098    17        0           0        0        0        1          188.012               224       2052664         513364
0x0040032773759311       10.0.0.4       10.0.0.3    10099    30099    17        0           0        0        0        1          189.562             290.1      14633948        1165611
0x0040032774759411       10.0.0.4       10.0.0.3    10100    30100    17        0           0        0        0        1          197.452             301.9       6367200         496720
0x0040032775759511       10.0.0.4       10.0.0.3    10101    30101    17        0           0        0        0        1          198.443             262.9        263784          34281
0x0040032776759611       10.0.0.4       10.0.0.3    10102    30102    17        0           0        0        0        1          199.816             287.1       5371188         535886
0x0040032777759711       10.0.0.4       10.0.0.3    10103    30103    17        0           0        0        0        1          199.831             273.8       2446824         278961
0x0040032778759811       10.0.0.4       10.0.0.3    10104    30104    17        0           0        0        0        1          201.472             262.8       3386744         462925
0x0040032779759911       10.0.0.4       10.0.0.3    10105    30105    17        0           0        0        0        1          201.682               249        465412          97168
0x004003277a759a11       10.0.0.4       10.0.0.3    10106    30106    17        0           0        0        0        1           202.72             310.8       2610552         194672
0x004003277b759b11       10.0.0.4       10.0.0.3    10107    30107    17        0           0        0        0        1          202.796             284.5        715552          74146
0x004003277c759c11       10.0.0.4       10.0.0.3    10108    30108    17        0           0        0        0        1          202.762             294.9       8742772         801738
0x004003277d759d11       10.0.0.4       10.0.0.3    10109    30109    17        0           0        0        0        1          213.865             265.9       8767028        1520254
0x004003277e759e11       10.0.0.4       10.0.0.3    10110    30110    17        0           0        0        0        1          215.919             263.1       4215996         765143
0x004003277f759f11       10.0.0.4       10.0.0.3    10111    30111    17        0           0        0        0        1          216.499             283.8      12015816        1513784
0x004003278075a011       10.0.0.4       10.0.0.3    10112    30112    17        0           0        0        0        1          218.351             339.8      14517216         525750
0x004003278175a111       10.0.0.4       10.0.0.3    10113    30113    17        0           0        0        0        1          219.703             278.3       2139076         340229
0x004003278275a211       10.0.0.4       10.0.0.3    10114    30114    17        0           0        0        0        1          223.611             302.5       4704148         492654
0x004003278375a311       10.0.0.4       10.0.0.3    10115    30115    17        0           0        0        0        1          224.119             349.9      44255072        1528235
0x004003278475a411       10.0.0.4       10.0.0.3    10116    30116    17        0           0        0        0        1          224.307             312.7       2460468         229699
0x004003278575a511       10.0.0.4       10.0.0.3    10117    30117    17        0           0        0        0        1           224.53               280       1664568         240068
0x004003278675a611       10.0.0.4       10.0.0.3    10118    30118    17        0           0        0        0        1          225.985             325.3       1587252         135063
