Timestamp,IpOri,PortaOri,IpDest,PortaDest,?,Tempo,BitsEnv,Banda,Jitter,PctPerdido,PctEnv,%Perda,ForaOrdem
20190819115337,10.1.0.2,5502,10.1.0.1,5002,3,0.0-10.0,336371280,269076574
20190819115337,10.1.0.2,5504,10.1.0.1,5004,3,0.0-10.0,336358050,269032391
20190819115337,10.1.0.1,5002,10.1.0.2,5502,3,0.0-10.2,154904190,121074718,0.296,123447,228824,53.948,366
20190819115337,10.1.0.1,5004,10.1.0.2,5504,3,0.0-10.2,154523460,120774976,0.271,123697,228815,54.060,416
20190819115338,10.1.0.2,5506,10.1.0.1,5006,3,0.0-10.0,316294020,253032710
20190819115338,10.1.0.2,5505,10.1.0.1,5005,3,0.0-10.0,820260,654333
20190819115338,10.1.0.2,5509,10.1.0.1,5009,3,0.0-10.0,740880,590844
20190819115338,10.1.0.1,5009,10.1.0.2,5509,3,0.0-10.0,740880,590904,0.089,0,504,0.000,0
20190819115338,10.1.0.1,5005,10.1.0.2,5505,3,0.0-10.0,820260,654413,0.083,0,558,0.000,0
20190819115338,10.1.0.1,5006,10.1.0.2,5506,3,0.0-10.3,145904850,113570636,0.161,115911,215166,53.870,10
20190819115340,10.1.0.2,5508,10.1.0.1,5008,3,0.0-10.0,355947270,284743493
20190819115340,10.1.0.2,5503,10.1.0.1,5003,3,0.0-10.0,579180,461821
20190819115340,10.1.0.1,5003,10.1.0.2,5503,3,0.0-10.0,579180,461871,0.107,0,394,0.000,0
20190819115340,10.1.0.1,5008,10.1.0.2,5508,3,0.0-10.3,164088750,127597493,0.121,130516,242141,53.901,0
20190819115341,10.1.0.2,5501,10.1.0.1,5001,3,0.0-10.0,981960,784378
20190819115341,10.1.0.1,5001,10.1.0.2,5501,3,0.0-10.0,981960,784460,0.347,0,668,0.000,0
20190819115345,10.1.0.2,5510,10.1.0.1,5010,3,0.0-10.0,686810460,549447983
20190819115345,10.1.0.1,5010,10.1.0.2,5510,3,0.0-10.3,353035200,274809024,0.030,227058,467218,48.598,2
20190819115346,10.1.0.2,5507,10.1.0.1,5007,3,0.0-10.0,909930,726012
20190819115346,10.1.0.1,5007,10.1.0.2,5507,3,0.0-10.0,909930,726119,0.032,0,619,0.000,0
