    Time      SRC      DST   Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x01a0192712753211       10.0.0.26       10.0.0.25    10002    30002    17        1           true    false     false    1                2.416         0.000         0         738773
  10.000       SW       HW 0x0320312711753111       10.0.0.50       10.0.0.49    10001    30001    17        1           true    false     false    2                5.321         0.000         0         689475
  10.000       SW       HW 0x0120112712753211       10.0.0.18       10.0.0.17    10002    30002    17        1           true    false     false    1                7.887         0.000         0         682918
  10.000       SW       HW 0x0040032713753311       10.0.0.4       10.0.0.3    10003    30003    17        1           true    false     false    1                5.738         0.000         0         677235
  10.000       SW       HW 0x0080072710753011       10.0.0.8       10.0.0.7    10000    30000    17        1           true    false     false    1                2.965         0.000         0         674079
  10.000       SW       HW 0x0080072711753111       10.0.0.8       10.0.0.7    10001    30001    17        1           true    false     false    1                5.302         0.000         0         660882
  10.000       SW       HW 0x01a0192715753511       10.0.0.26       10.0.0.25    10005    30005    17        1           true    false     false    1                7.627         0.000         0         654204
  10.000       SW       HW 0x01c01b2712753211       10.0.0.28       10.0.0.27    10002    30002    17        1           true    false     false    2                7.968         0.000         0         644584
  10.000       SW       HW 0x0240232713753311       10.0.0.36       10.0.0.35    10003    30003    17        1           true    false     false    2                7.815         0.000         0         627164
  10.000       SW       HW 0x0180172713753311       10.0.0.24       10.0.0.23    10003    30003    17        1           true    false     false    1                7.894         0.000         0         616295
  10.000       SW       HW 0x0220212714753411       10.0.0.34       10.0.0.33    10004    30004    17        1           true    false     false    2                8.491         0.000         0         610937
  10.000       SW       HW 0x01000f2713753311       10.0.0.16       10.0.0.15    10003    30003    17        1           true    false     false    1                8.665         0.000         0         608489
  10.000       SW       HW 0x0320312713753311       10.0.0.50       10.0.0.49    10003    30003    17        1           true    false     false    2                8.798         0.000         0         605155
  10.000       SW       HW 0x01c01b2710753011       10.0.0.28       10.0.0.27    10000    30000    17        1           true    false     false    2                2.698         0.000         0         558036
  10.000       SW       HW 0x01000f2716753611       10.0.0.16       10.0.0.15    10006    30006    17        1           true    false     false    1                9.395         0.000         0         521172
  10.000       SW       HW 0x0120112711753111       10.0.0.18       10.0.0.17    10001    30001    17        1           true    false     false    1                3.520         0.000         0         505312
  10.000       SW       HW 0x01e01d2714753411       10.0.0.30       10.0.0.29    10004    30004    17        1           true    false     false    2                6.381         0.000         0         499363
  10.000       SW       HW 0x01a0192713753311       10.0.0.26       10.0.0.25    10003    30003    17        1           true    false     false    1                2.687         0.000         0         479302
  10.000       SW       HW 0x02a0292712753211       10.0.0.42       10.0.0.41    10002    30002    17        1           true    false     false    2                7.546         0.000         0         459649
  10.000       SW       HW 0x02c02b2710753011       10.0.0.44       10.0.0.43    10000    30000    17        1           true    false     false    2                3.069         0.000         0         446234
  10.000       SW       HW 0x01e01d2710753011       10.0.0.30       10.0.0.29    10000    30000    17        1           true    false     false    2                1.825         0.000         0         437621
  10.000       SW       HW 0x03002f2712753211       10.0.0.48       10.0.0.47    10002    30002    17        1           true    false     false    2                2.702         0.000         0         437069
  10.000       SW       HW 0x0180172712753211       10.0.0.24       10.0.0.23    10002    30002    17        1           true    false     false    1                4.172         0.000         0         428666
  10.000       SW       HW 0x00a0092710753011       10.0.0.10       10.0.0.9    10000    30000    17        1           true    false     false    1                3.519         0.000         0         422925
  10.000       SW       HW 0x03002f2713753311       10.0.0.48       10.0.0.47    10003    30003    17        1           true    false     false    2                3.822         0.000         0         396567
  10.000       SW       HW 0x01c01b2713753311       10.0.0.28       10.0.0.27    10003    30003    17        1           true    false     false    2                9.499         0.000         0         387125
  10.000       SW       HW 0x0260252710753011       10.0.0.38       10.0.0.37    10000    30000    17        1           true    false     false    2                3.974         0.000         0         366299
  10.000       SW       HW 0x0220212710753011       10.0.0.34       10.0.0.33    10000    30000    17        1           true    false     false    2                1.327         0.000         0         359381
  10.000       SW       HW 0x01000f2715753511       10.0.0.16       10.0.0.15    10005    30005    17        1           true    false     false    1                9.167         0.000         0         349449
  10.000       SW       HW 0x0160152711753111       10.0.0.22       10.0.0.21    10001    30001    17        1           true    false     false    1                2.955         0.000         0         335708
  10.000       SW       HW 0x00e00d2711753111       10.0.0.14       10.0.0.13    10001    30001    17        1           true    false     false    1                8.753         0.000         0         321028
  10.000       SW       HW 0x0040032712753211       10.0.0.4       10.0.0.3    10002    30002    17        1           true    false     false    1                5.085         0.000         0         283743
