   Time:s    ILoad   IMeter   IQueue    TLoad   TMeter   TQueue
  170.000    43952        0        0  3313494        0        0
  171.000    23831        0        0  3337325        0        0
  172.000    22122        0        0  3359447        0        0
  173.000    20499        0        0  3379946        0        0
  174.000    18905        0        0  3398851        0        0
  175.000    19326        0        0  3418177        0        0
  176.000    23532        0        0  3441709        0        0
  177.000    28889        0        0  3470598        0        0
  178.000    34182        0        0  3504780        0        0
  179.000    39934        0        0  3544714        0        0
  180.000    45594        0        0  3590308        0        0
  181.000    22763        0        0  3613071        0        0
  182.000    21728        0        0  3634799        0        0
  183.000    20180        0        0  3654979        0        0
  184.000    18502        0        0  3673481        0        0
  185.000    20244        0        0  3693725        0        0
  186.000    25747        0        0  3719472        0        0
  187.000    30743        0        0  3750215        0        0
  188.000    34918        0        0  3785133        0        0
  189.000    39641        0        0  3824774        0        0
  190.000    45202        0        0  3869976        0        0
  191.000    18748        0        0  3888724        0        0
  192.000    16866        0        0  3905590        0        0
  193.000    15255        0        0  3920845        0        0
  194.000    13553        0        0  3934398        0        0
  195.000    12242        0        0  3946640        0        0
  196.000    13787        0        0  3960427        0        0
  197.000    17555        0        0  3977982        0        0
  198.000    21562        0        0  3999544        0        0
  199.000    25664        0        0  4025208        0        0
  200.000    30973        0        0  4056181        0        0
  201.000     9995        0        0  4066176        0        0
  202.000     8726        0        0  4074902        0        0
  203.000     7391        0        0  4082293        0        0
  204.000     6031        0        0  4088324        0        0
  205.000     6455        0        0  4094779        0        0
  206.000    11652        0        0  4106431        0        0
  207.000    18105        0        0  4124536        0        0
  208.000    24809        0        0  4149345        0        0
  209.000    30549        0        0  4179894        0        0
  210.000    35368        0        0  4215262        0        0
  211.000    13155        0        0  4228417        0        0
  212.000    11666        0        0  4240083        0        0
  213.000     9896        0        0  4249979        0        0
  214.000     8609        0        0  4258588        0        0
  215.000     9894        0        0  4268482        0        0
  216.000    15134        0        0  4283616        0        0
  217.000    20824        0        0  4304440        0        0
  218.000    26708        0        0  4331148        0        0
  219.000    31417        0        0  4362565        0        0
  220.000    36649        0        0  4399214        0        0
  221.000    13804        0        0  4413018        0        0
  222.000    12308        0        0  4425326        0        0
  223.000    10917        0        0  4436243        0        0
  224.000     9786        0        0  4446029        0        0
  225.000    13692        0        0  4459721        0        0
  226.000    18792        0        0  4478513        0        0
  227.000    23686        0        0  4502199        0        0
  228.000    27748        0        0  4529947        0        0
  229.000    31548        0        0  4561495        0        0
  230.000    36631        0        0  4598126        0        0
  231.000    15285        0        0  4613411        0        0
  232.000    13728        0        0  4627139        0        0
  233.000    12537        0        0  4639676        0        0
  234.000    11144        0        0  4650820        0        0
  235.000    11390        0        0  4662210        0        0
  236.000    15944        0        0  4678154        0        0
  237.000    22413        0        0  4700567        0        0
  238.000    27497        0        0  4728064        0        0
