   Time:s   IReque   IAccep   IBlock   IRelea    #Actv   TReque   TAccep   TBlock   TRelea
  138.000        9        0        9        0        0      459        0      459        0
  139.000        4        0        4        0        0      463        0      463        0
  140.000        7        0        7        0        0      470        0      470        0
  141.000        9        0        9        0        0      479        0      479        0
  142.000        8        0        8        0        0      487        0      487        0
  143.000        0        0        0        0        0      487        0      487        0
  144.000        8        0        8        0        0      495        0      495        0
  145.000        5        0        5        0        0      500        0      500        0
  146.000        0        0        0        0        0      500        0      500        0
  147.000        4        0        4        0        0      504        0      504        0
  148.000        5        0        5        0        0      509        0      509        0
  149.000        9        0        9        0        0      518        0      518        0
  150.000        8        0        8        0        0      526        0      526        0
  151.000        3        0        3        0        0      529        0      529        0
  152.000        5        0        5        0        0      534        0      534        0
  153.000        6        0        6        0        0      540        0      540        0
  154.000        5        0        5        0        0      545        0      545        0
  155.000        2        0        2        0        0      547        0      547        0
  156.000        6        0        6        0        0      553        0      553        0
  157.000        5        0        5        0        0      558        0      558        0
  158.000       10        0       10        0        0      568        0      568        0
  159.000        8        0        8        0        0      576        0      576        0
  160.000        3        0        3        0        0      579        0      579        0
  161.000        9        0        9        0        0      588        0      588        0
  162.000        9        0        9        0        0      597        0      597        0
  163.000        9        0        9        0        0      606        0      606        0
  164.000        5        0        5        0        0      611        0      611        0
  165.000        2        0        2        0        0      613        0      613        0
  166.000       10        0       10        0        0      623        0      623        0
  167.000        3        0        3        0        0      626        0      626        0
  168.000        7        0        7        0        0      633        0      633        0
  169.000        6        0        6        0        0      639        0      639        0
  170.000        6        0        6        0        0      645        0      645        0
  171.000        4        0        4        0        0      649        0      649        0
  172.000        3        0        3        0        0      652        0      652        0
  173.000       12        0       12        0        0      664        0      664        0
  174.000       13        0       13        0        0      677        0      677        0
  175.000        7        0        7        0        0      684        0      684        0
  176.000       11        0       11        0        0      695        0      695        0
  177.000        5        0        5        0        0      700        0      700        0
  178.000        9        0        9        0        0      709        0      709        0
  179.000        6        0        6        0        0      715        0      715        0
  180.000        9        0        9        0        0      724        0      724        0
  181.000        3        0        3        0        0      727        0      727        0
  182.000        9        0        9        0        0      736        0      736        0
  183.000        2        0        2        0        0      738        0      738        0
  184.000        5        0        5        0        0      743        0      743        0
  185.000        5        0        5        0        0      748        0      748        0
  186.000        6        0        6        0        0      754        0      754        0
  187.000        2        0        2        0        0      756        0      756        0
  188.000        5        0        5        0        0      761        0      761        0
  189.000        4        0        4        0        0      765        0      765        0
  190.000        2        0        2        0        0      767        0      767        0
  191.000        4        0        4        0        0      771        0      771        0
  192.000        0        0        0        0        0      771        0      771        0
  193.000        2        0        2        0        0      773        0      773        0
  194.000        4        0        4        0        0      777        0      777        0
  195.000        2        0        2        0        0      779        0      779        0
  196.000        3        0        3        0        0      782        0      782        0
  197.000        8        0        8        0        0      790        0      790        0
  198.000        1        0        1        0        0      791        0      791        0
  199.000        8        0        8        0        0      799        0      799        0
  200.000        4        0        4        0        0      803        0      803        0
  201.000       10        0       10        0        0      813        0      813        0
  202.000        5        0        5        0        0      818        0      818        0
  203.000        6        0        6        0        0      824        0      824        0
  204.000        2        0        2        0        0      826        0      826        0
  205.000        3        0        3        0        0      829        0      829        0
  206.000        1        0        1        0        0      830        0      830        0
  207.000        8        0        8        0        0      838        0      838        0
  208.000        4        0        4        0        0      842        0      842        0
  209.000        6        0        6        0        0      848        0      848        0
  210.000        4        0        4        0        0      852        0      852        0
  211.000        6        0        6        0        0      858        0      858        0
  212.000        1        0        1        0        0      859        0      859        0
  213.000        9        0        9        0        0      868        0      868        0
  214.000        6        0        6        0        0      874        0      874        0
  215.000        6        0        6        0        0      880        0      880        0
  216.000        7        0        7        0        0      887        0      887        0
  217.000        5        0        5        0        0      892        0      892        0
  218.000        3        0        3        0        0      895        0      895        0
