   Time:s    ILoad   IMeter   IQueue    TLoad   TMeter   TQueue
  168.000    39146        0        0  4065539        0        0
  169.000    42525        0        0  4108064        0        0
  170.000    45253        0        0  4153317        0        0
  171.000    48271        0        0  4201588        0        0
  172.000    36350        0        0  4237938        0        0
  173.000    24114        0        0  4262052        0        0
  174.000    26464        0        0  4288516        0        0
  175.000    29961        0        0  4318477        0        0
  176.000    34265        0        0  4352742        0        0
  177.000    37691        0        0  4390433        0        0
  178.000    40160        0        0  4430593        0        0
  179.000    43068        0        0  4473661        0        0
  180.000    45655        0        0  4519316        0        0
  181.000    47932        0        0  4567248        0        0
  182.000    35220        0        0  4602468        0        0
  183.000    23175        0        0  4625643        0        0
  184.000    25848        0        0  4651491        0        0
  185.000    29905        0        0  4681396        0        0
  186.000    32616        0        0  4714012        0        0
  187.000    35332        0        0  4749344        0        0
  188.000    40039        0        0  4789383        0        0
  189.000    44150        0        0  4833533        0        0
  190.000    47245        0        0  4880778        0        0
  191.000    50459        0        0  4931237        0        0
  192.000    38473        0        0  4969710        0        0
  193.000    26289        0        0  4995999        0        0
  194.000    29085        0        0  5025084        0        0
  195.000    33047        0        0  5058131        0        0
  196.000    35799        0        0  5093930        0        0
  197.000    38674        0        0  5132604        0        0
  198.000    42901        0        0  5175505        0        0
  199.000    46387        0        0  5221892        0        0
  200.000    48653        0        0  5270545        0        0
  201.000    51690        0        0  5322235        0        0
  202.000    38376        0        0  5360611        0        0
  203.000    25083        0        0  5385694        0        0
  204.000    27157        0        0  5412851        0        0
  205.000    29865        0        0  5442716        0        0
  206.000    33283        0        0  5475999        0        0
  207.000    37188        0        0  5513187        0        0
  208.000    39385        0        0  5552572        0        0
  209.000    41957        0        0  5594529        0        0
  210.000    44874        0        0  5639403        0        0
  211.000    47084        0        0  5686487        0        0
  212.000    36313        0        0  5722800        0        0
  213.000    25344        0        0  5748144        0        0
  214.000    27864        0        0  5776008        0        0
  215.000    30368        0        0  5806376        0        0
  216.000    34470        0        0  5840846        0        0
  217.000    37543        0        0  5878389        0        0
  218.000    39321        0        0  5917710        0        0
  219.000    43133        0        0  5960843        0        0
  220.000    44919        0        0  6005762        0        0
  221.000    46393        0        0  6052155        0        0
  222.000    34887        0        0  6087042        0        0
  223.000    23304        0        0  6110346        0        0
  224.000    26321        0        0  6136667        0        0
  225.000    29666        0        0  6166333        0        0
  226.000    33214        0        0  6199547        0        0
  227.000    36315        0        0  6235862        0        0
  228.000    38890        0        0  6274752        0        0
  229.000    41838        0        0  6316590        0        0
  230.000    44682        0        0  6361272        0        0
  231.000    47457        0        0  6408729        0        0
  232.000    36224        0        0  6444953        0        0
  233.000    26169        0        0  6471122        0        0
  234.000    29831        0        0  6500953        0        0
  235.000    31379        0        0  6532332        0        0
  236.000    34364        0        0  6566696        0        0
  237.000    38083        0        0  6604779        0        0
  238.000    41289        0        0  6646068        0        0
  239.000    44693        0        0  6690761        0        0
  240.000    47416        0        0  6738177        0        0
  241.000    49282        0        0  6787459        0        0
  242.000    34902        0        0  6822361        0        0
  243.000    22026        0        0  6844387        0        0
  244.000    24689        0        0  6869076        0        0
  245.000    27831        0        0  6896907        0        0
  246.000    31322        0        0  6928229        0        0
  247.000    34124        0        0  6962353        0        0
  248.000    37772        0        0  7000125        0        0
  249.000    40316        0        0  7040441        0        0
  250.000    43514        0        0  7083955        0        0
  251.000    46541        0        0  7130496        0        0
  252.000    35977        0        0  7166473        0        0
  253.000    25001        0        0  7191474        0        0
  254.000    27740        0        0  7219214        0        0
  255.000    30618        0        0  7249832        0        0
  256.000    33253        0        0  7283085        0        0
  257.000    36280        0        0  7319365        0        0
  258.000    38397        0        0  7357762        0        0
  259.000    41545        0        0  7399307        0        0
  260.000    44669        0        0  7443976        0        0
  261.000    47895        0        0  7491871        0        0
  262.000    35009        0        0  7526880        0        0
  263.000    23118        0        0  7549998        0        0
  264.000    26436        0        0  7576434        0        0
  265.000    29890        0        0  7606324        0        0
  266.000    33708        0        0  7640032        0        0
  267.000    36296        0        0  7676328        0        0
  268.000    38323        0        0  7714651        0        0
  269.000    40515        0        0  7755166        0        0
  270.000    43648        0        0  7798814        0        0
  271.000    45510        0        0  7844324        0        0
  272.000    33347        0        0  7877671        0        0
  273.000    20868        0        0  7898539        0        0
  274.000    22965        0        0  7921504        0        0
  275.000    26729        0        0  7948233        0        0
