Ping 10.0.0.1 via ports 65535->7001
Reply from 10.0.0.1 seq=0 time=1.02779 ms
Reply from 10.0.0.1 seq=1 time=1.86779 ms
Reply from 10.0.0.1 seq=2 time=2.06779 ms
Reply from 10.0.0.1 seq=3 time=2.30779 ms
Reply from 10.0.0.1 seq=4 time=2.30779 ms
Reply from 10.0.0.1 seq=5 time=2.54785 ms
Reply from 10.0.0.1 seq=6 time=2.54779 ms
Reply from 10.0.0.1 seq=7 time=2.54779 ms
Reply from 10.0.0.1 seq=8 time=2.58779 ms
Reply from 10.0.0.1 seq=9 time=2.58779 ms
Reply from 10.0.0.1 seq=10 time=2.78779 ms
Reply from 10.0.0.1 seq=11 time=2.78779 ms
Reply from 10.0.0.1 seq=12 time=2.38779 ms
Reply from 10.0.0.1 seq=13 time=2.38779 ms
Reply from 10.0.0.1 seq=14 time=2.38779 ms
Reply from 10.0.0.1 seq=15 time=2.62779 ms
Reply from 10.0.0.1 seq=16 time=2.62779 ms
Reply from 10.0.0.1 seq=17 time=2.62779 ms
Reply from 10.0.0.1 seq=18 time=2.62779 ms
Reply from 10.0.0.1 seq=19 time=2.66779 ms
Reply from 10.0.0.1 seq=20 time=2.66911 ms
Reply from 10.0.0.1 seq=21 time=2.86779 ms
Reply from 10.0.0.1 seq=22 time=2.46779 ms
Reply from 10.0.0.1 seq=23 time=2.46779 ms
Reply from 10.0.0.1 seq=24 time=2.46779 ms
Reply from 10.0.0.1 seq=25 time=2.66779 ms
Reply from 10.0.0.1 seq=26 time=2.66779 ms
Reply from 10.0.0.1 seq=27 time=2.66996 ms
Reply from 10.0.0.1 seq=28 time=2.66779 ms
Reply from 10.0.0.1 seq=29 time=2.66779 ms
Reply from 10.0.0.1 seq=30 time=2.86779 ms
Reply from 10.0.0.1 seq=31 time=2.86779 ms
Reply from 10.0.0.1 seq=32 time=2.66779 ms
Reply from 10.0.0.1 seq=33 time=2.86909 ms
Reply from 10.0.0.1 seq=34 time=2.86779 ms
Reply from 10.0.0.1 seq=35 time=2.86779 ms
Reply from 10.0.0.1 seq=36 time=2.86779 ms
Reply from 10.0.0.1 seq=37 time=2.86779 ms
Reply from 10.0.0.1 seq=38 time=2.90779 ms
Reply from 10.0.0.1 seq=39 time=2.90779 ms
Reply from 10.0.0.1 seq=40 time=2.90779 ms
Reply from 10.0.0.1 seq=41 time=2.90779 ms
Reply from 10.0.0.1 seq=42 time=2.94779 ms
Reply from 10.0.0.1 seq=43 time=2.94876 ms
Reply from 10.0.0.1 seq=44 time=3.14779 ms
Reply from 10.0.0.1 seq=45 time=3.14779 ms
Reply from 10.0.0.1 seq=46 time=3.14779 ms
Reply from 10.0.0.1 seq=47 time=3.14779 ms
Reply from 10.0.0.1 seq=48 time=3.14852 ms
Reply from 10.0.0.1 seq=49 time=3.14779 ms
Reply from 10.0.0.1 seq=50 time=3.14848 ms
Reply from 10.0.0.1 seq=51 time=3.14779 ms
Reply from 10.0.0.1 seq=52 time=3.14843 ms
Reply from 10.0.0.1 seq=53 time=3.14779 ms
Reply from 10.0.0.1 seq=54 time=3.14779 ms
Reply from 10.0.0.1 seq=55 time=3.14779 ms
Reply from 10.0.0.1 seq=56 time=3.14948 ms
Reply from 10.0.0.1 seq=57 time=3.14779 ms
Reply from 10.0.0.1 seq=58 time=3.14779 ms
Reply from 10.0.0.1 seq=59 time=3.14779 ms
Reply from 10.0.0.1 seq=60 time=3.14856 ms
Reply from 10.0.0.1 seq=61 time=3.14779 ms
Reply from 10.0.0.1 seq=62 time=3.14779 ms
Reply from 10.0.0.1 seq=63 time=3.14779 ms
Reply from 10.0.0.1 seq=64 time=3.14779 ms
Reply from 10.0.0.1 seq=65 time=3.14779 ms
Reply from 10.0.0.1 seq=66 time=3.14779 ms
Reply from 10.0.0.1 seq=67 time=3.14779 ms
Reply from 10.0.0.1 seq=68 time=3.14779 ms
Reply from 10.0.0.1 seq=69 time=3.14874 ms
Reply from 10.0.0.1 seq=70 time=3.14779 ms
Reply from 10.0.0.1 seq=71 time=3.14779 ms
Reply from 10.0.0.1 seq=72 time=3.14779 ms
Reply from 10.0.0.1 seq=73 time=3.14779 ms
Reply from 10.0.0.1 seq=74 time=3.14779 ms
Reply from 10.0.0.1 seq=75 time=3.14779 ms
Reply from 10.0.0.1 seq=76 time=3.14845 ms
Reply from 10.0.0.1 seq=77 time=3.14779 ms
Reply from 10.0.0.1 seq=78 time=3.14779 ms
Reply from 10.0.0.1 seq=79 time=3.34779 ms
Reply from 10.0.0.1 seq=80 time=3.34779 ms
Reply from 10.0.0.1 seq=81 time=3.34779 ms
Reply from 10.0.0.1 seq=82 time=3.34779 ms
Reply from 10.0.0.1 seq=83 time=3.34779 ms
Reply from 10.0.0.1 seq=84 time=3.34779 ms
Reply from 10.0.0.1 seq=85 time=3.34779 ms
Reply from 10.0.0.1 seq=86 time=3.34779 ms
Reply from 10.0.0.1 seq=87 time=3.34779 ms
Reply from 10.0.0.1 seq=88 time=3.34779 ms
Reply from 10.0.0.1 seq=89 time=3.34779 ms
Reply from 10.0.0.1 seq=90 time=3.34867 ms
Reply from 10.0.0.1 seq=91 time=3.34844 ms
Reply from 10.0.0.1 seq=92 time=3.34779 ms
Reply from 10.0.0.1 seq=93 time=3.34983 ms
Reply from 10.0.0.1 seq=94 time=3.34779 ms
Reply from 10.0.0.1 seq=95 time=3.34779 ms
Reply from 10.0.0.1 seq=96 time=3.34779 ms
Reply from 10.0.0.1 seq=97 time=3.34779 ms
Reply from 10.0.0.1 seq=98 time=3.34779 ms
Reply from 10.0.0.1 seq=99 time=3.34918 ms
Reply from 10.0.0.1 seq=100 time=3.34779 ms
Reply from 10.0.0.1 seq=101 time=3.34779 ms
Reply from 10.0.0.1 seq=102 time=3.34779 ms
