Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
399 HW 160 1601 526 69025450536
402 SW 208 2460 0 91067792484
403 HW 147 1610 526 69863366160
406 SW 185 2469 0 91861412556
408 HW 130 1617 526 70615457640
410 SW 165 2477 0 92573794380
412 HW 131 1632 526 71363761560
414 SW 146 2484 0 93221630436
416 HW 129 1640 526 72120109320
418 SW 130 2494 0 93828757404
420 HW 115 1647 526 72801720432
422 SW 116 2504 0 94414445724
424 HW 100 1653 526 73385145288
426 SW 113 2508 0 95016233820
428 HW 82 1659 526 73902389904
430 SW 109 2519 0 95604274812
432 HW 70 1663 526 74334549744
434 SW 95 2525 0 96140944092
436 HW 62 1666 526 74723483016
438 SW 85 2531 0 96640982148
440 HW 59 1674 526 75106344096
442 SW 74 2540 0 97037203260
444 HW 52 1679 526 75457332216
446 SW 66 2544 0 97418004996
448 HW 48 1681 526 75765616920
450 SW 60 2550 0 97763382084
452 HW 42 1683 526 76045270392
454 SW 42 2551 0 98022017244
456 HW 32 1687 526 76241255832
458 SW 39 2555 0 98277236796
460 HW 25 1690 526 76362902280
462 SW 36 2562 0 98490357732
464 HW 20 1691 526 76423140360
466 SW 29 2563 0 98645921364
468 HW 14 1691 526 76457059056
471 SW 24 2564 0 98774160132
472 HW 8 1691 526 76470025968
475 SW 20 2566 0 98832225468
476 HW 4 1691 526 76472894232
479 SW 8 2566 0 98839198812
480 HW 2 1691 526 76472894232
483 SW 6 2566 0 98845667148
484 HW 2 1691 526 76472894232
487 SW 6 2566 0 98852135484
488 HW 2 1691 526 76472894232
491 SW 2 2566 0 98852135484
492 HW 2 1691 526 76472894232
495 SW 2 2566 0 98852135484
496 HW 2 1691 526 76472894232
