Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
403 HW 167 1581 1078 71851742928
405 SW 207 2442 0 91160818284
407 HW 150 1590 1078 72702537768
409 SW 184 2452 0 91950166956
411 HW 132 1598 1078 73458841680
413 SW 166 2459 0 92660070795
415 HW 132 1610 1078 74210642856
417 SW 151 2464 0 93359286306
419 HW 126 1618 1078 74953423440
421 SW 130 2477 0 93965108601
423 HW 112 1625 1078 75624970680
425 SW 120 2486 0 94551056985
427 HW 98 1630 1078 76194854064
429 SW 115 2491 0 95150728281
431 HW 86 1639 1078 76719492360
433 SW 109 2500 0 95737293561
435 HW 73 1643 1078 77157329760
437 SW 94 2506 0 96272325345
439 HW 63 1647 1078 77555892960
441 SW 83 2513 0 96770568657
444 HW 64 1654 1078 77947386048
445 SW 76 2522 0 97216836969
448 HW 51 1659 1078 78294731760
449 SW 68 2528 0 97596805593
452 HW 47 1661 1078 78599352888
453 SW 64 2534 0 97946647617
456 HW 39 1663 1078 78873455808
457 SW 48 2535 0 98220631089
460 HW 30 1666 1078 79067998800
461 SW 41 2539 0 98475483225
464 HW 23 1669 1078 79188231528
465 SW 33 2544 0 98688442377
468 HW 18 1670 1078 79247042280
469 SW 27 2545 0 98843966697
472 HW 13 1670 1078 79279910136
473 SW 24 2546 0 98972848065
476 HW 8 1670 1078 79292878560
478 SW 18 2548 0 99030913401
480 HW 4 1670 1078 79295746824
482 SW 10 2548 0 99047882577
484 HW 2 1670 1078 79295746824
486 SW 10 2550 0 99054854409
