Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
509 SW 256 4662 0 3612538899
509 HW 158 2041 0 9696655584
514 SW 276 4721 0 3626955819
514 HW 173 2083 0 9813929328
519 SW 269 4770 0 3709096731
520 HW 164 2083 0 9910665576
524 SW 291 4824 0 3732272667
525 HW 179 2119 0 9987556824
530 SW 250 4849 0 3790545147
530 HW 163 2119 0 10140698232
535 SW 237 4870 0 3807202851
535 HW 163 2155 0 10294913160
540 SW 175 4889 0 3878457663
540 HW 141 2155 0 10448411400
545 SW 160 4911 0 3894176415
545 HW 166 2211 0 10552639608
550 SW 134 4935 0 3950283711
550 HW 158 2211 0 10636213896
555 SW 118 4944 0 3964851831
555 HW 157 2253 0 10721779488
560 SW 76 4957 0 4025316711
560 HW 129 2253 0 10845963072
565 SW 38 4966 0 4027749519
565 HW 170 2323 0 10920938616
570 SW 45 4983 0 4036739871
570 HW 159 2323 0 10995770520
575 SW 31 4995 0 4037188935
575 HW 172 2362 0 11115858096
580 SW 30 5007 0 4042689591
580 HW 115 2362 0 11206029240
585 SW 13 5018 0 4042726179
586 HW 127 2386 0 11309803848
590 SW 25 5030 0 4042726179
591 HW 90 2386 0 11392393824
595 SW 14 5042 0 4042760955
596 HW 100 2409 0 11497641120
601 SW 22 5050 0 4042760955
601 HW 64 2409 0 11613924504
606 SW 6 5054 0 4042791195
606 HW 74 2429 0 11690322840
611 SW 11 5059 0 4042791195
611 HW 39 2429 0 11755931544
616 SW 6 5063 0 4042804803
616 HW 39 2438 0 11873175048
621 SW 6 5063 0 4042804803
621 HW 16 2438 0 11908521072
626 SW 6 5063 0 4042804803
626 HW 11 2438 0 12000964752
631 SW 2 5063 0 4042805163
631 HW 2 2438 0 12000964752
636 SW 2 5063 0 4042805163
636 HW 2 2438 0 12000964752
