Ping 10.0.0.1 via ports 65535->7001
Reply from 10.0.0.1 seq=0 time=0.757999 ms
Reply from 10.0.0.1 seq=1 time=1.038 ms
Reply from 10.0.0.1 seq=2 time=1.278 ms
Reply from 10.0.0.1 seq=3 time=1.278 ms
Reply from 10.0.0.1 seq=4 time=1.278 ms
Reply from 10.0.0.1 seq=5 time=1.518 ms
Reply from 10.0.0.1 seq=6 time=1.518 ms
Reply from 10.0.0.1 seq=7 time=1.518 ms
Reply from 10.0.0.1 seq=8 time=1.518 ms
Reply from 10.0.0.1 seq=9 time=1.558 ms
Reply from 10.0.0.1 seq=10 time=1.558 ms
Reply from 10.0.0.1 seq=11 time=1.558 ms
Reply from 10.0.0.1 seq=12 time=1.558 ms
Reply from 10.0.0.1 seq=13 time=1.798 ms
Reply from 10.0.0.1 seq=14 time=1.798 ms
Reply from 10.0.0.1 seq=15 time=1.798 ms
Reply from 10.0.0.1 seq=16 time=1.798 ms
Reply from 10.0.0.1 seq=17 time=1.798 ms
Reply from 10.0.0.1 seq=18 time=1.798 ms
Reply from 10.0.0.1 seq=19 time=1.798 ms
Reply from 10.0.0.1 seq=20 time=1.8419 ms
Reply from 10.0.0.1 seq=21 time=1.838 ms
Reply from 10.0.0.1 seq=22 time=1.838 ms
Reply from 10.0.0.1 seq=23 time=1.838 ms
Reply from 10.0.0.1 seq=24 time=2.038 ms
Reply from 10.0.0.1 seq=25 time=2.038 ms
Reply from 10.0.0.1 seq=26 time=2.078 ms
Reply from 10.0.0.1 seq=27 time=2.078 ms
Reply from 10.0.0.1 seq=28 time=2.078 ms
Reply from 10.0.0.1 seq=29 time=2.118 ms
Reply from 10.0.0.1 seq=30 time=2.118 ms
Reply from 10.0.0.1 seq=31 time=2.118 ms
Reply from 10.0.0.1 seq=32 time=2.118 ms
Reply from 10.0.0.1 seq=33 time=2.118 ms
Reply from 10.0.0.1 seq=34 time=2.118 ms
Reply from 10.0.0.1 seq=35 time=2.12133 ms
Reply from 10.0.0.1 seq=36 time=2.118 ms
Reply from 10.0.0.1 seq=37 time=2.118 ms
Reply from 10.0.0.1 seq=38 time=2.118 ms
Reply from 10.0.0.1 seq=39 time=2.11898 ms
Reply from 10.0.0.1 seq=40 time=2.118 ms
Reply from 10.0.0.1 seq=41 time=2.118 ms
Reply from 10.0.0.1 seq=42 time=2.118 ms
Reply from 10.0.0.1 seq=43 time=2.158 ms
Reply from 10.0.0.1 seq=44 time=2.158 ms
Reply from 10.0.0.1 seq=45 time=2.158 ms
Reply from 10.0.0.1 seq=46 time=2.158 ms
