Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
409 HW 115 2652 0 17477991216
412 SW 247 4893 0 120938832
413 HW 114 2652 0 17647159824
417 SW 249 4917 0 141671376
417 HW 111 2652 0 17815006944
421 SW 186 4934 0 141671376
421 HW 110 2741 0 17976597408
425 SW 184 4952 0 141671376
425 HW 107 2741 0 18130319424
429 SW 181 4966 0 218509704
429 HW 107 2741 0 18290626200
433 SW 128 4978 0 218509704
433 HW 111 2834 0 18412213680
437 SW 121 4996 0 218509704
437 HW 106 2834 0 18540537120
441 SW 117 5011 0 612255672
441 HW 101 2834 0 18664087176
445 SW 77 5018 0 612255672
445 HW 121 2933 0 18776735712
449 SW 64 5028 0 612255672
449 HW 115 2933 0 18881828784
453 SW 60 5035 0 1087705584
453 HW 108 2933 0 18986459184
457 SW 36 5046 0 1087705584
457 HW 69 2987 0 19085874696
461 SW 26 5052 0 1087705584
461 HW 66 2987 0 19152292320
465 SW 23 5053 0 1176473592
465 HW 61 2987 0 19219639824
469 SW 6 5056 0 1176473592
470 HW 41 3008 0 19259905896
474 SW 9 5060 0 1176473592
474 HW 31 3008 0 19274481576
478 SW 13 5064 0 1176482910
478 HW 26 3008 0 19286712144
482 SW 7 5064 0 1176482910
482 HW 14 3015 0 19298699280
486 SW 7 5064 0 1176482910
486 HW 12 3015 0 19309089744
490 SW 7 5064 0 1176483320
490 HW 9 3015 0 19309089744
494 SW 3 5064 0 1176483320
494 HW 2 3016 0 19309089744
498 SW 3 5064 0 1176483320
498 HW 2 3016 0 19309089744
