Timestamp,IpOri,PortaOri,IpDest,PortaDest,?,Tempo,BitsEnv,Banda,Jitter,PctPerdido,PctEnv,%Perda,ForaOrdem
20190910112349,10.1.0.2,5561,10.1.0.1,5061,3,0.0-21.0,1334760,507902
20190910112349,10.1.0.1,5061,10.1.0.2,5561,3,0.0-21.0,1305360,496957,63.260,20,908,2.203,0
20190910112358,10.1.0.2,5532,10.1.0.1,5032,3,0.0-26.0,5100900,1568765
20190910112359,10.1.0.1,5032,10.1.0.2,5532,3,0.0-25.7,4965660,1542873,0.112,92,3470,2.651,23
20190910112405,10.1.0.2,5592,10.1.0.1,5092,3,0.0-41.0,10913280,2128892
20190910112405,10.1.0.1,5092,10.1.0.2,5592,3,0.0-41.0,10706010,2089646,62.586,141,7424,1.899,7
20190910112405,10.1.0.2,5527,10.1.0.1,5027,3,0.0-44.0,8061480,1465343
20190910112406,10.1.0.1,5027,10.1.0.2,5527,3,0.0-44.0,7913010,1439526,0.122,101,5484,1.842,8
20190910112407,10.1.0.2,5591,10.1.0.1,5091,3,0.0-46.0,53594730,9320448
20190910112408,10.1.0.1,5091,10.1.0.2,5591,3,0.0-46.0,50132880,8727654,0.100,2355,36459,6.459,72
20190910112416,10.1.0.2,5594,10.1.0.1,5094,3,0.0-39.0,18342660,3762168
20190910112416,10.1.0.1,5094,10.1.0.2,5594,3,0.0-37.1,17429790,3762978,0.101,621,12478,4.977,0
20190910112419,10.1.0.2,5636,10.1.0.1,5136,3,0.0-52.0,22845270,3514365
20190910112419,10.1.0.2,5656,10.1.0.1,5156,3,0.0-53.0,22449840,3388413
20190910112419,10.1.0.2,5620,10.1.0.1,5120,3,0.0-40.0,11901120,2379772
20190910112419,10.1.0.2,5625,10.1.0.1,5125,3,0.0-53.0,8461320,1276926
20190910112423,10.1.0.2,5681,10.1.0.1,5181,3,0.0-51.0,6738480,1056766
20190910112423,10.1.0.2,5679,10.1.0.1,5179,3,0.0-60.0,9072840,1209342
20190910112423,10.1.0.1,5179,10.1.0.2,5679,3,0.0-60.0,8509830,1134120,0.219,383,6172,6.205,3
20190910112423,10.1.0.2,5563,10.1.0.1,5063,3,0.0-38.0,20747580,4367350
20190910112424,10.1.0.2,5675,10.1.0.1,5175,3,0.0-47.0,65173920,11092983
20190910112424,10.1.0.2,5674,10.1.0.1,5174,3,0.0-62.1,2994390,386047
20190910112428,10.1.0.2,5508,10.1.0.1,5008,3,0.0-57.0,28062300,3938300
20190910112428,10.1.0.2,5542,10.1.0.1,5042,3,0.0-67.0,35532840,4242429
20190910112428,10.1.0.2,5589,10.1.0.1,5089,3,0.0-67.0,34855170,4161532
20190910112428,10.1.0.2,5575,10.1.0.1,5075,3,0.0-59.0,14320740,1941501
20190910112430,10.1.0.2,5601,10.1.0.1,5101,3,0.0-68.0,14738220,1733630
20190910112430,10.1.0.2,5670,10.1.0.1,5170,3,0.0-63.0,28153440,3574782
20190910112430,10.1.0.2,5691,10.1.0.1,5191,3,0.0-65.0,58899960,7248890
20190910112430,10.1.0.2,5537,10.1.0.1,5037,3,0.0-62.1,1644930,211967
20190910112431,10.1.0.2,5578,10.1.0.1,5078,3,0.0-42.0,4393830,836606
20190910112431,10.1.0.2,5574,10.1.0.1,5074,3,0.0-59.0,56242200,7625722
20190910112433,10.1.0.2,5549,10.1.0.1,5049,3,0.0-70.0,20753460,2371580
20190910112433,10.1.0.2,5579,10.1.0.1,5079,3,0.0-69.0,159056940,18441204
20190910112434,10.1.0.2,5577,10.1.0.1,5077,3,0.0-65.0,52459890,6456315
20190910112434,10.1.0.2,5647,10.1.0.1,5147,3,0.0-71.0,11889360,1339391
20190910112434,10.1.0.2,5562,10.1.0.1,5062,3,0.0-54.0,2745960,406527
20190910112435,10.1.0.2,5524,10.1.0.1,5024,3,0.0-74.0,16105320,1740799
20190910112436,10.1.0.2,5606,10.1.0.1,5106,3,0.0-55.0,9590280,1394686
20190910112437,10.1.0.2,5644,10.1.0.1,5144,3,0.0-48.0,35287350,5880826
20190910112437,10.1.0.2,5641,10.1.0.1,5141,3,0.0-52.0,3236940,497663
20190910112439,10.1.0.2,5554,10.1.0.1,5054,3,0.0-75.0,18674880,1991674
20190910112439,10.1.0.2,5569,10.1.0.1,5069,3,0.0-77.1,1006950,104447
20190910112440,10.1.0.2,5597,10.1.0.1,5097,3,0.0-69.0,3039960,352255
20190910112440,10.1.0.2,5505,10.1.0.1,5005,3,0.0-61.0,78027600,10232820
20190910112440,10.1.0.2,5544,10.1.0.1,5044,3,0.0-41.0,53615310,10461176
20190910112441,10.1.0.2,5516,10.1.0.1,5016,3,0.0-79.0,20155170,2040830
20190910112443,10.1.0.2,5699,10.1.0.1,5199,3,0.0-80.0,15074850,1507328
20190910112445,10.1.0.2,5660,10.1.0.1,5160,3,0.0-74.0,26968620,2915326
20190910112445,10.1.0.2,5557,10.1.0.1,5057,3,0.0-82.0,58276680,5685248
20190910112446,10.1.0.2,5617,10.1.0.1,5117,3,0.0-82.0,62285370,6076410
20190910112446,10.1.0.2,5662,10.1.0.1,5162,3,0.0-84.0,22849680,2175998
20190910112446,10.1.0.2,5690,10.1.0.1,5190,3,0.0-82.0,53049360,5175292
20190910112446,10.1.0.2,5693,10.1.0.1,5193,3,0.0-69.0,34933080,4049913
20190910112448,10.1.0.2,5605,10.1.0.1,5105,3,0.0-85.0,40029570,3767293
20190910112448,10.1.0.2,5535,10.1.0.1,5035,3,0.0-75.0,16581600,1768445
20190910112449,10.1.0.2,5659,10.1.0.1,5159,3,0.0-87.0,79479960,7308283
