Ping 10.0.0.1 via ports 65535->7001
Reply from 10.0.0.1 seq=90 time=2.78444 ms
Reply from 10.0.0.1 seq=91 time=2.758 ms
Reply from 10.0.0.1 seq=92 time=2.758 ms
Reply from 10.0.0.1 seq=93 time=2.758 ms
Reply from 10.0.0.1 seq=94 time=2.76544 ms
Reply from 10.0.0.1 seq=95 time=2.78057 ms
Reply from 10.0.0.1 seq=96 time=2.758 ms
Reply from 10.0.0.1 seq=97 time=2.7738 ms
Reply from 10.0.0.1 seq=98 time=2.77157 ms
Reply from 10.0.0.1 seq=99 time=2.76479 ms
Reply from 10.0.0.1 seq=100 time=2.78152 ms
Reply from 10.0.0.1 seq=101 time=2.758 ms
Reply from 10.0.0.1 seq=102 time=2.77988 ms
Reply from 10.0.0.1 seq=103 time=2.79076 ms
Reply from 10.0.0.1 seq=104 time=2.77982 ms
Reply from 10.0.0.1 seq=105 time=2.80695 ms
Reply from 10.0.0.1 seq=106 time=2.758 ms
Reply from 10.0.0.1 seq=107 time=2.78066 ms
Reply from 10.0.0.1 seq=108 time=2.77092 ms
Reply from 10.0.0.1 seq=109 time=2.76349 ms
Reply from 10.0.0.1 seq=110 time=2.758 ms
Reply from 10.0.0.1 seq=111 time=2.78762 ms
Reply from 10.0.0.1 seq=112 time=2.76584 ms
Reply from 10.0.0.1 seq=113 time=2.80924 ms
Reply from 10.0.0.1 seq=114 time=2.76284 ms
Reply from 10.0.0.1 seq=115 time=2.76788 ms
Reply from 10.0.0.1 seq=116 time=2.76375 ms
Reply from 10.0.0.1 seq=117 time=2.76215 ms
Reply from 10.0.0.1 seq=118 time=2.758 ms
Reply from 10.0.0.1 seq=119 time=2.77442 ms
Reply from 10.0.0.1 seq=120 time=2.758 ms
Reply from 10.0.0.1 seq=121 time=2.76326 ms
Reply from 10.0.0.1 seq=122 time=2.76233 ms
Reply from 10.0.0.1 seq=123 time=2.76075 ms
Reply from 10.0.0.1 seq=124 time=2.78071 ms
Reply from 10.0.0.1 seq=125 time=2.7945 ms
Reply from 10.0.0.1 seq=126 time=2.82207 ms
Reply from 10.0.0.1 seq=127 time=2.758 ms
Reply from 10.0.0.1 seq=128 time=2.76671 ms
Reply from 10.0.0.1 seq=129 time=2.77478 ms
Reply from 10.0.0.1 seq=130 time=2.77854 ms
Reply from 10.0.0.1 seq=131 time=2.76849 ms
Reply from 10.0.0.1 seq=132 time=2.76839 ms
Reply from 10.0.0.1 seq=133 time=2.80155 ms
Reply from 10.0.0.1 seq=134 time=2.78859 ms
Reply from 10.0.0.1 seq=135 time=2.79742 ms
Reply from 10.0.0.1 seq=136 time=2.78168 ms
Reply from 10.0.0.1 seq=137 time=2.758 ms
Reply from 10.0.0.1 seq=138 time=2.77111 ms
Reply from 10.0.0.1 seq=139 time=2.78797 ms
Reply from 10.0.0.1 seq=140 time=2.77012 ms
Reply from 10.0.0.1 seq=141 time=2.78376 ms
Reply from 10.0.0.1 seq=142 time=2.758 ms
Reply from 10.0.0.1 seq=143 time=2.80888 ms
Reply from 10.0.0.1 seq=144 time=2.76755 ms
Reply from 10.0.0.1 seq=145 time=2.758 ms
Reply from 10.0.0.1 seq=146 time=2.76347 ms
Reply from 10.0.0.1 seq=147 time=2.77384 ms
Reply from 10.0.0.1 seq=148 time=2.77603 ms
Reply from 10.0.0.1 seq=149 time=2.78686 ms
Reply from 10.0.0.1 seq=150 time=2.758 ms
Reply from 10.0.0.1 seq=151 time=2.76458 ms
Reply from 10.0.0.1 seq=152 time=2.78183 ms
Reply from 10.0.0.1 seq=153 time=2.76451 ms
Reply from 10.0.0.1 seq=154 time=2.77878 ms
Reply from 10.0.0.1 seq=155 time=2.77422 ms
Reply from 10.0.0.1 seq=156 time=2.75821 ms
Reply from 10.0.0.1 seq=157 time=2.758 ms
Reply from 10.0.0.1 seq=158 time=2.758 ms
Reply from 10.0.0.1 seq=159 time=2.758 ms
Reply from 10.0.0.1 seq=160 time=2.758 ms
Reply from 10.0.0.1 seq=161 time=2.7665 ms
Reply from 10.0.0.1 seq=162 time=2.75922 ms
Reply from 10.0.0.1 seq=163 time=2.758 ms
Reply from 10.0.0.1 seq=164 time=2.80019 ms
Reply from 10.0.0.1 seq=165 time=2.76707 ms
Reply from 10.0.0.1 seq=166 time=2.758 ms
Reply from 10.0.0.1 seq=167 time=2.758 ms
Reply from 10.0.0.1 seq=168 time=2.76846 ms
Reply from 10.0.0.1 seq=169 time=2.77021 ms
Reply from 10.0.0.1 seq=170 time=2.79666 ms
Reply from 10.0.0.1 seq=171 time=2.77891 ms
Reply from 10.0.0.1 seq=172 time=2.758 ms
Reply from 10.0.0.1 seq=173 time=2.758 ms
Reply from 10.0.0.1 seq=174 time=2.78165 ms
Reply from 10.0.0.1 seq=175 time=2.77234 ms
Reply from 10.0.0.1 seq=176 time=2.758 ms
Reply from 10.0.0.1 seq=177 time=2.758 ms
Reply from 10.0.0.1 seq=178 time=2.7693 ms
Reply from 10.0.0.1 seq=179 time=2.76917 ms
Reply from 10.0.0.1 seq=180 time=2.76139 ms
Reply from 10.0.0.1 seq=181 time=2.78315 ms
Reply from 10.0.0.1 seq=182 time=2.758 ms
Reply from 10.0.0.1 seq=183 time=2.758 ms
Reply from 10.0.0.1 seq=184 time=2.76922 ms
Reply from 10.0.0.1 seq=185 time=2.76572 ms
Reply from 10.0.0.1 seq=186 time=2.76978 ms
Reply from 10.0.0.1 seq=187 time=2.78501 ms
Reply from 10.0.0.1 seq=188 time=2.76486 ms
Reply from 10.0.0.1 seq=189 time=2.758 ms
Reply from 10.0.0.1 seq=190 time=2.8093 ms
Reply from 10.0.0.1 seq=191 time=2.76564 ms
Reply from 10.0.0.1 seq=192 time=2.758 ms
Reply from 10.0.0.1 seq=193 time=2.76647 ms
Reply from 10.0.0.1 seq=194 time=2.758 ms
Reply from 10.0.0.1 seq=195 time=2.7592 ms
Reply from 10.0.0.1 seq=196 time=2.758 ms
Reply from 10.0.0.1 seq=197 time=2.758 ms
Reply from 10.0.0.1 seq=198 time=2.76585 ms
Reply from 10.0.0.1 seq=199 time=2.77008 ms
Reply from 10.0.0.1 seq=200 time=2.758 ms
Reply from 10.0.0.1 seq=201 time=2.76057 ms
Reply from 10.0.0.1 seq=202 time=2.77792 ms
Reply from 10.0.0.1 seq=203 time=2.77397 ms
Reply from 10.0.0.1 seq=204 time=2.7674 ms
Reply from 10.0.0.1 seq=205 time=2.758 ms
Reply from 10.0.0.1 seq=206 time=2.76916 ms
Reply from 10.0.0.1 seq=207 time=2.77385 ms
Reply from 10.0.0.1 seq=208 time=2.77219 ms
Reply from 10.0.0.1 seq=209 time=2.758 ms
Reply from 10.0.0.1 seq=210 time=2.7711 ms
Reply from 10.0.0.1 seq=211 time=2.76894 ms
Reply from 10.0.0.1 seq=212 time=2.77102 ms
Reply from 10.0.0.1 seq=213 time=2.758 ms
Reply from 10.0.0.1 seq=214 time=2.758 ms
Reply from 10.0.0.1 seq=215 time=2.758 ms
Reply from 10.0.0.1 seq=216 time=2.7687 ms
Reply from 10.0.0.1 seq=217 time=2.75898 ms
Reply from 10.0.0.1 seq=218 time=2.77767 ms
Reply from 10.0.0.1 seq=219 time=2.7643 ms
Reply from 10.0.0.1 seq=220 time=2.77274 ms
Reply from 10.0.0.1 seq=221 time=2.79334 ms
Reply from 10.0.0.1 seq=222 time=2.76715 ms
Reply from 10.0.0.1 seq=223 time=2.76347 ms
Reply from 10.0.0.1 seq=224 time=2.76116 ms
Reply from 10.0.0.1 seq=225 time=2.76325 ms
Reply from 10.0.0.1 seq=226 time=2.758 ms
Reply from 10.0.0.1 seq=227 time=2.76821 ms
Reply from 10.0.0.1 seq=228 time=2.76469 ms
Reply from 10.0.0.1 seq=229 time=2.77854 ms
Reply from 10.0.0.1 seq=230 time=2.758 ms
Reply from 10.0.0.1 seq=231 time=2.75925 ms
Reply from 10.0.0.1 seq=232 time=2.79794 ms
Reply from 10.0.0.1 seq=233 time=2.76925 ms
Reply from 10.0.0.1 seq=234 time=2.76444 ms
Reply from 10.0.0.1 seq=235 time=2.758 ms
Reply from 10.0.0.1 seq=236 time=2.77284 ms
Reply from 10.0.0.1 seq=237 time=2.758 ms
Reply from 10.0.0.1 seq=238 time=2.758 ms
Reply from 10.0.0.1 seq=239 time=2.78569 ms
Reply from 10.0.0.1 seq=240 time=2.7719 ms
Reply from 10.0.0.1 seq=241 time=2.77093 ms
Reply from 10.0.0.1 seq=242 time=2.758 ms
Reply from 10.0.0.1 seq=243 time=2.758 ms
Reply from 10.0.0.1 seq=244 time=2.76816 ms
Reply from 10.0.0.1 seq=245 time=2.76723 ms
Reply from 10.0.0.1 seq=246 time=2.77652 ms
Reply from 10.0.0.1 seq=247 time=2.718 ms
Reply from 10.0.0.1 seq=248 time=2.718 ms
Reply from 10.0.0.1 seq=249 time=2.718 ms
Reply from 10.0.0.1 seq=250 time=2.74469 ms
Reply from 10.0.0.1 seq=251 time=2.72944 ms
Reply from 10.0.0.1 seq=252 time=2.72331 ms
Reply from 10.0.0.1 seq=253 time=2.718 ms
Reply from 10.0.0.1 seq=254 time=2.71888 ms
Reply from 10.0.0.1 seq=255 time=2.72867 ms
Reply from 10.0.0.1 seq=256 time=2.718 ms
Reply from 10.0.0.1 seq=257 time=2.76071 ms
Reply from 10.0.0.1 seq=258 time=2.518 ms
Reply from 10.0.0.1 seq=259 time=2.478 ms
Reply from 10.0.0.1 seq=260 time=2.438 ms
Reply from 10.0.0.1 seq=261 time=2.4511 ms
Reply from 10.0.0.1 seq=262 time=2.438 ms
Reply from 10.0.0.1 seq=263 time=2.46394 ms
Reply from 10.0.0.1 seq=264 time=2.43863 ms
Reply from 10.0.0.1 seq=265 time=2.438 ms
Reply from 10.0.0.1 seq=266 time=2.44494 ms
Reply from 10.0.0.1 seq=267 time=2.43969 ms
Reply from 10.0.0.1 seq=268 time=2.44288 ms
Reply from 10.0.0.1 seq=269 time=2.46523 ms
Reply from 10.0.0.1 seq=270 time=2.4545 ms
Reply from 10.0.0.1 seq=271 time=2.438 ms
Reply from 10.0.0.1 seq=272 time=2.44552 ms
Reply from 10.0.0.1 seq=273 time=2.40763 ms
Reply from 10.0.0.1 seq=274 time=2.41027 ms
Reply from 10.0.0.1 seq=275 time=2.398 ms
Reply from 10.0.0.1 seq=276 time=2.41905 ms
Reply from 10.0.0.1 seq=277 time=2.398 ms
Reply from 10.0.0.1 seq=278 time=2.398 ms
Reply from 10.0.0.1 seq=279 time=2.40333 ms
Reply from 10.0.0.1 seq=280 time=2.398 ms
Reply from 10.0.0.1 seq=281 time=2.40449 ms
Reply from 10.0.0.1 seq=282 time=2.358 ms
Reply from 10.0.0.1 seq=283 time=2.358 ms
Reply from 10.0.0.1 seq=284 time=2.358 ms
Reply from 10.0.0.1 seq=285 time=2.358 ms
Reply from 10.0.0.1 seq=286 time=2.32494 ms
Reply from 10.0.0.1 seq=287 time=2.278 ms
Reply from 10.0.0.1 seq=288 time=2.078 ms
Reply from 10.0.0.1 seq=289 time=2.038 ms
Reply from 10.0.0.1 seq=290 time=1.998 ms
Reply from 10.0.0.1 seq=291 time=1.998 ms
Reply from 10.0.0.1 seq=292 time=1.998 ms
Reply from 10.0.0.1 seq=293 time=1.998 ms
Reply from 10.0.0.1 seq=294 time=1.998 ms
Reply from 10.0.0.1 seq=295 time=1.998 ms
Reply from 10.0.0.1 seq=296 time=2.009 ms
Reply from 10.0.0.1 seq=297 time=2.00167 ms
Reply from 10.0.0.1 seq=298 time=1.998 ms
Reply from 10.0.0.1 seq=299 time=1.998 ms
Reply from 10.0.0.1 seq=300 time=1.998 ms
Reply from 10.0.0.1 seq=301 time=1.998 ms
Reply from 10.0.0.1 seq=302 time=1.998 ms
Reply from 10.0.0.1 seq=303 time=1.998 ms
Reply from 10.0.0.1 seq=304 time=1.998 ms
Reply from 10.0.0.1 seq=305 time=2.00267 ms
Reply from 10.0.0.1 seq=306 time=1.998 ms
Reply from 10.0.0.1 seq=307 time=1.998 ms
Reply from 10.0.0.1 seq=308 time=1.998 ms
Reply from 10.0.0.1 seq=309 time=1.998 ms
Reply from 10.0.0.1 seq=310 time=1.998 ms
Reply from 10.0.0.1 seq=311 time=1.758 ms
Reply from 10.0.0.1 seq=312 time=1.758 ms
Reply from 10.0.0.1 seq=313 time=1.758 ms
Reply from 10.0.0.1 seq=314 time=1.758 ms
Reply from 10.0.0.1 seq=315 time=1.76683 ms
Reply from 10.0.0.1 seq=316 time=1.758 ms
Reply from 10.0.0.1 seq=317 time=1.758 ms
Reply from 10.0.0.1 seq=318 time=1.758 ms
Reply from 10.0.0.1 seq=319 time=1.758 ms
Reply from 10.0.0.1 seq=320 time=1.758 ms
Reply from 10.0.0.1 seq=321 time=1.758 ms
Reply from 10.0.0.1 seq=322 time=1.758 ms
Reply from 10.0.0.1 seq=323 time=1.758 ms
Reply from 10.0.0.1 seq=324 time=1.758 ms
Reply from 10.0.0.1 seq=325 time=1.758 ms
Reply from 10.0.0.1 seq=326 time=1.718 ms
Reply from 10.0.0.1 seq=327 time=1.718 ms
Reply from 10.0.0.1 seq=328 time=1.718 ms
Reply from 10.0.0.1 seq=329 time=1.718 ms
Reply from 10.0.0.1 seq=330 time=1.518 ms
Reply from 10.0.0.1 seq=331 time=1.51902 ms
Reply from 10.0.0.1 seq=332 time=1.518 ms
Reply from 10.0.0.1 seq=333 time=1.518 ms
Reply from 10.0.0.1 seq=334 time=1.518 ms
Reply from 10.0.0.1 seq=335 time=1.518 ms
Reply from 10.0.0.1 seq=336 time=1.518 ms
Reply from 10.0.0.1 seq=337 time=1.518 ms
Reply from 10.0.0.1 seq=338 time=1.478 ms
Reply from 10.0.0.1 seq=339 time=1.478 ms
Reply from 10.0.0.1 seq=340 time=1.478 ms
Reply from 10.0.0.1 seq=341 time=1.478 ms
Reply from 10.0.0.1 seq=342 time=1.478 ms
Reply from 10.0.0.1 seq=343 time=1.478 ms
Reply from 10.0.0.1 seq=344 time=1.478 ms
Reply from 10.0.0.1 seq=345 time=1.278 ms
Reply from 10.0.0.1 seq=346 time=1.278 ms
Reply from 10.0.0.1 seq=347 time=1.238 ms
Reply from 10.0.0.1 seq=348 time=1.238 ms
Reply from 10.0.0.1 seq=349 time=1.238 ms
Reply from 10.0.0.1 seq=350 time=1.038 ms
Reply from 10.0.0.1 seq=351 time=0.997999 ms
Reply from 10.0.0.1 seq=352 time=0.997999 ms
Reply from 10.0.0.1 seq=353 time=0.997999 ms
Reply from 10.0.0.1 seq=354 time=0.797999 ms
Reply from 10.0.0.1 seq=355 time=0.797999 ms
Reply from 10.0.0.1 seq=356 time=0.797999 ms
Reply from 10.0.0.1 seq=357 time=0.757999 ms
Reply from 10.0.0.1 seq=358 time=0.757999 ms
Reply from 10.0.0.1 seq=359 time=0.757999 ms
Reply from 10.0.0.1 seq=360 time=0.757999 ms
Reply from 10.0.0.1 seq=361 time=0.757999 ms
Reply from 10.0.0.1 seq=362 time=0.757999 ms
Reply from 10.0.0.1 seq=363 time=0.757999 ms
Reply from 10.0.0.1 seq=364 time=0.757999 ms
Reply from 10.0.0.1 seq=365 time=0.757999 ms
Reply from 10.0.0.1 seq=366 time=0.757999 ms
Reply from 10.0.0.1 seq=367 time=0.757999 ms
Reply from 10.0.0.1 seq=368 time=0.757999 ms
Reply from 10.0.0.1 seq=369 time=0.757999 ms
Reply from 10.0.0.1 seq=370 time=0.757999 ms
Reply from 10.0.0.1 seq=371 time=0.757999 ms
Reply from 10.0.0.1 seq=372 time=0.757999 ms
Reply from 10.0.0.1 seq=373 time=0.757999 ms
Reply from 10.0.0.1 seq=374 time=0.757999 ms
Reply from 10.0.0.1 seq=375 time=0.757999 ms
Reply from 10.0.0.1 seq=376 time=0.757999 ms
Reply from 10.0.0.1 seq=377 time=0.757999 ms
Reply from 10.0.0.1 seq=378 time=0.757999 ms
Reply from 10.0.0.1 seq=379 time=0.757999 ms
Reply from 10.0.0.1 seq=380 time=0.757999 ms
Reply from 10.0.0.1 seq=381 time=0.757999 ms
Reply from 10.0.0.1 seq=382 time=0.757999 ms
Reply from 10.0.0.1 seq=383 time=0.757999 ms
Reply from 10.0.0.1 seq=384 time=0.757999 ms
Reply from 10.0.0.1 seq=385 time=0.757999 ms
Reply from 10.0.0.1 seq=386 time=0.757999 ms
Reply from 10.0.0.1 seq=387 time=0.757999 ms
Reply from 10.0.0.1 seq=388 time=0.757999 ms
Reply from 10.0.0.1 seq=389 time=0.757999 ms
Reply from 10.0.0.1 seq=390 time=0.757999 ms
Reply from 10.0.0.1 seq=391 time=0.757999 ms
Reply from 10.0.0.1 seq=392 time=0.757999 ms
Reply from 10.0.0.1 seq=393 time=0.757999 ms
