Ping 10.0.0.1 via ports 65535->7001
Reply from 10.0.0.1 seq=69 time=2.18779 ms
Reply from 10.0.0.1 seq=70 time=2.18779 ms
Reply from 10.0.0.1 seq=71 time=2.38779 ms
Reply from 10.0.0.1 seq=72 time=1.98779 ms
Reply from 10.0.0.1 seq=73 time=1.98779 ms
Reply from 10.0.0.1 seq=74 time=1.98779 ms
Reply from 10.0.0.1 seq=75 time=2.18779 ms
Reply from 10.0.0.1 seq=76 time=2.18897 ms
Reply from 10.0.0.1 seq=77 time=2.18779 ms
Reply from 10.0.0.1 seq=78 time=2.18779 ms
Reply from 10.0.0.1 seq=79 time=2.18779 ms
Reply from 10.0.0.1 seq=80 time=2.38779 ms
Reply from 10.0.0.1 seq=81 time=2.38779 ms
Reply from 10.0.0.1 seq=82 time=1.98779 ms
Reply from 10.0.0.1 seq=83 time=1.98779 ms
Reply from 10.0.0.1 seq=84 time=2.18779 ms
Reply from 10.0.0.1 seq=85 time=2.18779 ms
Reply from 10.0.0.1 seq=86 time=2.18779 ms
Reply from 10.0.0.1 seq=87 time=2.18779 ms
Reply from 10.0.0.1 seq=88 time=2.38779 ms
Reply from 10.0.0.1 seq=89 time=2.38779 ms
Reply from 10.0.0.1 seq=90 time=2.38779 ms
Reply from 10.0.0.1 seq=91 time=2.38779 ms
Reply from 10.0.0.1 seq=92 time=1.78779 ms
Reply from 10.0.0.1 seq=93 time=1.98779 ms
Reply from 10.0.0.1 seq=94 time=1.98779 ms
Reply from 10.0.0.1 seq=95 time=1.98779 ms
Reply from 10.0.0.1 seq=96 time=2.18779 ms
Reply from 10.0.0.1 seq=97 time=2.18779 ms
Reply from 10.0.0.1 seq=98 time=2.18779 ms
Reply from 10.0.0.1 seq=99 time=2.18779 ms
Reply from 10.0.0.1 seq=100 time=2.18779 ms
Reply from 10.0.0.1 seq=101 time=2.38779 ms
Reply from 10.0.0.1 seq=102 time=1.98779 ms
Reply from 10.0.0.1 seq=103 time=1.98779 ms
Reply from 10.0.0.1 seq=104 time=2.18779 ms
Reply from 10.0.0.1 seq=105 time=2.18779 ms
Reply from 10.0.0.1 seq=106 time=2.18779 ms
Reply from 10.0.0.1 seq=107 time=2.18779 ms
Reply from 10.0.0.1 seq=108 time=2.18779 ms
Reply from 10.0.0.1 seq=109 time=2.38779 ms
