Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
412 HW 186 2381 0 17081284752
415 SW 135 2211 0 1032522120
416 HW 141 2381 0 17197619544
419 SW 131 2226 0 1032522120
420 HW 134 2381 0 17325484848
423 SW 146 2248 0 1086424920
424 HW 169 2451 0 17442047952
427 SW 135 2269 0 1086424920
428 HW 125 2451 0 17561095272
431 SW 122 2290 0 1086424920
432 HW 123 2451 0 17695265616
435 SW 143 2315 0 1191336552
437 HW 186 2533 0 17832391920
439 SW 120 2333 0 1191336552
441 HW 154 2533 0 17978897160
443 SW 112 2347 0 1191336552
445 HW 146 2533 0 18131333976
447 SW 132 2374 0 1197758016
449 HW 185 2592 0 18290426616
451 SW 127 2402 0 1197758016
453 HW 126 2592 0 18452635488
456 SW 125 2421 0 1197758016
457 HW 123 2592 0 18623685024
460 SW 153 2453 0 1209377736
461 HW 178 2674 0 18760983696
464 SW 133 2474 0 1209377736
465 HW 144 2674 0 18898770744
468 SW 139 2506 0 1209377736
469 HW 138 2674 0 19042548336
472 SW 152 2524 0 1218386232
473 HW 173 2739 0 19188175104
476 SW 131 2543 0 1218386232
477 HW 121 2739 0 19329211440
480 SW 138 2573 0 1218386232
481 HW 115 2739 0 19478760336
484 SW 149 2592 0 1305657360
485 HW 186 2828 0 19616427936
488 SW 138 2612 0 1305657360
490 HW 148 2828 0 19763654400
492 SW 141 2632 0 1305657360
494 HW 143 2828 0 19916668800
496 SW 161 2654 0 1316345688
498 HW 178 2890 0 20068121304
500 SW 152 2679 0 1316345688
502 HW 137 2890 0 20226120768
505 SW 129 2698 0 1316345688
506 HW 128 2890 0 20390428296
509 SW 149 2722 0 1336298040
510 HW 188 2965 0 20567580264
513 SW 149 2753 0 1336298040
514 HW 153 2965 0 20755989072
517 SW 159 2776 0 1336298040
518 HW 149 2965 0 20963071080
521 SW 182 2803 0 1337259672
522 HW 186 3019 0 21177070488
525 SW 170 2832 0 1337259672
526 HW 151 3019 0 21399493248
529 SW 151 2856 0 1337259672
530 HW 145 3019 0 21633248448
533 SW 170 2884 0 1341963504
534 HW 188 3080 0 21856109688
537 SW 164 2918 0 1341963504
538 HW 148 3080 0 22092907032
541 SW 173 2941 0 1341963504
543 HW 143 3080 0 22330738584
546 SW 187 2958 0 1347657696
547 HW 181 3142 0 22545847800
550 SW 162 2981 0 1347657696
551 HW 134 3142 0 22743922824
554 SW 168 3007 0 1347657696
555 HW 124 3142 0 22909423320
558 SW 201 3041 0 1369613448
559 HW 188 3222 0 23074913232
562 SW 178 3061 0 1369613448
563 HW 147 3222 0 23198387688
566 SW 193 3091 0 1369613448
567 HW 141 3222 0 23317923384
570 SW 215 3117 0 1371027168
571 HW 189 3287 0 23421276144
574 SW 178 3142 0 1371027168
575 HW 140 3287 0 23519743632
578 SW 179 3176 0 1371027168
579 HW 135 3287 0 23619021552
582 SW 179 3193 0 1404637416
583 HW 194 3361 0 23713309872
586 SW 157 3216 0 1404637416
587 HW 137 3361 0 23810080896
591 SW 178 3249 0 1404637416
591 HW 131 3361 0 23909376960
595 SW 203 3277 0 1408772736
596 HW 180 3434 0 24003745416
599 SW 171 3301 0 1408772736
