Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
495 HW 131 3077 0 6306115032
499 SW 265 4887 0 2574143076
500 HW 140 3114 0 6361065648
504 SW 212 4887 0 2619781284
505 HW 155 3144 0 6394796856
509 SW 195 4929 0 2655086604
510 HW 160 3185 0 6419106792
514 SW 222 5008 0 2765828508
515 HW 145 3232 0 6514160184
519 SW 239 5052 0 2822114220
520 HW 148 3262 0 6618556224
524 SW 258 5173 0 2858329644
525 HW 150 3298 0 6647185944
529 SW 220 5207 0 2985621900
530 HW 145 3334 0 6685407792
534 SW 226 5282 0 3005442708
535 HW 140 3373 0 6769980000
539 SW 213 5359 0 3052136532
540 HW 138 3413 0 6808021920
544 SW 207 5397 0 3101119284
545 HW 135 3446 0 6891292296
549 SW 206 5439 0 3122511060
550 HW 144 3478 0 7036095024
554 SW 186 5481 0 3155223180
555 HW 127 3511 0 7126518672
559 SW 202 5559 0 3176654268
560 HW 124 3538 0 7180611984
564 SW 177 5559 0 3199877076
565 HW 136 3576 0 7269913728
569 SW 190 5633 0 3222239556
570 HW 118 3608 0 7313692176
574 SW 212 5739 0 3251918724
575 HW 124 3644 0 7329554568
579 SW 219 5771 0 3263993556
580 HW 134 3677 0 7428959496
584 SW 174 5771 0 3307061364
585 HW 148 3713 0 7528116456
589 SW 183 5853 0 3376423032
590 HW 124 3742 0 7589320704
594 SW 163 5853 0 3398061264
595 HW 136 3772 0 7655918256
599 SW 182 5893 0 3426102816
600 HW 138 3797 0 7708000608
604 SW 134 5893 0 3478789968
605 HW 138 3826 0 7796940984
609 SW 150 5932 0 3504658956
610 HW 136 3850 0 7853767992
614 SW 119 5932 0 3530967756
615 HW 147 3890 0 7966861056
619 SW 116 5933 0 3542253324
620 HW 161 3914 0 8027339544
624 SW 90 5936 0 3561428508
625 HW 138 3942 0 8079456672
629 SW 121 5983 0 3593343804
630 HW 129 3968 0 8177875776
634 SW 168 6064 0 3614040060
635 HW 143 4005 0 8198723232
639 SW 171 6100 0 3634062204
640 HW 146 4038 0 8308970712
644 SW 166 6143 0 3659175012
645 HW 137 4066 0 8371162296
649 SW 125 6143 0 3677678868
650 HW 129 4098 0 8434929384
654 SW 168 6228 0 3709949484
655 HW 143 4129 0 8496410328
659 SW 145 6228 0 3725542740
660 HW 137 4158 0 8553367368
664 SW 194 6346 0 3770932980
665 HW 129 4193 0 8646417360
669 SW 171 6392 0 3793289412
670 HW 136 4217 0 8714223000
674 SW 196 6464 0 3811859976
675 HW 124 4254 0 8805699000
679 SW 174 6502 0 3824828400
680 HW 129 4285 0 8872969392
684 SW 180 6546 0 3841505940
685 HW 138 4313 0 8893109232
689 SW 190 6611 0 3874751796
690 HW 118 4349 0 8927938152
694 SW 175 6611 0 3881164188
695 HW 140 4378 0 9010334592
699 SW 193 6691 0 3910032924
700 HW 131 4413 0 9129206520
704 SW 178 6733 0 3935352876
705 HW 144 4459 0 9232267464
709 SW 192 6772 0 3954795684
710 HW 154 4489 0 9306816624
714 SW 210 6930 0 3969614796
715 HW 142 4532 0 9350061336
719 SW 223 7052 0 3992078580
720 HW 135 4556 0 9394450632
724 SW 223 7089 0 4035414012
725 HW 141 4594 0 9439101504
729 SW 214 7202 0 4062214212
730 HW 129 4631 0 9541572768
734 SW 198 7241 0 4086905472
735 HW 128 4663 0 9623479320
739 SW 215 7319 0 4096124136
740 HW 124 4697 0 9692310096
744 SW 204 7353 0 4143552552
745 HW 145 4740 0 9745258824
749 SW 214 7395 0 4163870808
750 HW 141 4776 0 9809800056
754 SW 220 7465 0 4194322488
755 HW 124 4812 0 9851872968
759 SW 215 7500 0 4212395544
760 HW 141 4835 0 9948645504
764 SW 178 7500 0 4248018264
765 HW 141 4853 0 10017512568
769 SW 138 7502 0 4269033552
770 HW 126 4872 0 10048405752
774 SW 119 7504 0 4301860584
775 HW 113 4884 0 10105423272
779 SW 105 7504 0 4351088280
780 HW 109 4906 0 10155152952
784 SW 95 7504 0 4390479084
785 HW 117 4944 0 10225108656
789 SW 81 7504 0 4427139216
790 HW 113 4953 0 10236055536
794 SW 71 7504 0 4464854544
795 HW 112 4994 0 10320736608
799 SW 48 7506 0 4580195952
800 HW 110 5036 0 10388205072
804 SW 37 7506 0 4621305720
805 HW 111 5079 0 10481330664
809 SW 23 7506 0 4676847528
810 HW 106 5100 0 10521630000
814 SW 13 7506 0 4697855256
815 HW 88 5119 0 10608768072
819 SW 7 7508 0 4711699308
820 HW 79 5129 0 10632028680
824 SW 6 7508 0 4713409380
825 HW 60 5139 0 10718324568
829 SW 6 7510 0 4714617468
830 HW 56 5148 0 10739314152
834 SW 4 7510 0 4714617648
835 HW 48 5152 0 10849658400
839 SW 4 7510 0 4714617648
840 HW 35 5153 0 10921826160
844 SW 2 7510 0 4714617828
845 HW 20 5156 0 10933285608
849 SW 2 7510 0 4714617828
850 HW 14 5158 0 10970279712
854 SW 2 7510 0 4714617828
855 HW 12 5158 0 10970902656
859 SW 6 7514 0 4714617828
860 HW 8 5158 0 10977355872
864 SW 6 7514 0 4714617828
865 HW 2 5158 0 10989640872
