Ping 10.0.0.1 via ports 65535->7001
Reply from 10.0.0.1 seq=197 time=2.918 ms
Reply from 10.0.0.1 seq=198 time=2.93031 ms
Reply from 10.0.0.1 seq=199 time=2.92862 ms
Reply from 10.0.0.1 seq=200 time=2.93232 ms
Reply from 10.0.0.1 seq=201 time=2.918 ms
Reply from 10.0.0.1 seq=202 time=2.93438 ms
Reply from 10.0.0.1 seq=203 time=2.95992 ms
Reply from 10.0.0.1 seq=204 time=2.96471 ms
Reply from 10.0.0.1 seq=205 time=2.918 ms
Reply from 10.0.0.1 seq=206 time=2.918 ms
Reply from 10.0.0.1 seq=207 time=2.93213 ms
Reply from 10.0.0.1 seq=208 time=2.94325 ms
Reply from 10.0.0.1 seq=209 time=2.918 ms
Reply from 10.0.0.1 seq=210 time=2.91882 ms
Reply from 10.0.0.1 seq=211 time=2.918 ms
Reply from 10.0.0.1 seq=212 time=2.918 ms
Reply from 10.0.0.1 seq=213 time=2.92609 ms
Reply from 10.0.0.1 seq=214 time=2.98409 ms
Reply from 10.0.0.1 seq=215 time=2.92343 ms
Reply from 10.0.0.1 seq=216 time=2.92696 ms
Reply from 10.0.0.1 seq=217 time=2.89989 ms
Reply from 10.0.0.1 seq=218 time=2.918 ms
Reply from 10.0.0.1 seq=219 time=2.94654 ms
Reply from 10.0.0.1 seq=220 time=2.93575 ms
Reply from 10.0.0.1 seq=221 time=2.91967 ms
Reply from 10.0.0.1 seq=222 time=2.92484 ms
Reply from 10.0.0.1 seq=223 time=2.91906 ms
Reply from 10.0.0.1 seq=224 time=2.91822 ms
Reply from 10.0.0.1 seq=225 time=2.95503 ms
Reply from 10.0.0.1 seq=226 time=2.96215 ms
Reply from 10.0.0.1 seq=227 time=2.92128 ms
Reply from 10.0.0.1 seq=228 time=2.93322 ms
Reply from 10.0.0.1 seq=229 time=2.96277 ms
Reply from 10.0.0.1 seq=230 time=2.92574 ms
Reply from 10.0.0.1 seq=231 time=2.93555 ms
Reply from 10.0.0.1 seq=232 time=2.9295 ms
Reply from 10.0.0.1 seq=233 time=2.93174 ms
Reply from 10.0.0.1 seq=234 time=2.94565 ms
Reply from 10.0.0.1 seq=235 time=2.918 ms
Reply from 10.0.0.1 seq=236 time=2.92565 ms
Reply from 10.0.0.1 seq=237 time=2.93466 ms
Reply from 10.0.0.1 seq=238 time=2.94077 ms
