   Time:s    ILoad   IMeter   IQueue    TLoad   TMeter   TQueue
   68.000    20896        0        0    97472        0        0
   69.000    27887        0        0   125359        0        0
   70.000    34204        0        0   159563        0        0
   71.000    11402        0        0   170965        0        0
   72.000    10761        0        0   181726        0        0
   73.000     9969        0        0   191695        0        0
   74.000     9105        0        0   200800        0        0
   75.000     8371        0        0   209171        0        0
   76.000     9848        0        0   219019        0        0
   77.000    13982        0        0   233001        0        0
   78.000    18558        0        0   251559        0        0
   79.000    24094        0        0   275653        0        0
   80.000    29878        0        0   305531        0        0
   81.000    10514        0        0   316045        0        0
   82.000     9616        0        0   325661        0        0
   83.000     8517        0        0   334178        0        0
   84.000     8404        0        0   342582        0        0
   85.000    15380        0        0   357962        0        0
   86.000    21345        0        0   379307        0        0
   87.000    27568        0        0   406875        0        0
   88.000    33830        0        0   440705        0        0
   89.000    38937        0        0   479642        0        0
   90.000    44816        0        0   524458        0        0
   91.000    21571        0        0   546029        0        0
   92.000    20318        0        0   566347        0        0
   93.000    19120        0        0   585467        0        0
   94.000    20882        0        0   606349        0        0
   95.000    28265        0        0   634614        0        0
   96.000    33935        0        0   668549        0        0
   97.000    40195        0        0   708744        0        0
   98.000    43849        0        0   752593        0        0
   99.000    47483        0        0   800076        0        0
  100.000    53007        0        0   853083        0        0
  101.000    27970        0        0   881053        0        0
  102.000    26725        0        0   907778        0        0
  103.000    25845        0        0   933623        0        0
  104.000    30532        0        0   964155        0        0
  105.000    36966        0        0  1001121        0        0
  106.000    42744        0        0  1043865        0        0
  107.000    47679        0        0  1091544        0        0
  108.000    55317        0        0  1146861        0        0
  109.000    60963        0        0  1207824        0        0
  110.000    66127        0        0  1273951        0        0
  111.000    36627        0        0  1310578        0        0
  112.000    35299        0        0  1345877        0        0
  113.000    34193        0        0  1380070        0        0
  114.000    34856        0        0  1414926        0        0
  115.000    40755        0        0  1455681        0        0
  116.000    44742        0        0  1500423        0        0
  117.000    49353        0        0  1549776        0        0
  118.000    56156        0        0  1605932        0        0
  119.000    62786        0        0  1668718        0        0
  120.000    68237        0        0  1736955        0        0
  121.000    39456        0        0  1776411        0        0
  122.000    37886        0        0  1814297        0        0
  123.000    38235        0        0  1852532        0        0
  124.000    43273        0        0  1895805        0        0
  125.000    48147        0        0  1943952        0        0
  126.000    53448        0        0  1997400        0        0
  127.000    57635        0        0  2055035        0        0
  128.000    63679        0        0  2118714        0        0
  129.000    68652        0        0  2187366        0        0
  130.000    72861        0        0  2260227        0        0
  131.000    38837        0        0  2299064        0        0
  132.000    37051        0        0  2336115        0        0
  133.000    35850        0        0  2371965        0        0
  134.000    40530        0        0  2412495        0        0
  135.000    46372        0        0  2458867        0        0
  136.000    52790        0        0  2511657        0        0
  137.000    58561        0        0  2570218        0        0
  138.000    63371        0        0  2633589        0        0
  139.000    69262        0        0  2702851        0        0
  140.000    75943        0        0  2778794        0        0
  141.000    45255        0        0  2824049        0        0
  142.000    43486        0        0  2867535        0        0
  143.000    41626        0        0  2909161        0        0
  144.000    39930        0        0  2949091        0        0
  145.000    41788        0        0  2990879        0        0
  146.000    46522        0        0  3037401        0        0
  147.000    51407        0        0  3088808        0        0
  148.000    56554        0        0  3145362        0        0
  149.000    60659        0        0  3206021        0        0
  150.000    65897        0        0  3271918        0        0
  151.000    43886        0        0  3315804        0        0
  152.000    42280        0        0  3358084        0        0
  153.000    40261        0        0  3398345        0        0
  154.000    37933        0        0  3436278        0        0
  155.000    36075        0        0  3472353        0        0
  156.000    35456        0        0  3507809        0        0
  157.000    39936        0        0  3547745        0        0
  158.000    44348        0        0  3592093        0        0
  159.000    49840        0        0  3641933        0        0
  160.000    54023        0        0  3695956        0        0
  161.000    33336        0        0  3729292        0        0
  162.000    31682        0        0  3760974        0        0
  163.000    29633        0        0  3790607        0        0
  164.000    28089        0        0  3818696        0        0
  165.000    29696        0        0  3848392        0        0
  166.000    33843        0        0  3882235        0        0
  167.000    40220        0        0  3922455        0        0
  168.000    46394        0        0  3968849        0        0
  169.000    53181        0        0  4022030        0        0
