Timestamp,IpOri,PortaOri,IpDest,PortaDest,?,Tempo,BytesEnv,Banda(bps),Jitter,PctPerdido,PctEnv,%Perda,ForaOrdem
20200302103046,10.1.0.2,18537,10.1.0.1,14037,3,0.0-6.5,404250,498684
20200302103046,10.1.0.1,14037,10.1.0.2,18537,3,0.0-6.5,402780,498757,0.089,1,275,0.364,0
20200302103049,10.1.0.2,18550,10.1.0.1,14050,3,0.0-8.0,1245090,1251321
20200302103049,10.1.0.1,14050,10.1.0.2,18550,3,0.0-8.0,1245090,1251911,0.085,0,847,0.000,0
20200302103050,10.1.0.2,18542,10.1.0.1,14042,3,0.0-9.8,201390,164863
20200302103050,10.1.0.1,14042,10.1.0.2,18542,3,0.0-9.8,201390,164932,0.092,0,137,0.000,0
20200302103050,10.1.0.2,18506,10.1.0.1,14006,3,0.0-13.6,388080,228350
20200302103050,10.1.0.1,14006,10.1.0.2,18506,3,0.0-13.6,388080,228423,0.097,0,264,0.000,0
20200302103051,10.1.0.2,18533,10.1.0.1,14033,3,0.0-11.8,1821330,1232884
20200302103051,10.1.0.1,14033,10.1.0.2,18533,3,0.0-11.8,1819860,1233013,0.113,1,1239,0.081,0
20200302103052,10.1.0.2,18604,10.1.0.1,14104,3,0.0-5.4,161700,238589
20200302103052,10.1.0.1,14104,10.1.0.2,18604,3,0.0-5.4,161700,238757,0.102,0,110,0.000,0
20200302103053,10.1.0.2,18599,10.1.0.1,14099,3,0.0-6.9,589470,688118
20200302103053,10.1.0.1,14099,10.1.0.2,18599,3,0.0-6.8,589470,688489,0.106,0,401,0.000,0
20200302103053,10.1.0.2,18564,10.1.0.1,14064,3,0.0-10.7,5080320,3785712
20200302103053,10.1.0.1,14064,10.1.0.2,18564,3,0.0-10.7,5078850,3786029,0.082,1,3456,0.029,0
20200302103054,10.1.0.2,18592,10.1.0.1,14092,3,0.0-8.9,173460,155647
20200302103054,10.1.0.1,14092,10.1.0.2,18592,3,0.0-8.9,173460,155725,0.088,0,118,0.000,0
20200302103055,10.1.0.2,18608,10.1.0.1,14108,3,0.0-8.2,514500,502781
20200302103055,10.1.0.1,14108,10.1.0.2,18608,3,0.0-8.2,514500,503027,0.100,0,350,0.000,0
20200302103056,10.1.0.2,18502,10.1.0.1,14002,3,0.0-20.5,8849400,3445753
20200302103058,10.1.0.2,18517,10.1.0.1,14017,3,0.0-21.1,67620,25599
20200302103059,10.1.0.2,18634,10.1.0.1,14134,3,0.0-8.1,52920,52223
20200302103059,10.1.0.2,18591,10.1.0.1,14091,3,0.0-13.4,1983030,1179643
20200302103100,10.1.0.2,18613,10.1.0.1,14113,3,0.0-13.0,19110,11759
20200302103101,10.1.0.2,18572,10.1.0.1,14072,3,0.0-17.5,931980,424958
20200302103101,10.1.0.2,18630,10.1.0.1,14130,3,0.0-10.6,2600430,1958898
20200302103101,10.1.0.2,18614,10.1.0.1,14114,3,0.0-13.3,417480,251903
20200302103101,10.1.0.2,18582,10.1.0.1,14082,3,0.0-16.6,1350930,649214
20200302103101,10.1.0.2,18541,10.1.0.1,14041,3,0.0-21.4,298410,111615
20200302103101,10.1.0.2,18621,10.1.0.1,14121,3,0.0-12.9,1838970,1144825
20200302103101,10.1.0.2,18588,10.1.0.1,14088,3,0.0-16.4,2219700,1080316
20200302103101,10.1.0.2,18646,10.1.0.1,14146,3,0.0-9.9,948150,764922
20200302103102,10.1.0.2,18515,10.1.0.1,14015,3,0.0-25.2,1026060,325631
20200302103102,10.1.0.2,18534,10.1.0.1,14034,3,0.0-23.4,7463190,2552827
20200302103103,10.1.0.2,18683,10.1.0.1,14183,3,0.0-8.1,154350,152575
20200302103103,10.1.0.2,18679,10.1.0.1,14179,3,0.0-8.8,405720,368637
20200302103103,10.1.0.2,18681,10.1.0.1,14181,3,0.0-8.8,2706270,2447349
20200302103104,10.1.0.2,18507,10.1.0.1,14007,3,0.0-27.4,979020,285695
20200302103104,10.1.0.2,18555,10.1.0.1,14055,3,0.0-22.2,937860,337919
20200302103104,10.1.0.2,18601,10.1.0.1,14101,3,0.0-17.5,518910,236543
20200302103105,10.1.0.2,18691,10.1.0.1,14191,3,0.0-9.9,149940,120831
20200302103105,10.1.0.1,14191,10.1.0.2,18691,3,0.0-9.9,149940,120877,0.083,0,102,0.000,0
20200302103106,10.1.0.2,18559,10.1.0.1,14059,3,0.0-23.7,4853940,1636348
20200302103106,10.1.0.1,14059,10.1.0.2,18559,3,0.0-23.7,4852470,1636493,0.086,1,3302,0.030,0
20200302103107,10.1.0.2,18603,10.1.0.1,14103,3,0.0-20.2,2945880,1165308
20200302103107,10.1.0.1,14103,10.1.0.2,18603,3,0.0-20.2,2945880,1165574,0.105,0,2004,0.000,0
20200302103107,10.1.0.2,18667,10.1.0.1,14167,3,0.0-13.7,321930,187390
20200302103107,10.1.0.2,18518,10.1.0.1,14018,3,0.0-30.2,1639050,434175
20200302103107,10.1.0.1,14018,10.1.0.2,18518,3,0.0-30.2,1639050,434259,0.078,0,1115,0.000,0
20200302103108,10.1.0.1,14167,10.1.0.2,18667,3,0.0-13.7,321930,187447,0.097,0,219,0.000,0
20200302103108,10.1.0.2,18602,10.1.0.1,14102,3,0.0-21.2,834960,315390
20200302103108,10.1.0.1,14102,10.1.0.2,18602,3,0.0-21.2,834960,315464,0.124,0,568,0.000,0
20200302103108,10.1.0.2,18584,10.1.0.1,14084,3,0.0-23.4,3225180,1103869
20200302103108,10.1.0.1,14084,10.1.0.2,18584,3,0.0-23.4,3225180,1104089,0.095,0,2194,0.000,0
