seq     time
0   0.74692
1   0.74692
2   0.74692
3   0.74692
4   0.74692
5   0.74692
6   0.74692
7   0.74692
8   0.74692
9   0.74692
10   1.26692
11   1.26692
12   1.26692
13   1.26692
14   1.26692
15   1.26692
16   1.26692
17   1.26692
18   1.26692
19   1.26692
20   1.34692
21   1.34692
22   1.34913
23   1.34692
24   1.34692
25   1.34692
26   1.34692
27   1.34692
28   1.34692
29   1.34692
30   1.34692
31   1.34692
32   1.34692
33   1.34692
34   1.34692
35   1.34692
36   1.34753
37   1.34692
38   1.34692
39   1.38692
40   1.34692
41   1.34692
42   1.34692
43   1.34692
44   1.38692
45   1.38692
46   1.38692
47   1.42829
48   1.42692
49   1.42692
50   1.38692
51   1.38692
52   1.38692
53   1.42692
54   1.42692
55   1.42692
56   1.42692
57   1.38692
58   1.38692
59   1.38692
60   1.42756
61   1.42762
62   1.42722
63   1.42692
64   1.42692
65   1.42692
66   1.42692
67   1.38871
68   1.38692
69   1.38692
70   1.42815
71   1.42692
72   1.42692
73   1.42692
74   1.42692
75   1.42886
76   1.42692
77   1.42692
78   1.42692
79   1.42692
80   1.42692
81   1.42692
82   1.42717
83   1.42692
84   1.42692
85   1.42692
86   1.42692
87   1.42692
88   1.42692
89   1.42692
90   1.42692
91   1.42692
92   1.42741
93   1.42726
94   1.42696
95   1.42692
96   1.42729
97   1.42692
98   1.42692
99   1.42692
100   1.42692
101   1.42692
102   1.42881
103   1.42692
104   1.42692
105   1.42692
106   1.42692
107   1.42692
108     1.428
109   1.42692
110   1.42692
111   1.42692
112   1.42692
113   1.42692
114   1.42692
115   1.42692
116   1.42692
117   1.42692
118   1.42692
119   1.42692
120   1.42692
121   1.42692
122   1.42692
123   1.42692
