  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032744756411       10.0.0.4       10.0.0.3    10052    30052    17        0           0        1        0        1          122.485             181.2       1910160         265691
0x0040032745756511       10.0.0.4       10.0.0.3    10053    30053    17        0           0        1        0        1          122.849             192.5       4070460         484934
0x0040032746756611       10.0.0.4       10.0.0.3    10054    30054    17        0           0        1        0        1          122.974             233.9       7884716         589370
0x0040032747756711       10.0.0.4       10.0.0.3    10055    30055    17        0           0        1        0        1          126.602             220.7       4729920         405141
0x0040032748756811       10.0.0.4       10.0.0.3    10056    30056    17        0           0        1        0        1          127.692             203.8       1801008         199258
0x0040032749756911       10.0.0.4       10.0.0.3    10057    30057    17        0           0        1        0        1              128             242.2       6345976         453282
0x004003274a756a11       10.0.0.4       10.0.0.3    10058    30058    17        0           0        1        0        1          129.654             226.5       2357380         208741
0x004003274b756b11       10.0.0.4       10.0.0.3    10059    30059    17        0           0        1        0        1          129.689             217.1       3838512         382365
0x004003274c756c11       10.0.0.4       10.0.0.3    10060    30060    17        0           0        1        0        1          132.042               214       1546320         158682
0x004003274d756d11       10.0.0.4       10.0.0.3    10061    30061    17        0           0        1        0        1          133.122             187.8       2569620         438524
0x004003274e756e11       10.0.0.4       10.0.0.3    10062    30062    17        0           0        1        0        1           133.53             189.5       8281908        1425767
0x004003274f756f11       10.0.0.4       10.0.0.3    10063    30063    17        0           0        1        0        1          138.887             219.7       3345812         376392
0x0040032750757011       10.0.0.4       10.0.0.3    10064    30064    17        0           0        1        0        1           140.18             266.4      17391552        1161176
0x0040032751757111       10.0.0.4       10.0.0.3    10065    30065    17        0           0        1        0        1          142.129             180.1        836832         176776
0x0040032752757211       10.0.0.4       10.0.0.3    10066    30066    17        0           0        1        0        1          143.807             266.2      42584440        2931971
0x0040032753757311       10.0.0.4       10.0.0.3    10067    30067    17        0           0        1        0        1          146.784             217.6       8203076        1038096
0x0040032754757411       10.0.0.4       10.0.0.3    10068    30068    17        0           0        1        0        1          150.836             265.3       5108920         374402
0x0040032755757511       10.0.0.4       10.0.0.3    10069    30069    17        0           0        1        0        1          151.733             215.6       8403188        1153747
0x0040032756757611       10.0.0.4       10.0.0.3    10070    30070    17        0           0        1        0        1           155.17             204.7        912632         162859
0x0040032757757711       10.0.0.4       10.0.0.3    10071    30071    17        0           0        1        0        1          155.555               227      22185144        2754005
0x0040032758757811       10.0.0.4       10.0.0.3    10072    30072    17        0           0        1        0        1           155.57             250.4      18831752        1595400
0x0040032759757911       10.0.0.4       10.0.0.3    10073    30073    17        0           0        1        0        1          157.651             283.9       5114984         334453
0x004003275a757a11       10.0.0.4       10.0.0.3    10074    30074    17        0           0        1        0        1           163.43             281.2      13945684         957068
0x004003275b757b11       10.0.0.4       10.0.0.3    10075    30075    17        0           0        1        0        1          165.527             240.5       3207856         344592
0x004003275c757c11       10.0.0.4       10.0.0.3    10076    30076    17        0           0        1        0        1          166.085             276.1      22753644        1751719
0x004003275d757d11       10.0.0.4       10.0.0.3    10077    30077    17        0           0        1        0        1          166.529             273.5       4757208         367811
0x004003275e757e11       10.0.0.4       10.0.0.3    10078    30078    17        0           0        1        0        1          167.415             221.3        460864          70112
0x004003275f757f11       10.0.0.4       10.0.0.3    10079    30079    17        0           0        1        0        1          167.555             289.2      12773816         908803
0x0040032760758011       10.0.0.4       10.0.0.3    10080    30080    17        0           0        1        0        1          173.415             258.5        973272         101667
0x0040032761758111       10.0.0.4       10.0.0.3    10081    30081    17        0           0        1        0        1          174.261             281.7       1717628         129952
0x0040032762758211       10.0.0.4       10.0.0.3    10082    30082    17        0           0        1        0        1          174.489             267.5       8601784         804744
0x0040032763758311       10.0.0.4       10.0.0.3    10083    30083    17        0           0        1        0        1          174.832             258.5       8659392         921601
0x0040032764758411       10.0.0.4       10.0.0.3    10084    30084    17        0           0        1        0        1          178.431             247.7      40436268        5254126
0x0040032765758511       10.0.0.4       10.0.0.3    10085    30085    17        0           0        1        0        1          179.082             252.5       7666412         864822
0x0040032766758611       10.0.0.4       10.0.0.3    10086    30086    17        0           0        1        0        1           182.41             276.6       3127508         285648
0x0040032767758711       10.0.0.4       10.0.0.3    10087    30087    17        0           0        1        0        1          183.574             263.4      11726260        1227458
0x0040032768758811       10.0.0.4       10.0.0.3    10088    30088    17        0           0        1        0        1          183.788             280.8       2454404         204082
0x0040032769758911       10.0.0.4       10.0.0.3    10089    30089    17        0           0        1        0        1          185.267             295.2        797416          60910
0x004003276a758a11       10.0.0.4       10.0.0.3    10090    30090    17        0           0        1        0        1          189.188             251.5        498764          65613
0x004003276b758b11       10.0.0.4       10.0.0.3    10091    30091    17        0           0        1        0        1          190.524             261.8       3330652         383515
0x004003276c758c11       10.0.0.4       10.0.0.3    10092    30092    17        0           0        1        0        1          191.862             246.7       3077480         511447
0x004003276d758d11       10.0.0.4       10.0.0.3    10093    30093    17        0           0        1        0        1          194.456             320.5      13656128         870202
0x004003276e758e11       10.0.0.4       10.0.0.3    10094    30094    17        0           0        1        0        1          196.134             233.4        632172         149333
0x004003276f758f11       10.0.0.4       10.0.0.3    10095    30095    17        0           0        1        0        1          199.626             247.1       1199156         237607
0x0040032770759011       10.0.0.4       10.0.0.3    10096    30096    17        0           0        1        0        1          201.995               328        792868          53751
0x0040032771759111       10.0.0.4       10.0.0.3    10097    30097    17        0           0        1        0        1          209.664             308.5       5836600         516880
0x0040032772759211       10.0.0.4       10.0.0.3    10098    30098    17        0           0        1        0        1          209.724             328.4       8106052         588055
0x0040032773759311       10.0.0.4       10.0.0.3    10099    30099    17        0           0        1        0        1          209.992             295.2      10496784        1049573
0x0040032774759411       10.0.0.4       10.0.0.3    10100    30100    17        0           0        1        0        1          210.596             324.4       8642716         631988
0x0040032775759511       10.0.0.4       10.0.0.3    10101    30101    17        0           0        1        0        1          212.418             271.3       5892692         818689
0x0040032776759611       10.0.0.4       10.0.0.3    10102    30102    17        0           0        1        0        1          212.448             257.1       1206736         257077
0x0040032777759711       10.0.0.4       10.0.0.3    10103    30103    17        0           0        1        0        1          216.655               299      12955736        1413137
0x0040032778759811       10.0.0.4       10.0.0.3    10104    30104    17        0           0        1        0        1          218.197             269.9        400224          76592
0x0040032779759911       10.0.0.4       10.0.0.3    10105    30105    17        0           0        1        0        1          220.036             260.1       1449296         290120
0x004003277a759a11       10.0.0.4       10.0.0.3    10106    30106    17        0           0        1        0        1          221.346             320.7       6790164         550621
0x004003277b759b11       10.0.0.4       10.0.0.3    10107    30107    17        0           0        1        0        1          234.427             274.4        676136         152054
0x004003277c759c11       10.0.0.4       10.0.0.3    10108    30108    17        0           0        1        0        1          236.295             293.2       5296904         789043
0x004003277d759d11       10.0.0.4       10.0.0.3    10109    30109    17        0           0        1        0        1          236.565             353.4       5571300         392915
0x004003277e759e11       10.0.0.4       10.0.0.3    10110    30110    17        0           0        1        0        1          245.044             357.7       6806840         518831
0x004003277f759f11       10.0.0.4       10.0.0.3    10111    30111    17        0           0        1        0        1           245.65               369      13997228         979257
0x004003278075a011       10.0.0.4       10.0.0.3    10112    30112    17        0           0        1        0        1           246.39             295.8        427512          78424
0x004003278175a111       10.0.0.4       10.0.0.3    10113    30113    17        0           0        1        0        1          247.911             370.4       1669116         109370
0x004003278275a211       10.0.0.4       10.0.0.3    10114    30114    17        0           0        1        0        1          253.916             349.6        137956          12820
0x004003278375a311       10.0.0.4       10.0.0.3    10115    30115    17        0           0        1        0        1          253.932             353.5      10455852         870701
0x004003278475a411       10.0.0.4       10.0.0.3    10116    30116    17        0           0        1        0        1          253.971             301.1       1373496         238718
0x004003278575a511       10.0.0.4       10.0.0.3    10117    30117    17        0           0        1        0        1          254.131             325.4       8331936        1011936
0x004003278675a611       10.0.0.4       10.0.0.3    10118    30118    17        0           0        1        0        1          254.603             342.8       4179612         391546
0x004003278775a711       10.0.0.4       10.0.0.3    10119    30119    17        0           0        1        0        1          254.942             376.5       7757372         539370
0x004003278875a811       10.0.0.4       10.0.0.3    10120    30120    17        0           0        1        0        1          256.651             294.7       1697920         407312
0x004003278975a911       10.0.0.4       10.0.0.3    10121    30121    17        0           0        1        0        1          260.222             367.5      16342480        1310304
0x004003278a75aa11       10.0.0.4       10.0.0.3    10122    30122    17        0           0        1        0        1          260.814             327.5      13701608        1852007
0x004003278b75ab11       10.0.0.4       10.0.0.3    10123    30123    17        0           0        1        0        1          263.425             379.3      26693728        2003745
0x004003278c75ac11       10.0.0.4       10.0.0.3    10124    30124    17        0           0        1        0        1          264.436             367.3       9982860         835696
0x004003278d75ad11       10.0.0.4       10.0.0.3    10125    30125    17        0           0        1        0        1          269.713             322.1       1943512         309184
0x004003278e75ae11       10.0.0.4       10.0.0.3    10126    30126    17        0           0        1        0        1          273.442             356.6       1919256         200553
0x004003278f75af11       10.0.0.4       10.0.0.3    10127    30127    17        0           0        1        0        1          275.808             383.8       4763272         365731
0x004003279075b011       10.0.0.4       10.0.0.3    10128    30128    17        0           0        1        0        1          275.849             396.3       7975676         558955
0x004003279175b111       10.0.0.4       10.0.0.3    10129    30129    17        0           0        1        0        1          275.975             355.2      18907552        2043361
0x004003279275b211       10.0.0.4       10.0.0.3    10130    30130    17        0           0        1        0        1          277.742               343         39416           5064
0x004003279375b311       10.0.0.4       10.0.0.3    10131    30131    17        0           0        1        0        1          282.922             371.6        139472          12813
0x004003279475b411       10.0.0.4       10.0.0.3    10132    30132    17        0           0        1        0        1          283.545             341.8       1600896         226855
0x004003279575b511       10.0.0.4       10.0.0.3    10133    30133    17        0           0        1        0        1          288.784             409.5       8809476         633682
0x004003279675b611       10.0.0.4       10.0.0.3    10134    30134    17        0           0        1        0        1          289.206             389.2       1757044         154816
0x004003279775b711       10.0.0.4       10.0.0.3    10135    30135    17        0           0        1        0        1          291.354             391.2        209208          16966
0x004003279875b811       10.0.0.4       10.0.0.3    10136    30136    17        0           0        1        0        1          291.038             392.7       9631148         778573
