Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
411 HW 123 1082 0 40559947584
411 SW 114 1125 0 44504890942
416 HW 123 1090 0 41046200736
416 SW 113 1132 0 45031298278
420 HW 113 1102 0 41463745584
420 SW 112 1143 0 45582301318
424 HW 113 1112 0 41885040192
424 SW 103 1150 0 46070266054
428 HW 104 1121 0 42266605488
428 SW 106 1159 0 46578565678
432 HW 101 1128 0 42648774072
432 SW 116 1173 0 47081645878
436 HW 106 1139 0 43048079664
436 SW 125 1191 0 47576671654
440 HW 101 1146 0 43435086648
440 SW 129 1198 0 48092110942
444 HW 96 1155 0 43783596600
444 SW 123 1208 0 48619142734
448 HW 98 1167 0 44155268880
448 SW 121 1224 0 49108170406
452 HW 100 1178 0 44541110112
452 SW 109 1236 0 49546100038
456 HW 108 1189 0 44951905392
456 SW 116 1247 0 50004922486
460 HW 113 1204 0 45345592392
460 SW 124 1267 0 50465966062
464 HW 113 1212 0 45733284312
464 SW 114 1277 0 50844197398
468 HW 118 1227 0 46130116272
468 SW 121 1292 0 51239136334
472 HW 117 1238 0 46540634856
472 SW 116 1299 0 51660753181
476 HW 110 1247 0 46953563568
476 SW 107 1314 0 52064100532
480 HW 115 1259 0 47383989144
480 SW 109 1328 0 52474502875
484 HW 108 1266 0 47766177384
485 SW 113 1339 0 52906930522
489 HW 111 1278 0 48149809584
489 SW 112 1349 0 53351720098
493 HW 112 1287 0 48561067536
493 SW 109 1359 0 53812284370
497 HW 117 1298 0 48998409000
497 SW 113 1371 0 54292758658
501 HW 127 1312 0 49473532320
501 SW 114 1384 0 54666803266
505 HW 124 1323 0 49974329400
505 SW 115 1395 0 55049612938
509 SW 114 1402 0 55429135522
509 HW 131 1336 0 50511484032
513 HW 131 1346 0 51039253680
513 SW 119 1415 0 55838689450
517 HW 137 1360 0 51572221584
517 SW 130 1432 0 56286884050
521 HW 141 1372 0 52095337296
521 SW 136 1448 0 56750047450
525 HW 134 1387 0 52592866944
525 SW 144 1464 0 57248271106
529 HW 141 1398 0 53130313392
529 SW 143 1475 0 57762066850
533 HW 141 1414 0 53638956240
533 SW 139 1489 0 58235458930
537 HW 150 1429 0 54169774080
537 SW 141 1505 0 58710081778
541 HW 148 1439 0 54686748048
541 SW 138 1514 0 59198686090
545 HW 149 1448 0 55235024952
545 SW 137 1523 0 59693116138
550 HW 134 1461 0 55737888936
550 SW 127 1533 0 60182993554
554 HW 134 1474 0 56256893520
554 SW 126 1546 0 60672166378
558 HW 148 1493 0 56818596984
558 SW 135 1563 0 61173364138
562 HW 144 1501 0 57347382696
562 SW 139 1573 0 61708962922
566 HW 154 1521 0 57901707600
566 SW 144 1585 0 62280455074
570 HW 151 1531 0 58435233432
