Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
16.957          15.821        2789.887   10009   30009
16.976           9.057         997.080   10009   30009
17.077          25.214         320.799   10008   30008
17.109          95.359         256.784   10014   30014
17.195          18.814         466.189   10011   30011
17.324          26.341        1242.109   10010   30010
17.410          78.845          27.838   10006   30006
17.472           5.757        4827.604   10003   30003
17.505          14.256         780.149   10010   30010
17.578          99.451         223.180   10011   30011
17.630          99.936        2555.929   10012   30012
17.665          73.444         806.478   10010   30010
17.702          23.643        3081.040   10008   30008
17.748          58.879        1568.301   10012   30012
17.775          98.091         663.909   10011   30011
17.788          21.758          18.189   10014   30014
17.792          64.917          57.915   10011   30011
17.998          21.203        1614.781   10005   30005
18.115          22.693         685.169   10005   30005
18.118          85.327         175.613   10009   30009
18.184          19.471        2362.640   10004   30004
18.195          26.743        1829.343   10006   30006
18.245          37.078        1598.578   10006   30006
18.861          73.230        1289.180   10007   30007
18.865          91.037         690.081   10007   30007
19.085          39.807         756.415   10012   30012
19.140          58.531         188.996   10013   30013
19.220          25.127         452.799   10014   30014
19.327          55.464         778.129   10012   30012
19.448          80.505        1005.544   10012   30012
19.676          73.387        1275.190   10013   30013
19.794          24.830          68.933   10015   30015
19.865          88.675        2395.292   10008   30008
19.878          73.036         375.862   10009   30009
19.887          18.156          97.350   10013   30013
19.941          85.724         478.764   10007   30007
20.067          22.333         766.431   10016   30016
20.073          68.216         234.789   10014   30014
20.120          15.838        1791.340   10005   30005
20.223          42.037         249.576   10009   30009
20.421          45.065         658.658   10007   30007
20.666          48.357        2677.035   10015   30015
20.674           7.294        1190.621   10014   30014
20.781          17.020        1326.989   10010   30010
20.916          33.365        2512.353   10011   30011
20.979          11.364        1322.666   10015   30015
21.062          89.712           1.800   10013   30013
21.133          40.932          82.921   10010   30010
21.143          88.087        2202.637   10003   30003
21.231          77.031        1916.745   10015   30015
21.288          29.049          38.998   10011   30011
21.317          14.879        1976.625   10007   30007
21.423          16.254         535.719   10008   30008
21.531          41.080        3334.740   10010   30010
21.736          88.727        2240.689   10009   30009
21.949           5.902         903.626   10004   30004
22.000          24.815         518.326   10009   30009
22.095          20.598        2673.535   10010   30010
22.125          60.583         173.687   10016   30016
22.484          72.455         667.285   10013   30013
22.652          84.255         100.348   10008   30008
22.771          71.839         224.500   10010   30010
22.866          12.415        1710.495   10011   30011
23.066          78.170         650.531   10017   30017
23.108          35.208         987.972   10014   30014
23.155          47.362        3223.352   10006   30006
23.381          85.718         223.819   10012   30012
23.652          33.448         935.365   10007   30007
23.669          84.631         137.193   10012   30012
23.695          37.903        1298.770   10017   30017
23.715          48.785         321.132   10008   30008
24.080          54.825        1480.237   10005   30005
24.194          52.991         495.209   10013   30013
24.282          80.970         205.314   10011   30011
24.392          39.448         703.790   10008   30008
24.427          19.427        1457.999   10018   30018
24.479          17.179         106.101   10016   30016
24.544          21.465         372.308   10016   30016
24.579          26.706        1674.381   10015   30015
24.812          76.636         354.049   10009   30009
24.817          74.714        1256.336   10016   30016
24.840          70.716         270.227   10015   30015
24.921          57.895         476.360   10017   30017
24.972          70.523         161.883   10012   30012
25.096          70.382         284.356   10014   30014
25.156          58.601        1102.925   10009   30009
25.273          52.843        3187.401   10017   30017
25.279          97.535         815.567   10009   30009
25.358          84.721        1449.906   10013   30013
25.385          80.894        2963.593   10015   30015
25.477           5.421        1016.861   10019   30019
25.617          29.970         303.710   10010   30010
25.650          31.613         645.048   10012   30012
25.666          56.418        6224.177   10013   30013
25.739          25.835         925.306   10020   30020
25.778          67.219         123.181   10016   30016
25.812          86.997         371.167   10011   30011
26.009          62.836         105.167   10006   30006
26.182          57.076         357.291   10013   30013
26.191          63.038          37.220   10010   30010
26.336          70.533        1379.753   10021   30021
26.344          53.483         131.722   10014   30014
26.510          69.684        2712.120   10014   30014
26.622          93.356        1706.702   10009   30009
26.787          42.657        1582.906   10017   30017
26.790          86.088        6147.983   10018   30018
26.864          24.060        1800.757   10014   30014
27.458          85.948         292.094   10014   30014
27.649          38.737        1269.842   10007   30007
27.679          90.234        1007.365   10008   30008
27.750          98.775        1878.449   10010   30010
27.775          47.727         694.721   10017   30017
27.841           7.355        1685.704   10018   30018
28.026          46.789        1058.292   10015   30015
28.150          37.236        1145.463   10011   30011
28.170          36.017         131.525   10019   30019
28.281          17.806        2720.420   10011   30011
28.406          84.846         932.602   10016   30016
28.559          33.068        1733.574   10022   30022
28.655          90.705        2514.560   10015   30015
28.801          35.571        1688.623   10018   30018
28.810           8.169        1457.511   10012   30012
28.900          64.031        1317.636   10017   30017
28.919          75.092        1233.384   10013   30013
29.141          44.943         856.252   10019   30019
29.207          69.695        5838.088   10015   30015
29.502          38.555         623.151   10020   30020
29.554          61.792         253.526   10010   30010
29.602          21.154        1191.712   10009   30009
29.622          49.098         636.669   10008   30008
29.659           8.399         187.150   10018   30018
29.682          51.489         299.672   10012   30012
29.709          74.463          67.891   10020   30020
29.803          62.931        2198.754   10012   30012
29.819          32.222         111.670   10009   30009
29.861          56.715         594.070   10011   30011
29.962          82.742         193.512   10012   30012
29.991          83.970         465.864   10012   30012
30.099          87.625        1256.739   10016   30016
30.140          12.523        3160.782   10010   30010
30.170          50.048         516.872   10014   30014
30.244          19.220        1704.092   10016   30016
30.399          45.448         408.247   10013   30013
30.569          93.891         439.761   10010   30010
30.610          24.979        1767.746   10015   30015
30.659          50.069        2194.402   10013   30013
30.686          26.487         276.584   10010   30010
30.921          15.033          19.186   10015   30015
30.999          34.498          96.802   10011   30011
31.101           5.139         410.191   10014   30014
31.180          79.803         302.816   10011   30011
31.193          60.988         637.704   10014   30014
31.378          12.312         742.010   10019   30019
31.423          71.024         858.006   10015   30015
31.436          33.105         600.846   10017   30017
31.462          26.236        1694.438   10023   30023
31.538          98.588         312.230   10016   30016
31.805          29.625         668.260   10021   30021
31.823          32.421        1028.285   10017   30017
31.887          89.969         495.362   10012   30012
31.923          68.258         667.902   10013   30013
31.999          26.985         905.297   10018   30018
32.002          85.058          44.116   10020   30020
32.008          38.717          16.526   10011   30011
32.034          17.269        1226.205   10016   30016
32.226          81.796         750.271   10013   30013
32.230          67.262        1321.827   10022   30022
32.374          84.191        1604.390   10019   30019
32.395          81.361         782.992   10020   30020
32.470          30.270        1544.725   10011   30011
32.507          11.627        1894.768   10021   30021
32.535          14.727        6919.105   10012   30012
32.594          82.904         502.303   10018   30018
32.626          60.453         345.272   10018   30018
32.795          87.496         221.317   10019   30019
32.828          18.343         318.955   10023   30023
32.901          27.555         575.376   10018   30018
33.016          23.594          42.287   10013   30013
33.126          16.441         245.084   10024   30024
33.252          81.787        1570.306   10019   30019
33.579          58.040         934.795   10012   30012
33.623          83.509        1032.796   10022   30022
33.761          34.320        1279.947   10019   30019
33.863          45.827         962.743   10017   30017
33.875          11.585         698.436   10019   30019
33.973          98.165        1904.557   10025   30025
33.982          29.642         105.978   10012   30012
34.199          13.306         299.246   10020   30020
34.246          17.807         807.105   10024   30024
34.249          62.619        1259.521   10021   30021
34.251          78.577         995.601   10014   30014
34.405          86.689         595.896   10014   30014
34.406          71.033         387.090   10026   30026
34.500          91.738         187.134   10017   30017
34.509          99.593        5458.297   10015   30015
34.532          49.345        1583.471   10013   30013
34.545          91.768         206.766   10014   30014
34.689          83.377        3046.545   10013   30013
34.694          38.381        1047.401   10018   30018
34.777          36.622         751.296   10014   30014
34.883          17.144         214.074   10015   30015
34.906          16.978        1127.111   10019   30019
34.969          61.468        3789.161   10015   30015
34.983           5.882          21.495   10018   30018
35.083          87.737        5784.468   10019   30019
35.175          61.549        3477.941   10020   30020
35.302          41.023         152.144   10016   30016
35.346          10.174          73.302   10020   30020
35.504          45.163         270.084   10025   30025
35.569          12.386         233.131   10016   30016
36.019          71.766        2337.028   10020   30020
36.063          82.001          92.007   10021   30021
36.092          68.408        1458.802   10016   30016
36.136          26.930        1999.273   10014   30014
36.227          96.674         556.897   10017   30017
36.305          96.654          46.448   10023   30023
36.555          40.228         285.865   10021   30021
36.600           9.058        1634.080   10022   30022
36.650          84.038        1536.518   10015   30015
36.798           7.193        2863.817   10021   30021
36.837          84.584        1068.019   10020   30020
36.884          75.840        1974.118   10021   30021
36.964          65.839         402.404   10026   30026
37.016          59.861        1401.708   10016   30016
37.176          85.705          55.432   10017   30017
37.618          84.514        1695.593   10022   30022
37.834          92.077          50.122   10021   30021
38.173          11.023        2084.735   10016   30016
38.333          32.896         434.044   10018   30018
38.358          95.224         290.492   10020   30020
