Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
13.256          77.780         630.392   10008   30008
13.353          13.332         457.652   10007   30007
13.365          61.551         389.343   10007   30007
13.460          79.577         337.434   10007   30007
13.658           8.308         211.316   10008   30008
13.904          29.882        1226.633   10004   30004
13.943          81.350          72.059   10005   30005
13.961          15.634         215.524   10005   30005
14.063          16.972         449.661   10008   30008
14.165          55.025         264.936   10008   30008
14.192          35.922         829.458   10009   30009
14.354          32.252         631.132   10010   30010
14.492          47.718         214.742   10008   30008
14.521          47.595        2017.102   10009   30009
14.690          91.194         643.206   10011   30011
14.716          49.357        1119.869   10005   30005
14.758          51.862         799.041   10004   30004
14.872          71.708         197.859   10010   30010
14.893          27.622        1335.201   10009   30009
14.983          44.726        5180.586   10006   30006
14.984          79.157         445.890   10009   30009
15.019          59.128         835.947   10005   30005
15.041          29.687         769.823   10009   30009
15.091          17.911         507.722   10007   30007
15.192          76.055        1772.538   10010   30010
15.283          82.944          57.335   10011   30011
15.374          49.872         145.432   10008   30008
15.401          50.484        5675.120   10008   30008
15.463          14.844        1043.796   10006   30006
15.584          37.104         383.306   10006   30006
15.652          39.575        1590.543   10007   30007
15.673          41.764        3068.788   10009   30009
15.713           9.280         396.401   10011   30011
15.745          83.849        1031.901   10005   30005
15.829          33.673         508.506   10010   30010
15.996          99.876         514.194   10003   30003
16.027          16.531         633.314   10012   30012
16.095          49.860         147.094   10006   30006
16.137          23.982         745.858   10004   30004
16.183          20.400         102.499   10007   30007
16.287          74.836        2447.432   10011   30011
16.306          96.090         130.116   10011   30011
16.433          32.960        1756.158   10004   30004
16.592          82.178        1762.580   10009   30009
16.695          61.026         572.456   10010   30010
16.861          25.681        2105.185   10005   30005
16.906          62.346        3448.192   10009   30009
16.967          27.861         449.379   10005   30005
17.040          29.962         334.465   10007   30007
17.200          11.027         634.462   10009   30009
17.360          44.995        3377.207   10010   30010
17.500          30.428         685.902   10010   30010
17.532          90.073          26.148   10012   30012
17.656          39.172        1183.185   10007   30007
17.669          55.410        1367.595   10010   30010
17.692          75.419         330.472   10006   30006
17.912          72.106         566.348   10008   30008
18.011          22.087          37.013   10013   30013
18.306          84.936         635.012   10008   30008
18.416          36.544         575.249   10009   30009
18.502          97.592        1998.548   10012   30012
18.523          77.652        4553.674   10009   30009
18.622          66.999         155.208   10011   30011
18.706          21.929         997.376   10006   30006
18.738          20.394         840.337   10012   30012
18.776          99.703         388.523   10010   30010
18.856          42.458         150.682   10014   30014
19.100          62.785        2257.221   10013   30013
19.163          87.926         525.484   10011   30011
19.285          27.961         904.411   10012   30012
19.298          17.648         540.114   10006   30006
19.471          83.851         652.066   10011   30011
19.600          71.573         555.078   10013   30013
19.625          31.065         356.969   10012   30012
19.648          74.462         891.616   10007   30007
19.964          15.979        2040.338   10012   30012
20.084          94.606        1268.568   10014   30014
20.212          90.488        2563.908   10008   30008
20.217          38.467           2.130   10010   30010
20.322          40.486         120.320   10007   30007
20.661          22.935         684.529   10006   30006
20.663           5.567          18.011   10007   30007
20.712          98.085        1258.368   10008   30008
20.755          25.895        2701.427   10013   30013
20.762          61.319         405.905   10013   30013
20.785          75.918        1589.161   10008   30008
20.859          83.821        1832.638   10010   30010
20.867          28.024        1924.689   10009   30009
21.022          96.350        1157.819   10003   30003
21.042          96.276         133.668   10012   30012
21.051          26.121         871.136   10008   30008
21.220          53.111        1022.912   10015   30015
21.305          87.430         167.263   10009   30009
21.458          75.517          19.792   10007   30007
21.460           9.976         276.040   10009   30009
21.499          56.205          14.386   10008   30008
21.499           8.622          89.664   10010   30010
21.632          53.025         509.605   10011   30011
21.718           5.779         631.001   10011   30011
21.724          85.768         955.908   10010   30010
21.799          84.106         136.292   10012   30012
21.817          46.871         637.495   10013   30013
21.835          44.572         616.867   10010   30010
21.890          10.959         718.200   10009   30009
21.901          15.999         823.084   10011   30011
22.386          61.908         111.860   10011   30011
22.413          39.411        2247.453   10009   30009
22.463          36.218         597.296   10012   30012
22.537          80.525         363.664   10011   30011
22.635          76.965         380.080   10004   30004
22.676          38.170         766.805   10009   30009
22.679          97.360        1588.985   10014   30014
22.723          26.616         312.789   10011   30011
22.863          71.968        2864.237   10015   30015
22.938          71.349         178.281   10014   30014
22.991          58.127        4678.117   10010   30010
22.996          15.839          84.816   10012   30012
22.997          85.514         611.869   10011   30011
23.335           9.562        1596.746   10014   30014
23.541          92.810         369.321   10008   30008
23.674          80.663        1382.818   10013   30013
23.737          71.716         761.605   10013   30013
23.760          15.246         702.394   10015   30015
23.880          63.595        1931.086   10013   30013
23.955           8.587         854.784   10016   30016
24.099          83.156         369.293   10013   30013
24.252          70.049         619.699   10005   30005
24.259          75.062         922.721   10012   30012
24.343          51.501         410.636   10010   30010
24.394          93.081         162.608   10006   30006
24.449          52.242        1666.892   10016   30016
24.518          89.488        1284.682   10010   30010
24.524          97.548        1326.098   10008   30008
24.717          42.383        2955.152   10011   30011
24.753          35.753         112.839   10012   30012
24.818          95.207         347.183   10012   30012
24.830          65.794          58.218   10016   30016
25.024          13.460         743.864   10014   30014
25.066          57.492         380.131   10017   30017
25.072          67.664         373.677   10011   30011
25.267          86.346          71.736   10012   30012
25.277           6.173        8076.497   10013   30013
25.359          62.587         281.428   10012   30012
25.427          15.188        1448.195   10017   30017
25.462          12.649         124.182   10011   30011
25.483          88.633        1793.562   10017   30017
25.581          26.327         966.521   10013   30013
25.615           9.932        2546.967   10015   30015
25.918          31.680        2819.311   10009   30009
25.941          56.759         380.080   10018   30018
25.997          16.063         978.315   10015   30015
25.998          54.686         906.691   10014   30014
26.026          53.077         151.456   10015   30015
26.027          44.221         388.312   10009   30009
26.095          91.868        2027.925   10010   30010
26.208          56.420         736.620   10013   30013
26.218          85.235         412.729   10011   30011
26.255          78.695         678.040   10016   30016
26.362          53.422         528.525   10014   30014
26.371          97.952        1893.126   10010   30010
26.373          40.510         562.209   10013   30013
26.429          92.531          22.857   10011   30011
26.433          66.728         891.333   10014   30014
26.522           9.778         700.969   10014   30014
26.534          38.724        1790.469   10008   30008
26.598          36.009         265.722   10015   30015
26.603          29.037        2096.250   10013   30013
26.636           6.545         642.134   10016   30016
26.645          62.191         640.175   10011   30011
26.649          66.488         160.083   10015   30015
26.743          52.314        1073.801   10007   30007
26.775          26.225         941.859   10008   30008
26.805          62.239         378.771   10012   30012
26.832          32.817         877.492   10016   30016
27.015          54.379        1998.823   10006   30006
27.029           9.540         134.496   10015   30015
27.210           7.673        4187.687   10018   30018
27.259          70.396         836.332   10009   30009
27.280          47.163        2004.265   10016   30016
27.455          48.557         469.476   10012   30012
27.547          13.803        2170.505   10014   30014
27.760          45.117        5290.800   10013   30013
27.910          64.937         668.419   10015   30015
27.949          29.190        1208.281   10017   30017
28.075          62.633         305.488   10017   30017
28.288          19.385        1634.733   10012   30012
28.379          34.993         168.461   10009   30009
28.535          62.982         426.465   10016   30016
28.569          18.221        2934.348   10013   30013
28.672          71.431         269.250   10007   30007
28.783          79.116         185.359   10013   30013
28.809          50.397         448.089   10018   30018
28.978          36.625         843.546   10017   30017
29.019          12.297         411.882   10019   30019
29.083          19.269         238.215   10012   30012
29.245          38.258         793.557   10010   30010
29.273          22.388         587.593   10011   30011
29.362          14.353        1280.395   10017   30017
29.372          26.957         207.807   10015   30015
29.436           8.567        2182.826   10010   30010
29.492          85.483         549.911   10013   30013
29.537          84.086         947.850   10014   30014
29.639          24.982         542.739   10019   30019
29.657          43.886        1731.853   10018   30018
29.779          70.714         560.267   10013   30013
29.853          61.448        1037.676   10018   30018
29.874          16.811        4430.334   10018   30018
29.991          99.496         146.074   10014   30014
30.036          79.439        2482.752   10014   30014
30.091          11.549        1028.173   10019   30019
30.202          31.467          36.901   10014   30014
30.333          62.536         172.284   10019   30019
30.336          35.793         254.060   10008   30008
30.375          26.606         174.342   10017   30017
30.386          15.311         784.747   10020   30020
30.502          83.217         293.891   10010   30010
30.521          98.894        1363.431   10020   30020
30.525          86.953         526.769   10014   30014
30.650          54.839         100.253   10015   30015
30.695          15.996         665.208   10018   30018
30.715          54.515        1375.501   10012   30012
30.738          56.686         165.723   10020   30020
30.804           9.292        1167.925   10019   30019
31.034          23.073         110.455   10021   30021
31.045          30.367         144.496   10011   30011
31.047          32.842         187.866   10014   30014
31.260          75.303         331.049   10015   30015
31.449          70.940         933.438   10016   30016
31.456          78.469        1123.974   10017   30017
31.608          60.745        1193.296   10020   30020
31.779          67.732        1543.364   10012   30012
31.801          93.701         133.565   10016   30016
31.981          77.008        1379.030   10013   30013
32.030          56.874         107.366   10015   30015
32.108          34.683         753.886   10014   30014
32.161          13.819         235.231   10021   30021
32.189          58.410         637.563   10016   30016
32.430          87.689        1837.400   10018   30018
32.441          20.854         167.794   10021   30021
32.501          56.999         269.480   10016   30016
32.754          30.995          18.418   10016   30016
32.851          18.818         155.224   10015   30015
32.876          10.364         196.498   10017   30017
32.959          64.133        1376.748   10015   30015
32.963          30.477         129.040   10017   30017
33.086          12.007        1359.104   10022   30022
33.191          30.244        2015.431   10021   30021
33.203          98.184          20.316   10018   30018
33.327          95.926        1814.239   10015   30015
33.565          86.134        2051.749   10019   30019
34.039          38.719         897.394   10018   30018
34.178          74.340        1221.997   10019   30019
34.210          91.940         453.350   10022   30022
34.330          89.284        2848.151   10022   30022
34.423          54.677         906.873   10019   30019
34.466          18.851         287.511   10014   30014
34.600          46.114        2064.640   10016   30016
34.781          81.362        1197.353   10019   30019
34.817          67.687        4505.459   10023   30023
34.838           5.152        1794.088   10016   30016
34.844          46.255         509.779   10015   30015
34.876          33.175        2417.756   10017   30017
34.924          10.813         442.024   10018   30018
34.996          25.522         926.240   10019   30019
35.009          28.034        1061.082   10023   30023
35.076          10.903        2135.849   10024   30024
35.087          75.152         682.587   10014   30014
35.118          63.958          12.598   10022   30022
35.138          21.357         889.696   10015   30015
35.207          70.245         757.413   10012   30012
35.222          32.035         136.881   10019   30019
35.248          10.783         815.930   10009   30009
35.349          53.857          20.838   10020   30020
35.355          62.608         693.130   10011   30011
35.360          90.238        3267.045   10020   30020
35.530          63.445          22.027   10017   30017
35.627          84.162        2874.273   10013   30013
35.903          84.515         632.950   10012   30012
36.039          77.975         913.059   10021   30021
36.207          88.751         444.748   10025   30025
36.580          46.917         962.882   10017   30017
36.715          74.183         519.603   10020   30020
36.738          83.468         166.121   10015   30015
36.957          39.466         886.370   10023   30023
37.223          24.938        1156.072   10021   30021
37.272          73.805         624.052   10018   30018
37.314          77.446         238.483   10024   30024
37.347          37.517        1881.831   10017   30017
37.382          70.177         317.588   10014   30014
37.498          12.736        1701.272   10013   30013
37.545           9.156         556.873   10015   30015
37.595           6.856        3617.570   10018   30018
37.694          33.478         804.547   10023   30023
37.724          45.872        2685.815   10016   30016
37.812          45.548        1166.942   10024   30024
37.832          29.650         494.453   10025   30025
37.834          95.123          85.161   10016   30016
38.043          61.997          97.766   10018   30018
38.252          22.049          60.028   10010   30010
38.260          76.294         348.707   10013   30013
38.410          30.602         489.337   10016   30016
38.554          43.168         881.714   10022   30022
38.660          34.744           9.309   10026   30026
38.684          70.978        1574.151   10014   30014
38.702          60.963         161.327   10016   30016
38.742          16.346         920.710   10015   30015
38.743          98.155         277.747   10020   30020
38.875          71.967         927.174   10016   30016
38.908          47.027        3143.403   10020   30020
38.918          44.662         160.429   10017   30017
39.107          90.501        1088.096   10014   30014
39.135          68.339          38.801   10016   30016
39.319          65.400          77.150   10017   30017
39.549          10.367        1614.572   10018   30018
39.693          61.226        1695.594   10019   30019
39.873          63.705        2636.276   10023   30023
39.918          88.741         331.930   10018   30018
40.206          98.109        1549.028   10021   30021
40.267          48.170         629.739   10019   30019
40.379          44.276         370.580   10015   30015
40.391          91.227         102.736   10020   30020
40.406          90.266          72.722   10020   30020
40.472          14.297         442.223   10021   30021
40.483          67.590         360.396   10021   30021
40.493          73.941         629.775   10019   30019
40.537          76.866         414.842   10014   30014
40.663           7.129        1466.168   10016   30016
40.730          72.152        3399.537   10017   30017
40.867          19.184         159.638   10027   30027
40.875          81.412        1247.826   10020   30020
41.092          78.370           3.556   10018   30018
41.256          91.122         133.168   10015   30015
41.344          91.529        1927.519   10018   30018
41.445          49.108          65.956   10019   30019
41.561          98.791        2075.277   10017   30017
41.622          36.493        1106.424   10018   30018
41.715           6.663         900.845   10019   30019
41.800          26.072         118.710   10020   30020
41.900          36.725        1645.532   10019   30019
42.155          67.269         447.230   10020   30020
42.172          40.740        1362.405   10026   30026
42.300          56.657        1464.667   10016   30016
42.302          82.499         251.215   10020   30020
42.513          96.657         130.578   10017   30017
42.586          43.950        1257.774   10017   30017
42.593          74.975        1649.925   10021   30021
42.635          75.916         758.353   10022   30022
42.686          79.315         828.061   10021   30021
42.815          44.881         327.636   10019   30019
42.906          96.597         514.406   10025   30025
42.962          24.161        1434.395   10019   30019
43.004          91.688         314.143   10022   30022
43.315          43.643        3075.080   10021   30021
43.413          52.655         261.692   10020   30020
43.503          65.467         443.627   10021   30021
43.608          29.734        1298.531   10021   30021
43.717          70.743        1319.422   10021   30021
43.755          18.540         707.330   10022   30022
43.791          63.488         477.551   10022   30022
43.807          22.711         539.935   10024   30024
43.822          54.044        2335.225   10022   30022
43.914          43.335         109.469   10023   30023
