Ping 10.0.0.1 via ports 65535->7001
Reply from 10.0.0.1 seq=0 time=0.757999 ms
Reply from 10.0.0.1 seq=1 time=1.238 ms
Reply from 10.0.0.1 seq=2 time=1.478 ms
Reply from 10.0.0.1 seq=3 time=1.718 ms
Reply from 10.0.0.1 seq=4 time=1.718 ms
Reply from 10.0.0.1 seq=5 time=1.718 ms
Reply from 10.0.0.1 seq=6 time=1.958 ms
Reply from 10.0.0.1 seq=7 time=1.958 ms
Reply from 10.0.0.1 seq=8 time=1.958 ms
Reply from 10.0.0.1 seq=9 time=1.958 ms
Reply from 10.0.0.1 seq=10 time=1.998 ms
Reply from 10.0.0.1 seq=11 time=1.998 ms
Reply from 10.0.0.1 seq=12 time=1.798 ms
Reply from 10.0.0.1 seq=13 time=1.84342 ms
Reply from 10.0.0.1 seq=14 time=1.838 ms
Reply from 10.0.0.1 seq=15 time=1.878 ms
Reply from 10.0.0.1 seq=16 time=2.078 ms
Reply from 10.0.0.1 seq=17 time=2.078 ms
Reply from 10.0.0.1 seq=18 time=2.07923 ms
Reply from 10.0.0.1 seq=19 time=2.078 ms
Reply from 10.0.0.1 seq=20 time=2.078 ms
Reply from 10.0.0.1 seq=21 time=2.318 ms
Reply from 10.0.0.1 seq=22 time=1.918 ms
Reply from 10.0.0.1 seq=23 time=1.93104 ms
Reply from 10.0.0.1 seq=24 time=1.918 ms
Reply from 10.0.0.1 seq=25 time=1.92568 ms
Reply from 10.0.0.1 seq=26 time=2.118 ms
Reply from 10.0.0.1 seq=27 time=2.1278 ms
Reply from 10.0.0.1 seq=28 time=2.17623 ms
Reply from 10.0.0.1 seq=29 time=2.198 ms
Reply from 10.0.0.1 seq=30 time=2.398 ms
Reply from 10.0.0.1 seq=31 time=2.398 ms
Reply from 10.0.0.1 seq=32 time=2.41159 ms
Reply from 10.0.0.1 seq=33 time=2.398 ms
Reply from 10.0.0.1 seq=34 time=2.41719 ms
Reply from 10.0.0.1 seq=35 time=2.398 ms
Reply from 10.0.0.1 seq=36 time=2.40937 ms
Reply from 10.0.0.1 seq=37 time=2.398 ms
Reply from 10.0.0.1 seq=38 time=2.42177 ms
Reply from 10.0.0.1 seq=39 time=2.398 ms
Reply from 10.0.0.1 seq=40 time=2.41942 ms
Reply from 10.0.0.1 seq=41 time=2.598 ms
Reply from 10.0.0.1 seq=42 time=2.398 ms
Reply from 10.0.0.1 seq=43 time=2.598 ms
Reply from 10.0.0.1 seq=44 time=2.598 ms
Reply from 10.0.0.1 seq=45 time=2.60639 ms
Reply from 10.0.0.1 seq=46 time=2.61181 ms
Reply from 10.0.0.1 seq=47 time=2.638 ms
Reply from 10.0.0.1 seq=48 time=2.67162 ms
Reply from 10.0.0.1 seq=49 time=2.64323 ms
Reply from 10.0.0.1 seq=50 time=2.64324 ms
Reply from 10.0.0.1 seq=51 time=2.67047 ms
Reply from 10.0.0.1 seq=52 time=2.64318 ms
Reply from 10.0.0.1 seq=53 time=2.638 ms
Reply from 10.0.0.1 seq=54 time=2.638 ms
Reply from 10.0.0.1 seq=55 time=2.638 ms
Reply from 10.0.0.1 seq=56 time=2.64356 ms
Reply from 10.0.0.1 seq=57 time=2.638 ms
Reply from 10.0.0.1 seq=58 time=2.67872 ms
Reply from 10.0.0.1 seq=59 time=2.6528 ms
Reply from 10.0.0.1 seq=60 time=2.678 ms
Reply from 10.0.0.1 seq=61 time=2.68057 ms
Reply from 10.0.0.1 seq=62 time=2.69602 ms
Reply from 10.0.0.1 seq=63 time=2.70208 ms
Reply from 10.0.0.1 seq=64 time=2.68719 ms
Reply from 10.0.0.1 seq=65 time=2.678 ms
Reply from 10.0.0.1 seq=66 time=2.68056 ms
Reply from 10.0.0.1 seq=67 time=2.69609 ms
Reply from 10.0.0.1 seq=68 time=2.6828 ms
Reply from 10.0.0.1 seq=69 time=2.68554 ms
Reply from 10.0.0.1 seq=70 time=2.678 ms
Reply from 10.0.0.1 seq=71 time=2.68627 ms
Reply from 10.0.0.1 seq=72 time=2.678 ms
Reply from 10.0.0.1 seq=73 time=2.68786 ms
Reply from 10.0.0.1 seq=74 time=2.69947 ms
Reply from 10.0.0.1 seq=75 time=2.678 ms
Reply from 10.0.0.1 seq=76 time=2.678 ms
Reply from 10.0.0.1 seq=77 time=2.69488 ms
Reply from 10.0.0.1 seq=78 time=2.68884 ms
Reply from 10.0.0.1 seq=79 time=2.71659 ms
Reply from 10.0.0.1 seq=80 time=2.89379 ms
Reply from 10.0.0.1 seq=81 time=2.878 ms
Reply from 10.0.0.1 seq=82 time=2.878 ms
Reply from 10.0.0.1 seq=83 time=2.88767 ms
Reply from 10.0.0.1 seq=84 time=2.89965 ms
Reply from 10.0.0.1 seq=85 time=2.88776 ms
Reply from 10.0.0.1 seq=86 time=2.89372 ms
Reply from 10.0.0.1 seq=87 time=2.89939 ms
Reply from 10.0.0.1 seq=88 time=2.91489 ms
Reply from 10.0.0.1 seq=89 time=2.92375 ms
Reply from 10.0.0.1 seq=90 time=2.918 ms
Reply from 10.0.0.1 seq=91 time=2.918 ms
Reply from 10.0.0.1 seq=92 time=2.93738 ms
Reply from 10.0.0.1 seq=93 time=2.93262 ms
Reply from 10.0.0.1 seq=94 time=2.94228 ms
Reply from 10.0.0.1 seq=95 time=2.918 ms
Reply from 10.0.0.1 seq=96 time=2.94573 ms
Reply from 10.0.0.1 seq=97 time=2.918 ms
Reply from 10.0.0.1 seq=98 time=2.918 ms
Reply from 10.0.0.1 seq=99 time=2.93966 ms
Reply from 10.0.0.1 seq=100 time=2.89793 ms
Reply from 10.0.0.1 seq=101 time=2.93007 ms
Reply from 10.0.0.1 seq=102 time=2.9198 ms
Reply from 10.0.0.1 seq=103 time=2.88599 ms
Reply from 10.0.0.1 seq=104 time=2.91944 ms
Reply from 10.0.0.1 seq=105 time=2.878 ms
Reply from 10.0.0.1 seq=106 time=2.89338 ms
Reply from 10.0.0.1 seq=107 time=2.94024 ms
Reply from 10.0.0.1 seq=108 time=2.87916 ms
Reply from 10.0.0.1 seq=109 time=2.90138 ms
Reply from 10.0.0.1 seq=110 time=2.918 ms
Reply from 10.0.0.1 seq=111 time=2.918 ms
Reply from 10.0.0.1 seq=112 time=2.918 ms
Reply from 10.0.0.1 seq=113 time=2.92769 ms
Reply from 10.0.0.1 seq=114 time=2.95164 ms
Reply from 10.0.0.1 seq=115 time=2.92838 ms
Reply from 10.0.0.1 seq=116 time=2.93791 ms
Reply from 10.0.0.1 seq=117 time=2.92954 ms
Reply from 10.0.0.1 seq=118 time=2.94272 ms
Reply from 10.0.0.1 seq=119 time=2.92829 ms
Reply from 10.0.0.1 seq=120 time=2.97093 ms
Reply from 10.0.0.1 seq=121 time=2.918 ms
Reply from 10.0.0.1 seq=122 time=2.91984 ms
Reply from 10.0.0.1 seq=123 time=2.9272 ms
Reply from 10.0.0.1 seq=124 time=2.92684 ms
Reply from 10.0.0.1 seq=125 time=2.93337 ms
Reply from 10.0.0.1 seq=126 time=2.92636 ms
Reply from 10.0.0.1 seq=127 time=2.92863 ms
Reply from 10.0.0.1 seq=128 time=2.918 ms
Reply from 10.0.0.1 seq=129 time=2.95954 ms
Reply from 10.0.0.1 seq=130 time=2.96628 ms
Reply from 10.0.0.1 seq=131 time=2.918 ms
Reply from 10.0.0.1 seq=132 time=2.918 ms
Reply from 10.0.0.1 seq=133 time=2.9326 ms
Reply from 10.0.0.1 seq=134 time=2.93017 ms
Reply from 10.0.0.1 seq=135 time=2.94965 ms
Reply from 10.0.0.1 seq=136 time=2.92954 ms
Reply from 10.0.0.1 seq=137 time=2.93741 ms
Reply from 10.0.0.1 seq=138 time=2.94548 ms
Reply from 10.0.0.1 seq=139 time=2.92875 ms
Reply from 10.0.0.1 seq=140 time=2.9235 ms
Reply from 10.0.0.1 seq=141 time=2.92479 ms
Reply from 10.0.0.1 seq=142 time=2.918 ms
Reply from 10.0.0.1 seq=143 time=2.95573 ms
Reply from 10.0.0.1 seq=144 time=2.91826 ms
Reply from 10.0.0.1 seq=145 time=2.92191 ms
Reply from 10.0.0.1 seq=146 time=2.93125 ms
Reply from 10.0.0.1 seq=147 time=2.918 ms
Reply from 10.0.0.1 seq=148 time=2.97273 ms
Reply from 10.0.0.1 seq=149 time=2.92665 ms
Reply from 10.0.0.1 seq=150 time=2.92923 ms
Reply from 10.0.0.1 seq=151 time=3.01525 ms
Reply from 10.0.0.1 seq=152 time=2.93832 ms
Reply from 10.0.0.1 seq=153 time=2.92944 ms
Reply from 10.0.0.1 seq=154 time=2.93847 ms
Reply from 10.0.0.1 seq=155 time=2.93124 ms
Reply from 10.0.0.1 seq=156 time=2.92873 ms
Reply from 10.0.0.1 seq=157 time=2.918 ms
Reply from 10.0.0.1 seq=158 time=2.94623 ms
Reply from 10.0.0.1 seq=159 time=2.918 ms
Reply from 10.0.0.1 seq=160 time=2.92872 ms
Reply from 10.0.0.1 seq=161 time=2.9479 ms
Reply from 10.0.0.1 seq=162 time=2.95034 ms
Reply from 10.0.0.1 seq=163 time=2.918 ms
Reply from 10.0.0.1 seq=164 time=2.93524 ms
Reply from 10.0.0.1 seq=165 time=2.92291 ms
Reply from 10.0.0.1 seq=166 time=2.918 ms
Reply from 10.0.0.1 seq=167 time=2.92824 ms
Reply from 10.0.0.1 seq=168 time=2.94746 ms
Reply from 10.0.0.1 seq=169 time=2.918 ms
Reply from 10.0.0.1 seq=170 time=3.08685 ms
Reply from 10.0.0.1 seq=171 time=2.93121 ms
Reply from 10.0.0.1 seq=172 time=2.94305 ms
Reply from 10.0.0.1 seq=173 time=2.93514 ms
Reply from 10.0.0.1 seq=174 time=2.92348 ms
Reply from 10.0.0.1 seq=175 time=2.95571 ms
Reply from 10.0.0.1 seq=176 time=2.918 ms
Reply from 10.0.0.1 seq=177 time=2.92743 ms
Reply from 10.0.0.1 seq=178 time=2.91974 ms
Reply from 10.0.0.1 seq=179 time=2.9296 ms
Reply from 10.0.0.1 seq=180 time=2.92328 ms
Reply from 10.0.0.1 seq=181 time=2.92565 ms
Reply from 10.0.0.1 seq=182 time=2.918 ms
Reply from 10.0.0.1 seq=183 time=2.92144 ms
Reply from 10.0.0.1 seq=184 time=2.94371 ms
Reply from 10.0.0.1 seq=185 time=2.94951 ms
Reply from 10.0.0.1 seq=186 time=2.93047 ms
Reply from 10.0.0.1 seq=187 time=2.92637 ms
Reply from 10.0.0.1 seq=188 time=2.93124 ms
Reply from 10.0.0.1 seq=189 time=2.93727 ms
Reply from 10.0.0.1 seq=190 time=2.93113 ms
Reply from 10.0.0.1 seq=191 time=2.918 ms
Reply from 10.0.0.1 seq=192 time=2.918 ms
Reply from 10.0.0.1 seq=193 time=2.92382 ms
Reply from 10.0.0.1 seq=194 time=2.99186 ms
Reply from 10.0.0.1 seq=195 time=2.93281 ms
