Timestamp,IpOri,PortaOri,IpDest,PortaDest,?,Tempo,BytesEnv,Banda(bps),Jitter,PctPerdido,PctEnv,%Perda,ForaOrdem
20200302095418,10.1.0.2,18506,10.1.0.1,14006,3,0.0-8.6,139650,130047
20200302095418,10.1.0.1,14006,10.1.0.2,18506,3,0.0-8.6,139650,130117,0.555,0,95,0.000,0
20200302095421,10.1.0.2,18512,10.1.0.1,14012,3,0.0-11.4,2205000,1547258
20200302095421,10.1.0.1,14012,10.1.0.2,18512,3,0.0-11.4,2205000,1547891,0.124,0,1500,0.000,0
20200302095422,10.1.0.2,18569,10.1.0.1,14069,3,0.0-6.9,58800,68607
20200302095422,10.1.0.1,14069,10.1.0.2,18569,3,0.0-6.9,58800,68642,0.127,0,40,0.000,0
20200302095424,10.1.0.2,18524,10.1.0.1,14024,3,0.0-13.0,1699320,1045500
20200302095424,10.1.0.1,14024,10.1.0.2,18524,3,0.0-13.0,1699320,1045866,0.103,0,1156,0.000,0
20200302095425,10.1.0.2,18585,10.1.0.1,14085,3,0.0-6.4,468930,581624
20200302095425,10.1.0.1,14085,10.1.0.2,18585,3,0.0-6.4,468930,581985,62.568,0,319,0.000,0
20200302095426,10.1.0.2,18604,10.1.0.1,14104,3,0.0-6.3,1203930,1525746
20200302095426,10.1.0.1,14104,10.1.0.2,18604,3,0.0-6.3,1203930,1526662,0.105,0,819,0.000,0
20200302095427,10.1.0.2,18631,10.1.0.1,14131,3,0.0-5.7,1021650,1441778
20200302095427,10.1.0.1,14131,10.1.0.2,18631,3,0.0-5.7,1021650,1442656,0.101,0,695,0.000,0
20200302095428,10.1.0.2,18532,10.1.0.1,14032,3,0.0-16.5,4802490,2323449
20200302095428,10.1.0.1,14032,10.1.0.2,18532,3,0.0-16.5,4802490,2324058,0.109,0,3267,0.000,0
20200302095430,10.1.0.2,18647,10.1.0.1,14147,3,0.0-6.6,1831620,2228208
20200302095431,10.1.0.2,18617,10.1.0.1,14117,3,0.0-9.6,2713620,2264051
20200302095431,10.1.0.2,18630,10.1.0.1,14130,3,0.0-9.3,9056670,7805831
20200302095431,10.1.0.2,18605,10.1.0.1,14105,3,0.0-11.0,16170,11759
20200302095431,10.1.0.2,18632,10.1.0.1,14132,3,0.0-9.3,291060,250877
20200302095431,10.1.0.2,18637,10.1.0.1,14137,3,0.0-8.7,355740,328702
20200302095432,10.1.0.2,18504,10.1.0.1,14004,3,0.0-23.5,976080,332799
20200302095432,10.1.0.2,18674,10.1.0.1,14174,3,0.0-6.4,848190,1058808
