   Time:s    ILoad   IMeter   IQueue    TLoad   TMeter   TQueue
  168.000    35492        0        0  4201920        0        0
  169.000    38356        0        0  4240276        0        0
  170.000    41618        0        0  4281894        0        0
  171.000    44904        0        0  4326798        0        0
  172.000    34438        0        0  4361236        0        0
  173.000    23734        0        0  4384970        0        0
  174.000    26404        0        0  4411374        0        0
  175.000    29280        0        0  4440654        0        0
  176.000    32440        0        0  4473094        0        0
  177.000    37040        0        0  4510134        0        0
  178.000    40316        0        0  4550450        0        0
  179.000    42022        0        0  4592472        0        0
  180.000    44967        0        0  4637439        0        0
  181.000    47320        0        0  4684759        0        0
  182.000    35721        0        0  4720480        0        0
  183.000    25722        0        0  4746202        0        0
  184.000    30276        0        0  4776478        0        0
  185.000    32222        0        0  4808700        0        0
  186.000    34535        0        0  4843235        0        0
  187.000    37035        0        0  4880270        0        0
  188.000    40993        0        0  4921263        0        0
  189.000    44627        0        0  4965890        0        0
  190.000    47203        0        0  5013093        0        0
  191.000    49780        0        0  5062873        0        0
  192.000    38009        0        0  5100882        0        0
  193.000    26273        0        0  5127155        0        0
  194.000    28831        0        0  5155986        0        0
  195.000    31912        0        0  5187898        0        0
  196.000    34752        0        0  5222650        0        0
  197.000    37575        0        0  5260225        0        0
  198.000    40848        0        0  5301073        0        0
  199.000    44355        0        0  5345428        0        0
  200.000    47529        0        0  5392957        0        0
  201.000    50962        0        0  5443919        0        0
  202.000    38948        0        0  5482867        0        0
  203.000    25467        0        0  5508334        0        0
  204.000    28038        0        0  5536372        0        0
  205.000    31324        0        0  5567696        0        0
  206.000    32090        0        0  5599786        0        0
  207.000    34690        0        0  5634476        0        0
  208.000    37382        0        0  5671858        0        0
  209.000    39835        0        0  5711693        0        0
  210.000    42309        0        0  5754002        0        0
  211.000    45247        0        0  5799249        0        0
  212.000    33936        0        0  5833185        0        0
  213.000    24143        0        0  5857328        0        0
  214.000    25941        0        0  5883269        0        0
  215.000    29661        0        0  5912930        0        0
  216.000    32633        0        0  5945563        0        0
  217.000    34003        0        0  5979566        0        0
  218.000    36325        0        0  6015891        0        0
  219.000    38797        0        0  6054688        0        0
  220.000    41476        0        0  6096164        0        0
  221.000    44210        0        0  6140374        0        0
  222.000    33433        0        0  6173807        0        0
  223.000    22260        0        0  6196067        0        0
  224.000    24772        0        0  6220839        0        0
  225.000    27141        0        0  6247980        0        0
  226.000    29891        0        0  6277871        0        0
  227.000    32795        0        0  6310666        0        0
  228.000    36400        0        0  6347066        0        0
  229.000    38332        0        0  6385398        0        0
  230.000    41150        0        0  6426548        0        0
  231.000    44125        0        0  6470673        0        0
  232.000    30710        0        0  6501383        0        0
  233.000    18895        0        0  6520278        0        0
  234.000    21210        0        0  6541488        0        0
  235.000    23711        0        0  6565199        0        0
  236.000    25774        0        0  6590973        0        0
  237.000    28606        0        0  6619579        0        0
  238.000    31827        0        0  6651406        0        0
  239.000    35212        0        0  6686618        0        0
  240.000    38868        0        0  6725486        0        0
  241.000    42232        0        0  6767718        0        0
  242.000    31820        0        0  6799538        0        0
  243.000    21698        0        0  6821236        0        0
  244.000    23329        0        0  6844565        0        0
  245.000    26094        0        0  6870659        0        0
  246.000    28894        0        0  6899553        0        0
  247.000    31718        0        0  6931271        0        0
  248.000    35310        0        0  6966581        0        0
  249.000    38049        0        0  7004630        0        0
  250.000    41002        0        0  7045632        0        0
  251.000    43940        0        0  7089572        0        0
  252.000    32672        0        0  7122244        0        0
  253.000    22776        0        0  7145020        0        0
  254.000    25442        0        0  7170462        0        0
  255.000    30155        0        0  7200617        0        0
  256.000    33996        0        0  7234613        0        0
  257.000    37521        0        0  7272134        0        0
  258.000    42161        0        0  7314295        0        0
  259.000    46600        0        0  7360895        0        0
