    Time      SRC      DST   Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x0960952715753511       10.0.0.150       10.0.0.149    10005    30005    17        1           true    false     false    2                8.432         0.000         0        2041501
  10.000       SW       HW 0x0660652712753211       10.0.0.102       10.0.0.101    10002    30002    17        1           true    false     false    2                8.567         0.000         0        1946026
  10.000       SW       HW 0x0660652710753011       10.0.0.102       10.0.0.101    10000    30000    17        1           true    false     false    2                1.077         0.000         0        1929999
  10.000       SW       HW 0x0080072711753111       10.0.0.8       10.0.0.7    10001    30001    17        1           true    false     false    1                2.583         0.000         0        1927868
  10.000       SW       HW 0x03a0392713753311       10.0.0.58       10.0.0.57    10003    30003    17        1           true    false     false    1                7.709         0.000         0        1921342
  10.000       SW       HW 0x0240232710753011       10.0.0.36       10.0.0.35    10000    30000    17        1           true    false     false    1                3.752         0.000         0        1915974
  10.000       SW       HW 0x0460452711753111       10.0.0.70       10.0.0.69    10001    30001    17        1           true    false     false    1                1.267         0.000         0        1894264
  10.000       SW       HW 0x04e04d2712753211       10.0.0.78       10.0.0.77    10002    30002    17        1           true    false     false    2                3.877         0.000         0        1850037
  10.000       SW       HW 0x0320312713753311       10.0.0.50       10.0.0.49    10003    30003    17        1           true    false     false    1                6.949         0.000         0        1836702
  10.000       SW       HW 0x0880872713753311       10.0.0.136       10.0.0.135    10003    30003    17        1           true    false     false    2                8.494         0.000         0        1779917
  10.000       SW       HW 0x07c07b2710753011       10.0.0.124       10.0.0.123    10000    30000    17        1           true    false     false    2                3.613         0.000         0        1771516
  10.000       SW       HW 0x0440432715753511       10.0.0.68       10.0.0.67    10005    30005    17        1           true    false     false    1                8.794         0.000         0        1769737
  10.000       SW       HW 0x03a0392715753511       10.0.0.58       10.0.0.57    10005    30005    17        1           true    false     false    1                8.606         0.000         0        1748162
  10.000       SW       HW 0x0160152713753311       10.0.0.22       10.0.0.21    10003    30003    17        1           true    false     false    1                6.176         0.000         0        1741160
  10.000       SW       HW 0x02c02b2713753311       10.0.0.44       10.0.0.43    10003    30003    17        1           true    false     false    1                9.601         0.000         0        1734232
  10.000       SW       HW 0x03e03d2710753011       10.0.0.62       10.0.0.61    10000    30000    17        1           true    false     false    1                3.300         0.000         0        1708876
  10.000       SW       HW 0x0560552710753011       10.0.0.86       10.0.0.85    10000    30000    17        1           true    false     false    2                1.026         0.000         0        1700044
  10.000       SW       HW 0x0420412713753311       10.0.0.66       10.0.0.65    10003    30003    17        1           true    false     false    1                8.434         0.000         0        1688779
  10.000       SW       HW 0x03c03b2712753211       10.0.0.60       10.0.0.59    10002    30002    17        1           true    false     false    1                6.968         0.000         0        1675738
  10.000       SW       HW 0x00a0092716753611       10.0.0.10       10.0.0.9    10006    30006    17        1           true    false     false    1                9.837         0.000         0        1634726
  10.000       SW       HW 0x0360352713753311       10.0.0.54       10.0.0.53    10003    30003    17        1           true    false     false    1                6.849         0.000         0        1620366
  10.000       SW       HW 0x06c06b2710753011       10.0.0.108       10.0.0.107    10000    30000    17        1           true    false     false    2                2.298         0.000         0        1612505
  10.000       SW       HW 0x0180172711753111       10.0.0.24       10.0.0.23    10001    30001    17        1           true    false     false    1                3.252         0.000         0        1605069
  10.000       SW       HW 0x07006f2713753311       10.0.0.112       10.0.0.111    10003    30003    17        1           true    false     false    2                7.622         0.000         0        1601213
