Timestamp,IpOri,PortaOri,IpDest,PortaDest,?,Tempo,BytesEnv,Banda(bps),Jitter,PctPerdido,PctEnv,%Perda,ForaOrdem
20191010101352,10.1.0.2,18505,10.1.0.1,14005,3,0.0-5.4,945210,1403892
20191010101352,10.1.0.1,14005,10.1.0.2,18505,3,0.0-5.4,942270,1405519,0.067,2,643,0.311,0
20191010101359,10.1.0.2,18504,10.1.0.1,14004,3,0.0-13.4,3786720,2260984
20191010101359,10.1.0.1,14004,10.1.0.2,18504,3,0.0-13.4,3782310,2261957,0.143,3,2576,0.116,0
20191010101400,10.1.0.2,18526,10.1.0.1,14026,3,0.0-9.1,4712820,4145131
20191010101401,10.1.0.1,14026,10.1.0.2,18526,3,0.0-9.1,4709880,4145154,0.092,2,3206,0.062,0
20191010101402,10.1.0.2,18547,10.1.0.1,14047,3,0.0-6.4,5975550,7455693
20191010101402,10.1.0.1,14047,10.1.0.2,18547,3,0.0-6.4,5966730,7455793,0.077,6,4065,0.148,0
20191010101403,10.1.0.2,18518,10.1.0.1,14018,3,0.0-13.9,5837370,3365876
20191010101403,10.1.0.1,14018,10.1.0.2,18518,3,0.0-13.9,5832960,3366429,0.569,3,3971,0.076,0
20191010101403,10.1.0.2,18539,10.1.0.1,14039,3,0.0-9.8,987840,805879
20191010101403,10.1.0.1,14039,10.1.0.2,18539,3,0.0-9.8,986370,807285,0.918,1,672,0.149,1
20191010101403,10.1.0.2,18523,10.1.0.1,14023,3,0.0-12.6,1121610,712696
20191010101403,10.1.0.1,14023,10.1.0.2,18523,3,0.0-12.5,1117200,712968,0.241,3,763,0.393,0
20191010101404,10.1.0.2,18513,10.1.0.1,14013,3,0.0-15.8,6823740,3449845
20191010101404,10.1.0.1,14013,10.1.0.2,18513,3,0.0-15.8,6822270,3450819,0.063,1,4642,0.022,0
20191010101404,10.1.0.2,18544,10.1.0.1,14044,3,0.0-9.7,673260,558077
