Timestamp,IpOri,PortaOri,IpDest,PortaDest,?,Tempo,BytesEnv,Banda(bps),Jitter,PctPerdido,PctEnv,%Perda,ForaOrdem
20191122111417,10.1.0.2,18521,10.1.0.1,14021,3,0.0-9.0,4083660,3611635
20191122111417,10.1.0.1,14021,10.1.0.2,18521,3,0.0-9.0,4079250,3612649,0.077,3,2778,0.108,0
20191122111420,10.1.0.2,18540,10.1.0.1,14040,3,0.0-6.9,574770,664571
20191122111420,10.1.0.1,14040,10.1.0.2,18540,3,0.0-6.9,574770,665366,0.433,0,391,0.000,0
20191122111420,10.1.0.2,18525,10.1.0.1,14025,3,0.0-11.2,1128960,805885
20191122111420,10.1.0.1,14025,10.1.0.2,18525,3,0.0-11.2,1124550,806590,0.105,3,768,0.391,0
20191122111420,10.1.0.2,18533,10.1.0.1,14033,3,0.0-8.5,4264470,4025329
20191122111420,10.1.0.1,14033,10.1.0.2,18533,3,0.0-8.4,4239480,4026714,0.068,17,2901,0.586,0
20191122111421,10.1.0.2,18522,10.1.0.1,14022,3,0.0-13.4,2994390,1793018
20191122111422,10.1.0.1,14022,10.1.0.2,18522,3,0.0-13.4,2994390,1793834,0.071,0,2037,0.000,0
20191122111422,10.1.0.2,18501,10.1.0.1,14001,3,0.0-19.6,439530,179199
20191122111422,10.1.0.1,14001,10.1.0.2,18501,3,0.0-19.6,439530,179516,0.058,0,299,0.000,0
20191122111427,10.1.0.2,18527,10.1.0.1,14027,3,0.0-18.6,504210,217087
20191122111428,10.1.0.1,14027,10.1.0.2,18527,3,0.0-18.6,504210,217157,0.184,0,343,0.000,0
20191122111430,10.1.0.2,18550,10.1.0.1,14050,3,0.0-15.1,814380,431102
20191122111430,10.1.0.1,14050,10.1.0.2,18550,3,0.0-15.1,814380,431814,0.091,0,554,0.000,0
20191122111431,10.1.0.2,18553,10.1.0.1,14053,3,0.0-15.9,370440,186367
20191122111431,10.1.0.1,14053,10.1.0.2,18553,3,0.0-15.9,370440,186453,0.079,0,252,0.000,0
20191122111435,10.1.0.2,18570,10.1.0.1,14070,3,0.0-15.7,2825340,1439740
20191122111435,10.1.0.1,14070,10.1.0.2,18570,3,0.0-15.7,2822400,1439807,0.090,2,1922,0.104,0
20191122111436,10.1.0.2,18575,10.1.0.1,14075,3,0.0-16.1,1315650,652286
20191122111436,10.1.0.1,14075,10.1.0.2,18575,3,0.0-16.1,1312710,652616,0.205,2,895,0.223,0
20191122111437,10.1.0.2,18577,10.1.0.1,14077,3,0.0-16.2,4189500,2071541
20191122111437,10.1.0.1,14077,10.1.0.2,18577,3,0.0-16.2,4186560,2071589,0.085,2,2850,0.070,0
20191122111439,10.1.0.2,18547,10.1.0.1,14047,3,0.0-24.9,3597090,1155069
20191122111439,10.1.0.1,14047,10.1.0.2,18547,3,0.0-24.9,3595620,1155462,0.090,1,2447,0.041,0
20191122111440,10.1.0.2,18503,10.1.0.1,14003,3,0.0-36.7,4980360,1084414
20191122111440,10.1.0.1,14003,10.1.0.2,18503,3,0.0-36.7,4975950,1084513,0.082,3,3388,0.089,0
20191122111440,10.1.0.2,18516,10.1.0.1,14016,3,0.0-33.9,6337170,1495038
20191122111440,10.1.0.1,14016,10.1.0.2,18516,3,0.0-33.9,6331290,1495081,0.101,4,4311,0.093,0
20191122111441,10.1.0.2,18526,10.1.0.1,14026,3,0.0-32.6,483630,118783
20191122111441,10.1.0.1,14026,10.1.0.2,18526,3,0.0-32.5,483630,118884,0.085,0,329,0.000,0
20191122111442,10.1.0.2,18557,10.1.0.1,14057,3,0.0-25.4,19480440,6147060
20191122111442,10.1.0.1,14057,10.1.0.2,18557,3,0.0-25.3,19477500,6147620,0.251,2,13252,0.015,0
20191122111443,10.1.0.2,18548,10.1.0.1,14048,3,0.0-28.5,4070430,1141758
20191122111443,10.1.0.1,14048,10.1.0.2,18548,3,0.0-28.5,4068960,1141855,0.086,1,2769,0.036,0
20191122111443,10.1.0.2,18505,10.1.0.1,14005,3,0.0-40.0,1561140,312319
20191122111443,10.1.0.1,14005,10.1.0.2,18505,3,0.0-40.0,1561140,312480,0.142,0,1062,0.000,0
20191122111444,10.1.0.2,18589,10.1.0.1,14089,3,0.0-19.9,3550050,1424378
20191122111444,10.1.0.1,14089,10.1.0.2,18589,3,0.0-19.9,3545640,1424759,0.075,3,2415,0.124,0
20191122111444,10.1.0.2,18539,10.1.0.1,14039,3,0.0-31.3,2659230,679935
20191122111444,10.1.0.1,14039,10.1.0.2,18539,3,0.0-31.3,2656290,679982,0.276,2,1809,0.111,0
20191122111445,10.1.0.2,18551,10.1.0.1,14051,3,0.0-29.3,1186290,323583
20191122111445,10.1.0.1,14051,10.1.0.2,18551,3,0.0-29.3,1186290,323657,0.206,0,807,0.000,0
20191122111445,10.1.0.2,18612,10.1.0.1,14112,3,0.0-13.9,546840,314366
20191122111445,10.1.0.1,14112,10.1.0.2,18612,3,0.0-13.9,546840,314865,0.079,0,372,0.000,0
20191122111446,10.1.0.2,18508,10.1.0.1,14008,3,0.0-41.7,454230,87039
20191122111446,10.1.0.1,14008,10.1.0.2,18508,3,0.0-41.7,454230,87071,0.151,0,309,0.000,0
20191122111446,10.1.0.2,18544,10.1.0.1,14044,3,0.0-32.2,811440,201727
20191122111446,10.1.0.1,14044,10.1.0.2,18544,3,0.0-32.2,811440,201849,0.864,0,552,0.000,0
20191122111447,10.1.0.2,18642,10.1.0.1,14142,3,0.0-5.6,416010,595960
20191122111447,10.1.0.1,14142,10.1.0.2,18642,3,0.0-5.6,414540,596143,0.134,1,283,0.353,0
20191122111447,10.1.0.2,18556,10.1.0.1,14056,3,0.0-30.9,6989850,1808380
20191122111447,10.1.0.1,14056,10.1.0.2,18556,3,0.0-30.9,6982500,1808528,0.084,5,4755,0.105,0
20191122111449,10.1.0.2,18590,10.1.0.1,14090,3,0.0-24.7,12983040,4199413
20191122111449,10.1.0.1,14090,10.1.0.2,18590,3,0.0-24.7,12974220,4199593,0.079,6,8832,0.068,0
20191122111449,10.1.0.2,18605,10.1.0.1,14105,3,0.0-18.6,1108380,477182
20191122111449,10.1.0.1,14105,10.1.0.2,18605,3,0.0-18.6,1108380,477390,0.118,0,754,0.000,0
