Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
502 SW 228 2417 0 7746832550
507 HW 164 2127 176 7363690992
507 SW 216 2430 0 7818394118
512 HW 155 2142 176 7491507912
512 SW 203 2444 0 7962062846
517 HW 162 2159 176 7516734120
517 SW 190 2463 0 8100041918
522 HW 153 2166 176 7547315832
523 SW 174 2471 0 8219167862
527 HW 130 2172 176 7607127528
528 SW 158 2485 0 8316248846
532 HW 101 2178 176 7777207872
533 SW 128 2493 0 8421574826
537 HW 89 2180 176 7835802408
538 SW 124 2503 0 8481156758
542 HW 85 2190 176 7883330616
543 SW 110 2513 0 8576855774
547 HW 82 2195 176 7903487088
548 SW 101 2520 0 8626342202
552 HW 82 2201 176 7911307152
553 SW 89 2530 0 8717142338
557 HW 70 2207 176 8003800728
558 SW 78 2539 0 8802385874
562 HW 66 2215 176 8038446696
563 SW 67 2542 0 8848985714
567 HW 57 2218 176 8068461408
568 SW 56 2549 0 8918749574
572 HW 49 2222 176 8139398400
573 SW 43 2554 0 8991514574
577 HW 42 2229 176 8281571760
578 SW 44 2561 0 9042360110
582 HW 38 2233 176 8371756512
583 SW 36 2565 0 9074423702
588 HW 32 2235 176 8417400768
588 SW 29 2568 0 9120515510
593 HW 20 2237 176 8474223240
593 SW 16 2569 0 9209315270
598 HW 16 2239 176 8507317896
598 SW 8 2569 0 9230189942
603 HW 10 2239 176 8538288192
603 SW 4 2569 0 9247546370
608 HW 6 2239 176 8565410448
608 SW 2 2569 0 9250712498
613 HW 2 2239 176 8599490928
613 SW 2 2569 0 9250712498
618 HW 2 2239 176 8599490928
618 SW 2 2569 0 9250712498
623 HW 2 2239 176 8599490928
623 SW 2 2569 0 9250712498
628 HW 2 2239 176 8599490928
628 SW 2 2569 0 9250712498
