  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032744756411       10.0.0.4       10.0.0.3    10052    30052    17        0           0        1        0        1          103.505             148.7      13239228        2902120
0x0040032745756511       10.0.0.4       10.0.0.3    10053    30053    17        0           0        0        0        1          103.966             149.1       1682760         373590
0x0040032746756611       10.0.0.4       10.0.0.3    10054    30054    17        0           0        1        0        1          109.373             239.2      10857592         720075
0x0040032747756711       10.0.0.4       10.0.0.3    10055    30055    17        0           0        1        0        1          110.067             201.8      10333056         919175
0x0040032748756811       10.0.0.4       10.0.0.3    10056    30056    17        0           0        0        0        1          117.704               163       1218864         230540
0x0040032749756911       10.0.0.4       10.0.0.3    10057    30057    17        0           0        1        0        1           123.26             226.7       7440528         615304
0x004003274a756a11       10.0.0.4       10.0.0.3    10058    30058    17        0           0        1        0        1          123.911             242.7       9411328         648560
0x004003274b756b11       10.0.0.4       10.0.0.3    10059    30059    17        0           0        1        0        1          126.505               237      12168932         940641
0x004003274c756c11       10.0.0.4       10.0.0.3    10060    30060    17        0           0        1        0        1          129.231             229.9       9109644         802888
0x004003274d756d11       10.0.0.4       10.0.0.3    10061    30061    17        0           0        1        0        1          130.001             225.8      13700092        1217804
0x004003274e756e11       10.0.0.4       10.0.0.3    10062    30062    17        0           0        1        0        1          130.106             170.4       1159740         232564
0x004003274f756f11       10.0.0.4       10.0.0.3    10063    30063    17        0           0        1        0        1          137.072             205.6      10928844        1389368
0x0040032750757011       10.0.0.4       10.0.0.3    10064    30064    17        0           0        0        0        1          137.767             181.8        882312         167132
0x0040032751757111       10.0.0.4       10.0.0.3    10065    30065    17        0           0        0        0        1          139.027               183       1238572         241833
0x0040032752757211       10.0.0.4       10.0.0.3    10066    30066    17        0           0        1        0        1          140.051             265.7      21992612        1466800
0x0040032753757311       10.0.0.4       10.0.0.3    10067    30067    17        0           0        1        0        1          143.274             264.9      11230528         769702
0x0040032754757411       10.0.0.4       10.0.0.3    10068    30068    17        0           0        1        0        1          144.169             208.2       4519196         647548
0x0040032755757511       10.0.0.4       10.0.0.3    10069    30069    17        0           0        0        0        1          144.682             236.5       1735820         162762
0x0040032756757611       10.0.0.4       10.0.0.3    10070    30070    17        0           0        1        0        1          146.361             249.3      20725236        1770642
0x0040032757757711       10.0.0.4       10.0.0.3    10071    30071    17        0           0        0        0        1          147.151             259.2       6950860         540667
0x0040032758757811       10.0.0.4       10.0.0.3    10072    30072    17        0           0        0        0        1          149.759               247       2806116         248765
0x0040032759757911       10.0.0.4       10.0.0.3    10073    30073    17        0           0        0        0        1          153.842             195.3        874732         193536
0x004003275a757a11       10.0.0.4       10.0.0.3    10074    30074    17        0           0        1        0        1          158.514             285.7      11115312         731956
0x004003275b757b11       10.0.0.4       10.0.0.3    10075    30075    17        0           0        0        0        1          158.672             252.1       3201792         280464
0x004003275c757c11       10.0.0.4       10.0.0.3    10076    30076    17        0           0        1        0        1          160.786             234.3       6612792         764328
0x004003275d757d11       10.0.0.4       10.0.0.3    10077    30077    17        0           0        0        0        1          162.461             222.4       1243120         172839
0x004003275e757e11       10.0.0.4       10.0.0.3    10078    30078    17        0           0        1        0        1          164.146             278.7      26619444        2011788
0x004003275f757f11       10.0.0.4       10.0.0.3    10079    30079    17        0           0        1        0        1          168.213             214.9       3415548         653898
0x0040032760758011       10.0.0.4       10.0.0.3    10080    30080    17        0           0        1        0        1          171.187             249.6       8383480         974639
0x0040032761758111       10.0.0.4       10.0.0.3    10081    30081    17        0           0        1        0        1          171.535             232.2       4684440         640986
0x0040032762758211       10.0.0.4       10.0.0.3    10082    30082    17        0           0        1        0        1          175.166             227.5       4970964         886999
0x0040032763758311       10.0.0.4       10.0.0.3    10083    30083    17        0           0        1        0        1          176.196               256       8052992         872901
0x0040032764758411       10.0.0.4       10.0.0.3    10084    30084    17        0           0        1        0        1          176.255               262       9393136         897307
0x0040032765758511       10.0.0.4       10.0.0.3    10085    30085    17        0           0        1        0        1           177.35             282.2      13860788        1080239
0x0040032766758611       10.0.0.4       10.0.0.3    10086    30086    17        0           0        1        0        1          178.667             300.5      16389476        1080624
0x0040032767758711       10.0.0.4       10.0.0.3    10087    30087    17        0           0        0        0        1           181.88             274.7        445704          40463
0x0040032768758811       10.0.0.4       10.0.0.3    10088    30088    17        0           0        0        0        1          182.342             273.3       2771248         252913
0x0040032769758911       10.0.0.4       10.0.0.3    10089    30089    17        0           0        0        0        1          185.729             279.3         48512           4605
0x004003276a758a11       10.0.0.4       10.0.0.3    10090    30090    17        0           0        1        0        1          186.944             263.3       7619416         834361
0x004003276b758b11       10.0.0.4       10.0.0.3    10091    30091    17        0           0        0        0        1          188.086             308.1       3662656         261819
0x004003276c758c11       10.0.0.4       10.0.0.3    10092    30092    17        0           0        1        0        1          189.439             307.1      15413172        1115266
0x004003276d758d11       10.0.0.4       10.0.0.3    10093    30093    17        0           0        1        0        1          189.873             281.7      21290704        1889838
0x004003276e758e11       10.0.0.4       10.0.0.3    10094    30094    17        0           0        1        0        1          195.029             275.2       5125596         546940
0x004003276f758f11       10.0.0.4       10.0.0.3    10095    30095    17        0           0        1        0        1          195.809             313.6      22718776        1591629
0x0040032770759011       10.0.0.4       10.0.0.3    10096    30096    17        0           0        1        0        1          196.602             285.8      11556468        1108559
0x0040032771759111       10.0.0.4       10.0.0.3    10097    30097    17        0           0        1        0        1          197.752             284.4      17825128        1733786
0x0040032772759211       10.0.0.4       10.0.0.3    10098    30098    17        0           0        0        0        1          198.545             312.1        912632          65507
0x0040032773759311       10.0.0.4       10.0.0.3    10099    30099    17        0           0        0        0        1          200.609             252.1        332004          53775
0x0040032774759411       10.0.0.4       10.0.0.3    10100    30100    17        0           0        0        0        1          200.588             317.3       3289720         240539
0x0040032775759511       10.0.0.4       10.0.0.3    10101    30101    17        0           0        0        0        1          200.968             257.9       1837392         299786
0x0040032776759611       10.0.0.4       10.0.0.3    10102    30102    17        0           0        0        0        1          201.958             294.5       3251820         295480
0x0040032777759711       10.0.0.4       10.0.0.3    10103    30103    17        0           0        0        0        1          204.065               329       3891572         268535
0x0040032778759811       10.0.0.4       10.0.0.3    10104    30104    17        0           0        0        0        1          204.709               310       1540256         117028
0x0040032779759911       10.0.0.4       10.0.0.3    10105    30105    17        0           0        1        0        1           206.57             303.4      16315192        1397004
0x004003277a759a11       10.0.0.4       10.0.0.3    10106    30106    17        0           0        0        0        1          206.825             288.9       1954124         213639
0x004003277b759b11       10.0.0.4       10.0.0.3    10107    30107    17        0           0        0        0        1          208.168             331.1       5121048         336270
0x004003277c759c11       10.0.0.4       10.0.0.3    10108    30108    17        0           0        0        0        1          209.508               324       5544012         401404
0x004003277d759d11       10.0.0.4       10.0.0.3    10109    30109    17        0           0        0        0        1          210.109             282.7       1699436         194525
0x004003277e759e11       10.0.0.4       10.0.0.3    10110    30110    17        0           0        1        0        1          210.818             313.4      12361464         997069
0x004003277f759f11       10.0.0.4       10.0.0.3    10111    30111    17        0           0        1        0        1          213.355             334.8      33928080        2326924
0x004003278075a011       10.0.0.4       10.0.0.3    10112    30112    17        0           0        1        0        1          214.726             319.4      23222088        1949917
0x004003278175a111       10.0.0.4       10.0.0.3    10113    30113    17        0           0        0        0        1          215.002             253.4        385064          88020
0x004003278275a211       10.0.0.4       10.0.0.3    10114    30114    17        0           0        1        0        1          217.169             274.7       4784496         724497
0x004003278375a311       10.0.0.4       10.0.0.3    10115    30115    17        0           0        0        0        1          217.199             316.2       5774444         497793
0x004003278475a411       10.0.0.4       10.0.0.3    10116    30116    17        0           0        0        0        1           218.28             263.4         98540          18895
0x004003278575a511       10.0.0.4       10.0.0.3    10117    30117    17        0           0        0        0        1          218.994             268.2        292588          57082
0x004003278675a611       10.0.0.4       10.0.0.3    10118    30118    17        0           0        1        0        1          224.611             324.4      12832940        1076265
0x004003278775a711       10.0.0.4       10.0.0.3    10119    30119    17        0           0        0        0        1          225.437             326.6       2707576         229060
0x004003278875a811       10.0.0.4       10.0.0.3    10120    30120    17        0           0        0        0        1          228.847             303.2       3032000         340899
0x004003278975a911       10.0.0.4       10.0.0.3    10121    30121    17        0           0        1        0        1          230.635               305      12745012        1469915
0x004003278a75aa11       10.0.0.4       10.0.0.3    10122    30122    17        0           0        0        0        1          231.538             296.6       1982928         271347
0x004003278b75ab11       10.0.0.4       10.0.0.3    10123    30123    17        0           0        1        0        1          235.609             360.2      24744152        1591384
0x004003278c75ac11       10.0.0.4       10.0.0.3    10124    30124    17        0           0        1        0        1          236.329               336       6349008         542238
0x004003278d75ad11       10.0.0.4       10.0.0.3    10125    30125    17        0           0        1        0        1          238.231             357.7      13513624         967250
0x004003278e75ae11       10.0.0.4       10.0.0.3    10126    30126    17        0           0        0        0        1          238.423             294.3        450252          69837
0x004003278f75af11       10.0.0.4       10.0.0.3    10127    30127    17        0           0        0        0        1          239.802             306.6        198596          26392
0x004003279075b011       10.0.0.4       10.0.0.3    10128    30128    17        0           0        0        0        1           243.63             326.1       2663612         279021
0x004003279175b111       10.0.0.4       10.0.0.3    10129    30129    17        0           0        0        0        1          253.615             315.7       2346768         332963
0x004003279275b211       10.0.0.4       10.0.0.3    10130    30130    17        0           0        1        0        1          255.712             315.6      12564608        1851537
0x004003279375b311       10.0.0.4       10.0.0.3    10131    30131    17        0           0        0        0        1          257.875             370.3        686748          48998
0x004003279475b411       10.0.0.4       10.0.0.3    10132    30132    17        0           0        0        0        1          260.471               306        973272         196975
0x004003279575b511       10.0.0.4       10.0.0.3    10133    30133    17        0           0        1        0        1           261.05             341.7       7348052         744581
0x004003279675b611       10.0.0.4       10.0.0.3    10134    30134    17        0           0        1        0        1          265.463             314.2      12240184        2198638
0x004003279775b711       10.0.0.4       10.0.0.3    10135    30135    17        0           0        1        0        1          267.805             304.6       4523744        1124070
0x004003279875b811       10.0.0.4       10.0.0.3    10136    30136    17        0           0        1        0        1          277.863             346.7      12268988        1579613
0x004003279975b911       10.0.0.4       10.0.0.3    10137    30137    17        0           0        0        0        1          277.943             350.6       2001120         222170
0x004003279a75ba11       10.0.0.4       10.0.0.3    10138    30138    17        0           0        0        0        1          279.892             372.7       1878324         166761
0x004003279b75bb11       10.0.0.4       10.0.0.3    10139    30139    17        0           0        0        0        1          281.864             389.1       5127112         417959
0x004003279c75bc11       10.0.0.4       10.0.0.3    10140    30140    17        0           0        0        0        1          283.269             390.6        206176          15453
0x004003279d75bd11       10.0.0.4       10.0.0.3    10141    30141    17        0           0        1        0        1          284.573             398.8      15567804        1181318
0x004003279e75be11       10.0.0.4       10.0.0.3    10142    30142    17        0           0        1        0        1          287.048             381.1      10026824         862971
0x004003279f75bf11       10.0.0.4       10.0.0.3    10143    30143    17        0           0        1        0        1          290.178             350.7       5700160         762287
0x00400327a075c011       10.0.0.4       10.0.0.3    10144    30144    17        0           0        1        0        1          290.189             406.9      14577856        1062034
0x00400327a175c111       10.0.0.4       10.0.0.3    10145    30145    17        0           0        1        0        1          297.703             358.8       9708464        1485140
0x00400327a275c211       10.0.0.4       10.0.0.3    10146    30146    17        0           0        0        0        1          300.012             398.3        877764          78033
0x00400327a375c311       10.0.0.4       10.0.0.3    10147    30147    17        0           0        1        0        1          302.971               357      13090660        2226802
0x00400327a475c411       10.0.0.4       10.0.0.3    10148    30148    17        0           0        0        0        1          303.522             392.3       1368948         126640
0x00400327a575c511       10.0.0.4       10.0.0.3    10149    30149    17        0           0        1        0        1          303.751             379.3       6057936         731534
0x00400327a675c611       10.0.0.4       10.0.0.3    10150    30150    17        0           0        0        0        1          304.857             373.2        839864         103141
0x00400327a775c711       10.0.0.4       10.0.0.3    10151    30151    17        0           0        1        0        1          305.661             378.8       7100944         882935
0x00400327a875c811       10.0.0.4       10.0.0.3    10152    30152    17        0           0        0        0        1          307.162               361       1929868         292192
0x00400327a975c911       10.0.0.4       10.0.0.3    10153    30153    17        0           0        1        0        1          314.693             370.1       2607520         377172
0x00400327aa75ca11       10.0.0.4       10.0.0.3    10154    30154    17        0           0        0        0        1          316.977             353.8        330488          80063
0x00400327ab75cb11       10.0.0.4       10.0.0.3    10155    30155    17        0           0        0        0        1          317.301             410.1       1914708         165241
0x00400327ac75cc11       10.0.0.4       10.0.0.3    10156    30156    17        0           0        0        0        1          317.965             392.8       3779388         419726
