PSrc PDst
18880 14380
14066 18566
18882 14382
18884 14384
18886 14386
18888 14388
18890 14390
14202 18702
18892 14392
18894 14394
14322 18822
18896 14396
18898 14398
18908 14408
14072 18572
18910 14410
14134 18634
18916 14416
18918 14418
18920 14420
18922 14422
18930 14430
18932 14432
18934 14434
18936 14436
18938 14438
14154 18654
18954 14454
18956 14456
18958 14458
14336 18836
14334 18834
18960 14460
18962 14462
18964 14464
18966 14466
14280 18780
14192 18692
18968 14468
18970 14470
18978 14478
18980 14480
14050 18550
18982 14482
18984 14484
14020 18520
14318 18818
18986 14486
14248 18748
18988 14488
18990 14490
18996 14496
18998 14498
14076 18576
19000 14500
19002 14502
19010 14510
19012 14512
19014 14514
14096 18596
14222 18722
19016 14516
19022 14522
19024 14524
14080 18580
19026 14526
19028 14528
19030 14530
14472 18972
19032 14532
14402 18902
19034 14534
14010 18510
19036 14536
19038 14538
19040 14540
19042 14542
19044 14544
19046 14546
19048 14548
14294 18794
19052 14552
14028 18528
19064 14564
19066 14566
19068 14568
14324 18824
19070 14570
19078 14578
19080 14580
19082 14582
19096 14596
19098 14598
19100 14600
19102 14602
14142 18642
19106 14606
14342 18842
19108 14608
14056 18556
19110 14610
19112 14612
19114 14614
14166 18666
19116 14616
14022 18522
14264 18764
14006 18506
14558 19058
19126 14626
19128 14628
14194 18694
14474 18974
19136 14636
14258 18758
14328 18828
19138 14638
14284 18784
19150 14650
14208 18708
19152 14652
14136 18636
19156 14656
14152 18652
19158 14658
19160 14660
14444 18944
14450 18950
14278 18778
19162 14662
19164 14664
19166 14666
19168 14668
14236 18736
19170 14670
19174 14674
14556 19056
19176 14676
19192 14692
19194 14694
14176 18676
19196 14696
19202 14702
19204 14704
19206 14706
19208 14708
19210 14710
19212 14712
14364 18864
19214 14714
19216 14716
19218 14718
19220 14720
19222 14722
19230 14730
14424 18924
19232 14732
19234 14734
19236 14736
14452 18952
19238 14738
19240 14740
14002 18502
14256 18756
19242 14742
19244 14744
19246 14746
14036 18536
14268 18768
14100 18600
19248 14748
14292 18792
19254 14754
14230 18730
14204 18704
19256 14756
19258 14758
14648 19148
14374 18874
19260 14760
19262 14762
19264 14764
19266 14766
19268 14768
14016 18516
19270 14770
19272 14772
19274 14774
14604 19104
19276 14776
19280 14780
19282 14782
14042 18542
19286 14786
14252 18752
19296 14796
19298 14798
14144 18644
19300 14800
14070 18570
19310 14810
19312 14812
14104 18604
19314 14814
19316 14816
19330 14830
19332 14832
19334 14834
19336 14836
19338 14838
14048 18548
19340 14840
14654 19154
19342 14842
14242 18742
19346 14846
19348 14848
14520 19020
19350 14850
19352 14852
14186 18686
19356 14856
19358 14858
19360 14860
14314 18814
19362 14862
14122 18622
14750 19250
19370 14870
19372 14872
14178 18678
19374 14874
14098 18598
19382 14882
19384 14884
14348 18848
14262 18762
19390 14890
19392 14892
14058 18558
19394 14894
19398 14898
19400 14900
19402 14902
14296 18796
19404 14904
19408 14908
19410 14910
19412 14912
14338 18838
19414 14914
19416 14916
19418 14918
19420 14920
19466 14966
19468 14968
19470 14970
14164 18664
19472 14972
14406 18906
19482 14982
19484 14984
19486 14986
19492 14992
14114 18614
14274 18774
19494 14994
19496 14996
19498 14998
14868 19368
19502 15002
19504 15004
19506 15006
19508 15008
19510 15010
14952 19452
14304 18804
19516 15016
19518 15018
19532 15032
14330 18830
14172 18672
19534 15034
14218 18718
19536 15036
14554 19054
19546 15046
14158 18658
19550 15050
19552 15052
19554 15054
14448 18948
14518 19018
19556 15056
14700 19200
14936 19436
19558 15058
